Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2018-07-13,,,,4061.88,,-,3.06,1400.62,23.19,2.94,1.27,,
2018-07-16,4071.57,4071.57,4022.84,4026.39,-35.49,-0.87,2.97,1179.85,22.66,2.9,1.29,-0.008737333451505291,
2018-07-17,4034.13,4060.7,4022.29,4057.08,30.69,0.76,2.98,1013.88,22.93,2.95,1.27,0.007622212453339161,
2018-07-18,4077.02,4081.09,4032.9,4039.15,-17.93,-0.44,5.14,1532.02,22.79,2.93,1.28,-0.0044194346672976614,
2018-07-19,4051.43,4051.93,4021.67,4029.67,-9.48,-0.23,3.57,1178.42,22.53,2.9,1.3,-0.002347028458957956,
2018-07-20,4031.64,4055.56,4024.1,4049.08,19.41,0.48,3.42,1348.74,22.71,2.92,1.28,0.0048167715966815905,
2018-07-23,4054.23,4081.62,4053.05,4078.74,29.66,0.73,2.59,1099.65,22.92,2.95,1.27,0.007325120768174376,
2018-07-24,4094.13,4112.18,4089.57,4108.25,29.51,0.72,4.46,1676.95,23.04,2.97,1.26,0.00723507749942387,
2018-07-25,4119.04,4119.34,4100.68,4108.38,0.13,0.00,4.56,1877.22,23.19,2.99,1.26,3.1643643887413475e-05,
2018-07-26,4115.14,4133.38,4112.23,4125.74,17.36,0.42,4.03,1569.2,23.27,3.0,1.25,0.004225509811653261,
2018-07-27,4151.09,4167.22,4143.73,4164.76,39.02,0.95,4.03,1412.41,23.34,3.02,1.24,0.009457697285820243,
2018-07-30,4181.19,4186.65,4162.23,4183.44,18.68,0.45,4.16,1773.39,23.36,3.03,1.24,0.0044852524515217596,
2018-07-31,4187.72,4202.34,4164.81,4198.52,15.08,0.36,4.44,1981.19,23.47,3.04,1.23,0.003604688964106373,
2018-08-01,4204.31,4211.95,4184.78,4196.55,-1.97,-0.05,4.36,1730.33,23.42,3.04,1.23,-0.00046921296075763674,
2018-08-02,4197.7,4197.7,4160.42,4164.47,-32.08,-0.76,3.08,1217.09,23.57,3.01,1.25,-0.007644374545757837,
2018-08-03,4181.83,4204.34,4181.56,4201.51,37.04,0.89,4.22,1889.71,23.66,3.02,1.24,0.008894289069197203,
2018-08-06,4217.44,4227.93,4208.57,4212.57,11.06,0.26,3.18,1281.06,23.77,3.04,1.23,0.0026323869275568512,
2018-08-07,4229.44,4231.37,4202.48,4210.91,-1.66,-0.04,-,,23.77,3.04,1.23,-0.00039405873374209754,
2018-08-08,4221.19,4235.0,4209.29,4230.97,20.06,0.48,3.15,1079.54,23.99,3.07,1.22,0.00476381589727648,
2018-08-09,4244.82,4249.49,4235.13,4242.71,11.74,0.28,3.90,1457.99,24.0,3.07,1.22,0.0027747774151081206,
2018-08-10,4246.26,4246.69,4219.78,4224.6,-18.11,-0.43,3.41,1358.97,23.82,3.05,1.23,-0.004268498200442616,
2018-08-13,4208.96,4216.74,4193.14,4196.37,-28.23,-0.67,3.11,1347.11,23.79,3.0,1.25,-0.006682289447521805,
2018-08-14,4207.31,4228.94,4202.02,4223.11,26.74,0.64,2.98,1357.95,23.91,3.02,1.25,0.006372174045663259,
2018-08-16,4219.19,4230.7,4198.03,4203.32,-19.79,-0.47,2.98,1523.53,23.73,3.03,1.24,-0.004686119944780076,
2018-08-17,4226.09,4244.79,4223.26,4239.72,36.4,0.87,2.30,1006.39,24.16,3.09,1.23,0.008659821284128011,
2018-08-20,4253.91,4278.03,4252.8,4272.88,33.16,0.78,2.59,1214.31,24.32,3.11,1.21,0.007821271216023717,
2018-08-21,4281.82,4286.03,4270.33,4280.01,7.13,0.17,2.64,1077.68,24.33,3.11,1.21,0.0016686637584018005,
2018-08-23,4293.74,4300.49,4275.65,4290.05,10.04,0.23,3.22,1445.18,24.23,3.09,1.22,0.0023457889117082242,
2018-08-24,4293.5,4297.99,4269.57,4281.26,-8.79,-0.20,3.07,1137.72,24.14,3.08,1.22,-0.002048927168680992,
2018-08-27,4303.73,4331.56,4299.23,4328.31,47.05,1.10,2.81,1109.95,24.56,3.14,1.21,0.010989755352396324,
2018-08-28,4341.78,4353.14,4333.19,4341.36,13.05,0.30,2.49,1053.41,24.49,3.13,1.2,0.003015033581236004,
2018-08-29,4351.26,4351.26,4327.06,4331.05,-10.31,-0.24,3.23,1241.44,24.38,3.11,1.21,-0.0023748318499270393,
2018-08-30,4339.16,4341.37,4318.39,4329.32,-1.73,-0.04,2.77,1241.17,24.32,3.11,1.21,-0.00039944124404023285,
2018-08-31,4332.85,4351.63,4322.16,4333.74,4.42,0.10,3.90,1804.72,24.4,3.12,1.21,0.0010209455526504208,
2018-09-03,4360.21,4362.05,4294.66,4299.4,-34.34,-0.79,3.20,1460.72,24.33,3.11,1.21,-0.007923871759727197,
2018-09-04,4312.95,4318.06,4251.59,4260.21,-39.19,-0.91,3.24,2251.64,23.93,3.06,1.23,-0.00911522538028553,
2018-09-05,4262.7,4267.99,4210.48,4243.86,-16.35,-0.38,4.53,1835.4,23.81,3.04,1.24,-0.0038378389797686374,
2018-09-06,4260.95,4274.72,4231.14,4266.22,22.36,0.53,3.24,1256.05,23.99,3.07,1.23,0.005268788320067275,
2018-09-07,4275.38,4295.34,4250.05,4291.14,24.92,0.58,4.14,1713.18,24.22,3.1,1.22,0.0058412365044466785,
2018-09-10,4288.99,4289.88,4230.61,4234.46,-56.68,-1.32,4.61,2401.2,23.86,3.05,1.24,-0.013208611231514289,
2018-09-11,4247.4,4249.99,4167.68,4173.22,-61.24,-1.45,3.56,1570.75,23.37,2.99,1.27,-0.014462292712648095,
2018-09-12,4185.22,4208.04,4158.38,4203.92,30.7,0.74,3.67,1493.72,23.86,3.05,1.24,0.007356429807199083,
2018-09-14,4227.19,4261.54,4227.11,4259.04,55.12,1.31,3.08,1254.0,24.13,3.09,1.22,0.013111572056556664,
2018-09-17,4252.68,4252.68,4206.45,4210.16,-48.88,-1.15,2.73,1323.07,23.59,3.02,1.25,-0.011476764716931487,
2018-09-18,4216.11,4224.25,4167.23,4172.18,-37.98,-0.90,3.67,1524.84,23.34,2.99,1.27,-0.009021034830030139,
2018-09-19,4189.37,4198.1,4146.08,4155.15,-17.03,-0.41,4.12,1584.59,23.39,2.99,1.26,-0.004081798963611494,
2018-09-21,4173.83,4195.4,3992.47,4114.58,-40.57,-0.98,7.55,2758.17,23.21,2.97,1.27,-0.009763787107565203,
2018-09-24,4126.5,4128.84,4033.96,4040.4,-74.18,-1.80,4.95,2014.41,22.65,2.93,1.31,-0.018028571567450302,
