Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2000-01-03,1585.89,1637.48,1585.89,1636.49,114.29,7.51,-,-,31.29,3.55,0.87,,
2000-01-04,1692.03,1694.29,1651.07,1690.67,54.18,3.31,-,-,32.35,3.67,0.84,0.03310744336965099,
2000-01-05,1613.79,1700.69,1587.47,1643.14,-47.53,-2.81,-,-,31.44,3.57,0.87,-0.02811311491893742,
2000-01-06,1661.56,1674.05,1636.98,1644.78,1.64,0.1,-,-,31.47,3.57,0.86,0.000998089024672133,
2000-01-07,1618.52,1621.96,1599.6,1606.46,-38.32,-2.33,-,-,30.74,3.49,0.89,-0.023297948661827106,
2000-01-10,1651.6,1658.66,1616.72,1626.09,19.63,1.22,-,-,31.11,3.53,0.87,0.012219414115508531,
2000-01-11,1635.65,1650.26,1537.0,1571.21,-54.88,-3.37,-,-,30.06,3.41,0.9,-0.03374966945249025,
2000-01-12,1562.75,1615.21,1562.75,1614.52,43.31,2.76,-,-,30.9,3.5,0.88,0.027564743096085254,
2000-01-13,1630.71,1648.1,1587.47,1592.23,-22.29,-1.38,-,-,30.47,3.46,0.89,-0.013805960904789027,
2000-01-14,1597.06,1598.51,1565.7,1594.49,2.26,0.14,-,-,30.51,3.46,0.89,0.0014193929269012973,
2000-01-17,1631.68,1652.32,1604.22,1604.22,9.73,0.61,-,-,31.15,3.43,0.91,0.006102264673971014,
2000-01-18,1614.23,1614.49,1588.27,1613.3,9.08,0.57,-,-,31.33,3.45,0.9,0.005660071561257141,
2000-01-19,1623.62,1641.19,1614.31,1630.17,16.87,1.05,-,-,31.66,3.48,0.89,0.010456827620405562,
2000-01-20,1641.66,1647.61,1610.8,1614.02,-16.15,-0.99,-,-,31.34,3.45,0.9,-0.009906942220750059,
2000-01-21,1617.53,1648.06,1606.7,1645.58,31.56,1.96,-,-,31.96,3.52,0.88,0.019553661045092374,
2000-01-24,1687.67,1699.16,1667.04,1672.02,26.44,1.61,-,-,32.48,3.57,0.87,0.01606728326790563,
2000-01-25,1677.18,1679.81,1662.43,1667.8,-4.22,-0.25,-,-,32.4,3.56,0.87,-0.0025238932548653503,
2000-01-27,1698.79,1706.51,1685.42,1688.06,20.26,1.21,-,-,32.79,3.61,0.86,0.012147739537114788,
2000-01-28,1715.16,1722.62,1705.84,1712.79,24.73,1.46,-,-,33.27,3.66,0.85,0.014649953200715604,
2000-01-31,1724.62,1724.62,1651.54,1667.71,-45.08,-2.63,-,-,32.56,3.58,0.87,-0.02631963054431652,
2000-02-01,1691.92,1703.0,1658.12,1702.36,34.65,2.08,-,-,33.25,3.66,0.85,0.020776993602005023,
2000-02-02,1731.94,1760.72,1731.94,1747.66,45.3,2.66,-,-,34.14,3.76,0.83,0.026610117718931514,
2000-02-03,1775.44,1792.77,1768.5,1791.5,43.84,2.51,-,-,35.0,3.85,0.81,0.025084970760903103,
2000-02-04,1839.45,1839.45,1807.33,1810.35,18.85,1.05,-,-,35.37,3.89,0.8,0.010521909014792108,
2000-02-07,1848.94,1869.93,1841.92,1845.01,34.66,1.91,-,-,36.05,3.97,0.78,0.0191454691081836,
2000-02-08,1875.0,1885.39,1853.86,1859.8,14.79,0.8,-,-,36.34,4.0,0.78,0.00801621671427255,
2000-02-09,1890.09,1917.14,1878.28,1879.9,20.1,1.08,-,-,36.73,4.04,0.77,0.010807613721905751,
2000-02-10,1908.93,1937.29,1895.42,1937.29,57.39,3.05,-,-,37.84,4.17,0.74,0.030528219586148042,
2000-02-11,1990.64,2000.34,1975.63,1981.03,43.74,2.26,-,-,38.7,4.26,0.73,0.022577931027363052,
2000-02-14,2030.88,2047.9,2000.0,2011.66,30.63,1.55,-,-,39.3,4.33,0.72,0.015461653786161822,
2000-02-15,1980.2,2047.43,1968.69,2015.68,4.02,0.2,-,-,39.38,4.33,0.72,0.0019983496217055308,
2000-02-16,2034.03,2067.62,2033.92,2041.12,25.44,1.26,-,-,39.87,4.39,0.71,0.012621050960469837,
