Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2017-12-01,,,,5194.58,,-,4.98,1296.9,37.59,2.99,0.79,,
2017-12-04,5210.56,5227.14,5170.09,5196.97,2.39,0.05,3.41,696.76,37.73,3.01,0.79,0.00046009494511589644,
2017-12-05,5196.56,5200.77,5151.05,5196.01,-0.96,-0.02,3.76,1020.73,37.68,3.0,0.79,-0.00018472302129890483,
2017-12-06,5194.6,5207.07,5146.28,5149.56,-46.45,-0.89,3.44,498.49,37.24,2.97,0.8,-0.008939551694473247,
2017-12-07,5154.49,5214.42,5153.94,5207.44,57.88,1.12,3.28,694.44,37.62,3.0,0.79,0.011239795244642137,
2017-12-08,5224.51,5264.61,5222.37,5258.62,51.18,0.98,3.42,743.57,38.15,3.04,0.78,0.009828245740709507,
2017-12-11,5270.07,5290.01,5268.87,5273.44,14.82,0.28,3.34,907.6,38.26,3.05,0.77,0.00281822987780056,
2017-12-12,5268.81,5278.96,5236.31,5239.82,-33.62,-0.64,3.73,884.13,37.95,3.03,0.78,-0.006375345125762322,
2017-12-13,5242.07,5259.76,5199.57,5211.37,-28.45,-0.54,2.60,448.47,37.69,3.01,0.79,-0.005429575825123711,
2017-12-14,5219.6,5232.28,5167.72,5206.31,-5.06,-0.10,2.68,548.49,37.82,3.02,0.78,-0.0009709538950409824,
2017-12-15,5238.62,5275.49,5238.6,5270.76,64.45,1.24,2.39,548.18,38.34,3.06,0.77,0.012379209075141562,
2017-12-18,5270.45,5329.76,5147.03,5306.23,35.47,0.67,3.62,604.7,37.63,3.12,0.79,0.006729579794944041,
2017-12-19,5320.08,5373.02,5315.86,5371.0,64.77,1.22,2.60,831.03,38.22,3.17,0.78,0.012206406431685135,
2017-12-20,5383.12,5417.38,5375.91,5397.8,26.8,0.50,3.36,638.03,38.41,3.19,0.77,0.004989759821262263,
2017-12-21,5405.12,5458.6,5404.84,5453.69,55.89,1.04,4.40,776.07,38.74,3.21,0.77,0.010354218385268066,
2017-12-22,5468.1,5491.1,5455.81,5466.62,12.93,0.24,4.56,639.07,38.81,3.22,0.76,0.0023708718317323463,
2017-12-26,5487.77,5493.3,5469.47,5483.74,17.12,0.31,-,,38.94,3.23,0.76,0.003131734051388113,
2017-12-27,5496.48,5517.61,5466.15,5489.13,5.39,0.10,4.47,767.12,38.94,3.23,0.76,0.0009829058270451885,
2017-12-28,5498.91,5523.68,5488.08,5506.42,17.29,0.31,9.02,875.67,39.07,3.24,0.76,0.003149861635632689,
2017-12-29,5519.12,5551.24,5518.6,5545.91,39.49,0.72,6.00,728.78,39.52,3.28,0.75,0.007171628753346093,
2018-01-01,5560.88,5591.53,5539.46,5544.87,-1.04,-0.02,7.50,652.65,39.49,3.26,0.75,-0.00018752558191525992,
2018-01-02,5554.62,5572.24,5467.55,5491.48,-53.39,-0.96,6.19,758.36,39.16,3.23,0.76,-0.00962871987981695,
2018-01-03,5498.38,5543.35,5498.31,5527.33,35.85,0.65,4.78,710.31,39.46,3.26,0.75,0.006528294740215879,
2018-01-04,5544.78,5582.89,5540.58,5577.88,50.55,0.91,5.26,815.61,39.89,3.29,0.74,0.00914546444666775,
2018-01-05,5596.5,5631.8,5596.5,5627.91,50.03,0.90,4.66,1053.14,40.26,3.32,0.74,0.008969357533686662,
