Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2026-03-18,,,,378.01,,-,-,,,,,,
2026-03-19,,,,390.14,12.13,3.21,-,,,,,0.032089098172006114,
2026-03-20,,,,388.13,-2.01,-0.52,-,,,,,-0.005151996719126473,
2026-03-23,,,,399.97,11.84,3.05,-,,,,,0.030505243088655876,
2026-03-24,,,,392.42,-7.55,-1.89,-,,,,,-0.01887641573117982,
2026-03-25,,,,385.25,-7.17,-1.83,-,,,,,-0.01827123999796143,
2026-03-27,,,,393.57,8.32,2.16,-,,,,,0.02159636599610648,
2026-03-30,,,,402.67,9.1,2.31,-,,,,,0.023121681022435725,
2026-04-01,,,,395.68,-6.99,-1.74,-,,,,,-0.01735912782178961,
2026-04-02,,,,395.33,-0.35,-0.09,-,,,,,-0.0008845531742822654,
2026-04-06,,,,390.89,-4.44,-1.12,-,,,,,-0.011231123365289752,
2026-04-07,,,,388.76,-2.13,-0.54,-,,,,,-0.005449103328302063,
2026-04-08,,,,373.63,-15.13,-3.89,-,,,,,-0.0389186130260315,
2026-04-09,,,,375.94,2.31,0.62,-,,,,,0.006182587051360988,
2026-04-10,,,,370.88,-5.06,-1.35,-,,,,,-0.013459594616162196,
2026-04-13,,,,374.12,3.24,0.87,-,,,,,0.008735979292493479,
2026-04-15,,,,367.48,-6.64,-1.77,-,,,,,-0.017748316048326718,
2026-04-16,,,,366.97,-0.51,-0.14,-,,,,,-0.0013878306302383958,
2026-04-17,,,,363.88,-3.09,-0.84,-,,,,,-0.00842030683707129,
2026-04-20,,,,363.98,0.1,0.03,-,,,,,0.00027481587336497526,
2026-04-21,,,,361.14,-2.84,-0.78,-,,,,,-0.007802626517940614,
2026-04-22,,,,362.56,1.42,0.39,-,,,,,0.003931993132857192,
2026-04-23,,,,365.64,3.08,0.85,-,,,,,0.008495145631068013,
2026-04-24,,,,369.48,3.84,1.05,-,,,,,0.010502133245815726,
2026-04-27,,,,365.86,-3.62,-0.98,-,,,,,-0.009797553318176888,
2026-04-28,,,,367.08,1.22,0.33,-,,,,,0.003334608866779609,
2026-04-29,,,,365.52,-1.56,-0.42,-,,,,,-0.004249754821837204,
2026-04-30,,,,368.65,3.13,0.86,-,,,,,0.00856314291967597,
2026-05-04,,,,366.79,-1.86,-0.50,-,,,,,-0.005045436050454266,
2026-05-05,,,,367.32,0.53,0.14,-,,,,,0.0014449685105917265,
2026-05-06,,,,362.41,-4.91,-1.34,-,,,,,-0.013367091364477779,
2026-05-07,,,,361.7,-0.71,-0.20,-,,,,,-0.001959107088656542,
2026-05-08,,,,363.48,1.78,0.49,-,,,,,0.004921205418855434,
2026-05-11,,,,369.08,5.6,1.54,-,,,,,0.015406624848684825,
2026-05-12,,,,376.82,7.74,2.10,-,,,,,0.020971063184133554,
2026-05-13,,,,375.74,-1.08,-0.29,-,,,,,-0.0028660899103019055,
2026-05-14,,,,371.71,-4.03,-1.07,-,,,,,-0.010725501676691396,
2026-05-15,,,,372.9,1.19,0.32,-,,,,,0.003201420462188187,
2026-05-18,,,,373.73,0.83,0.22,-,,,,,0.0022257978010191692,
2026-05-19,,,,373.43,-0.3,-0.08,-,,,,,-0.0008027185401225934,
2026-05-20,,,,372.34,-1.09,-0.29,-,,,,,-0.00291888707388277,
2026-05-21,,,,372.24,-0.1,-0.03,-,,,,,-0.00026857173551042557,
2026-05-22,,,,371.09,-1.15,-0.31,-,,,,,-0.0030894046851495105,
2026-05-25,,,,366.51,-4.58,-1.23,-,,,,,-0.012342019456196618,
2026-05-26,,,,367.44,0.93,0.25,-,,,,,0.0025374478186135363,
2026-05-27,,,,366.44,-1.0,-0.27,-,,,,,-0.0027215327672545087,
2026-05-29,,,,371.61,5.17,1.41,-,,,,,0.014108721755266895,
2026-06-01,,,,375.4,3.79,1.02,-,,,,,0.01019886440085016,
2026-06-02,,,,373.92,-1.48,-0.39,-,,,,,-0.00394246137453369,
2026-06-03,,,,375.36,1.44,0.39,-,,,,,0.0038510911424902705,
2026-06-04,,,,374.93,-0.43,-0.11,-,,,,,-0.0011455669224211817,
2026-06-05,,,,375.19,0.26,0.07,-,,,,,0.0006934627797188231,
2026-06-08,,,,380.04,4.85,1.29,-,,,,,0.012926783762893468,
2026-06-09,,,,377.02,-3.02,-0.79,-,,,,,-0.007946531944005963,
2026-06-10,,,,378.95,1.93,0.51,-,,,,,0.005119091825367406,
2026-06-11,,,,380.92,1.97,0.52,-,,,,,0.005198575009895734,
2026-06-12,,,,372.77,-8.15,-2.14,-,,,,,-0.021395568623333028,
2026-06-15,,,,368.62,-4.15,-1.11,-,,,,,-0.01113287013439912,
2026-06-16,,,,366.75,-1.87,-0.51,-,,,,,-0.00507297487927949,
2026-06-17,,,,364.95,-1.8,-0.49,-,,,,,-0.004907975460122782,
2026-06-18,,,,363.49,-1.46,-0.40,-,,,,,-0.004000548020276717,
2026-06-19,,,,364.7,1.21,0.33,-,,,,,0.003328839858042887,
2026-06-22,,,,363.37,-1.33,-0.36,-,,,,,-0.003646833013435602,
2026-06-23,,,,367.45,4.08,1.12,-,,,,,0.011228224674574072,
2026-06-24,,,,365.28,-2.17,-0.59,-,,,,,-0.005905565383045319,
2026-06-25,,,,365.19,-0.09,-0.02,-,,,,,-0.0002463863337712757,
2026-06-29,,,,367.4,2.21,0.61,-,,,,,0.0060516443495166605,
2026-06-30,,,,367.75,0.35,0.10,-,,,,,0.0009526401741970503,
2026-07-01,,,,365.93,-1.82,-0.49,-,,,,,-0.0049490142760026945,
2026-07-02,,,,363.51,-2.42,-0.66,-,,,,,-0.00661328669417649,
2026-07-03,,,,362.84,-0.67,-0.18,-,,,,,-0.0018431404913207272,
2026-07-06,,,,360.73,-2.11,-0.58,-,,,,,-0.005815235365450255,
2026-07-07,,,,361.38,0.65,0.18,-,,,,,0.0018019016993318093,
2026-07-08,,,,368.62,7.24,2.00,-,,,,,0.020034312911616503,
2026-07-09,,,,366.49,-2.13,-0.58,-,,,,,-0.005778308284954736,
