Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2017-12-01,,,,4250.89,,-,8.02,2452.35,25.59,2.99,1.2,,
2017-12-04,4267.71,4273.64,4237.36,4253.23,2.34,0.06,5.87,1772.94,25.69,3.01,1.19,0.0005504729597800573,
2017-12-05,4248.73,4258.66,4225.67,4250.35,-2.88,-0.07,6.27,2140.42,25.64,3.0,1.19,-0.0006771324381703581,
2017-12-06,4248.95,4249.31,4214.21,4216.94,-33.41,-0.79,5.84,1512.62,25.38,2.97,1.21,-0.007860529132895144,
2017-12-07,4219.87,4275.84,4219.01,4270.51,53.57,1.27,5.76,1719.92,25.67,3.0,1.19,0.01270352435652411,
2017-12-08,4282.93,4314.81,4282.93,4310.68,40.17,0.94,8.32,2855.83,26.03,3.05,1.18,0.009406370667672137,
2017-12-11,4322.02,4338.47,4318.85,4331.85,21.17,0.49,5.71,2676.22,26.16,3.06,1.17,0.004911058116120914,
2017-12-12,4328.38,4331.6,4295.82,4298.85,-33.0,-0.76,7.82,2647.88,25.92,3.03,1.18,-0.007617992312753175,
2017-12-13,4300.74,4317.93,4264.5,4273.45,-25.4,-0.59,7.09,2974.97,25.74,3.01,1.19,-0.0059085569396467585,
2017-12-14,4281.18,4299.45,4249.3,4291.66,18.21,0.43,5.07,2063.26,25.95,3.04,1.18,0.004261194117165301,
2017-12-15,4318.67,4342.13,4318.67,4329.8,38.14,0.89,6.06,2487.25,26.22,3.07,1.17,0.008887004096317153,
2017-12-18,4322.61,4374.91,4230.79,4352.35,22.55,0.52,8.86,2786.12,25.89,3.08,1.17,0.005208092752552185,
2017-12-19,4368.09,4394.58,4365.19,4391.72,39.37,0.90,6.71,2616.4,26.21,3.12,1.16,0.009045687961675819,
2017-12-20,4401.37,4406.82,4387.17,4390.66,-1.06,-0.02,7.48,2373.84,26.21,3.11,1.16,-0.00024136329274193624,
2017-12-21,4396.39,4405.88,4390.8,4398.31,7.65,0.17,11.00,3514.48,26.2,3.11,1.16,0.0017423348653733406,
2017-12-22,4403.31,4422.05,4403.29,4416.64,18.33,0.42,7.78,2229.96,26.32,3.13,1.15,0.0041675097935343075,
2017-12-26,4424.52,4434.86,4419.01,4431.5,14.86,0.34,-,,26.41,3.14,1.15,0.0033645486161424376,
2017-12-27,4440.05,4446.61,4409.6,4419.6,-11.9,-0.27,7.59,4331.66,26.32,3.13,1.15,-0.0026853209974048164,
