Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2025-02-10,16431.07,16431.07,16431.07,16431.07,,-,1.77,348.56,25.0,3.1,0.7,,
2025-02-11,15844.8,15844.8,15844.8,15844.8,-586.27,-3.57,2.21,395.6,23.92,2.99,0.74,-0.035680573450177056,
2025-02-12,15859.02,15859.02,15859.02,15859.02,14.22,0.09,2.96,509.99,23.91,2.99,0.74,0.0008974553165708166,
2025-02-13,15738.43,15738.43,15738.43,15738.43,-120.59,-0.76,2.55,463.37,24.21,2.97,0.74,-0.007603874640425445,
2025-02-14,15193.25,15193.25,15193.25,15193.25,-545.18,-3.46,2.72,448.49,23.55,2.87,0.81,-0.03464004986520264,
2025-02-17,15056.69,15056.69,15056.69,15056.69,-136.56,-0.90,2.61,438.48,26.01,2.84,0.79,-0.008988201997597534,
2025-02-18,14783.53,14783.53,14783.53,14783.53,-273.16,-1.81,2.58,412.94,25.54,2.79,0.81,-0.018142101617287687,
2025-02-19,15134.31,15134.31,15134.31,15134.31,350.78,2.37,4.07,429.6,26.15,2.86,0.79,0.02372775649658765,
2025-02-20,15313.69,15313.69,15313.69,15313.69,179.38,1.19,1.78,342.44,26.46,2.89,0.78,0.011852539032172649,
2025-02-21,15251.99,15251.99,15251.99,15251.99,-61.7,-0.40,2.32,358.72,26.35,2.88,0.78,-0.004029074638444485,
2025-02-24,15057.65,15057.65,15057.65,15057.65,-194.34,-1.27,1.69,283.42,26.02,2.84,0.78,-0.012741943838148306,
2025-02-25,14963.5,14963.5,14963.5,14963.5,-94.15,-0.63,1.81,281.87,25.85,2.82,0.78,-0.006252635703446363,
2025-02-27,14602.56,14602.56,14602.56,14602.56,-360.94,-2.41,2.16,339.87,24.7,2.76,0.79,-0.024121361980820044,
2025-02-28,14279.94,14279.94,14279.94,14279.94,-322.62,-2.21,3.35,449.12,24.16,2.7,0.81,-0.022093386365130474,
2025-03-03,14161.24,14161.24,14161.24,14161.24,-118.7,-0.83,3.96,446.48,23.95,2.68,0.82,-0.008312359855853768,
2025-03-04,14371.96,14371.96,14371.96,14371.96,210.72,1.49,2.63,364.87,24.31,2.72,0.81,0.014880052876725447,
2025-03-05,14795.86,14795.86,14795.86,14795.86,423.9,2.95,5.04,550.53,25.03,2.8,0.78,0.02949493318934926,
2025-03-06,15107.78,15107.78,15107.78,15107.78,311.92,2.11,2.95,393.84,25.56,2.85,0.77,0.021081572818342442,
2025-03-07,15241.43,15241.43,15241.43,15241.43,133.65,0.88,2.48,327.18,25.78,2.88,0.76,0.008846435412747544,
2025-03-10,14893.81,14893.81,14893.81,14893.81,-347.62,-2.28,3.95,402.3,24.88,2.81,0.78,-0.022807571205589072,
2025-03-11,14787.7,14787.7,14787.7,14787.7,-106.11,-0.71,2.69,313.23,24.7,2.79,0.79,-0.0071244362590900945,
2025-03-12,14672.95,14672.95,14672.95,14672.95,-114.75,-0.78,3.04,340.54,24.51,2.76,0.79,-0.007759827424143051,
2025-03-13,14555.29,14555.29,14555.29,14555.29,-117.66,-0.80,1.92,269.4,24.32,2.74,0.8,-0.008018837384438648,
