Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2017-12-01,,,,4223.84,,-,10.83,1999.86,49.55,2.68,0.74,,
2017-12-04,4237.65,4251.4,4201.61,4212.96,-10.88,-0.26,7.89,1262.57,49.58,2.68,0.74,-0.0025758551460283163,
2017-12-05,4213.35,4214.98,4174.14,4211.81,-1.15,-0.03,8.70,1735.62,49.54,2.68,0.74,-0.00027296722494385417,
2017-12-06,4212.34,4225.83,4177.53,4179.46,-32.35,-0.77,8.83,1195.08,49.02,2.65,0.75,-0.007680783321185047,
2017-12-07,4185.23,4235.58,4184.87,4231.52,52.06,1.25,9.27,1489.41,49.57,2.68,0.74,0.012456154622846105,
2017-12-08,4244.15,4278.22,4243.77,4272.97,41.45,0.98,11.86,1716.65,50.29,2.72,0.73,0.009795534465156575,
2017-12-11,4285.53,4301.52,4277.41,4280.26,7.29,0.17,10.69,1584.3,50.36,2.73,0.73,0.0017060732932832057,
2017-12-12,4279.28,4285.39,4246.57,4248.86,-31.4,-0.73,9.32,1479.58,49.89,2.7,0.74,-0.00733600295309178,
2017-12-13,4252.69,4264.13,4211.79,4220.93,-27.93,-0.66,10.51,1100.82,49.48,2.68,0.74,-0.006573527958087411,
2017-12-14,4227.93,4238.42,4183.95,4215.21,-5.72,-0.14,7.83,1109.55,49.65,2.69,0.74,-0.0013551515898155841,
2017-12-15,4240.38,4272.07,4240.38,4267.84,52.63,1.25,7.90,1374.66,50.24,2.73,0.73,0.012485736179217666,
2017-12-18,4267.1,4315.27,4158.6,4292.55,24.71,0.58,10.20,1556.5,49.03,2.7,0.73,0.0057898140511358775,
2017-12-19,4304.38,4353.05,4303.34,4352.04,59.49,1.39,9.16,1704.47,49.87,2.75,0.72,0.013858895062375476,
2017-12-20,4361.11,4393.31,4357.93,4378.15,26.11,0.60,16.44,1676.99,50.19,2.77,0.72,0.005999485298848306,
