Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2025-05-19,16127.91,16127.91,16127.91,16127.91,,-,0.45,789.01,39.06,6.8,0.89,,
2025-05-20,15939.93,15939.93,15939.93,15939.93,-187.98,-1.17,0.5,719.56,38.61,6.72,0.9,-0.011655570994629771,
2025-05-21,16036.01,16036.01,16036.01,16036.01,96.08,0.60,0.32,516.68,38.84,6.76,0.9,0.0060276299833186275,
2025-05-22,15933.83,15933.83,15933.83,15933.83,-102.18,-0.64,0.29,433.04,38.59,6.72,0.91,-0.006371909221807637,
2025-05-23,16057.62,16057.62,16057.62,16057.62,123.79,0.78,0.54,724.65,38.89,6.77,0.89,0.007769004690021175,
2025-05-26,16135.86,16135.86,16135.86,16135.86,78.24,0.49,0.41,629.8,39.2,6.8,0.87,0.004872453078351491,
2025-05-27,16076.81,16076.81,16076.81,16076.81,-59.05,-0.37,1.11,1649.76,39.06,6.78,0.88,-0.0036595508389388742,
2025-05-28,15986.93,15986.93,15986.93,15986.93,-89.88,-0.56,2.13,1211.8,38.84,6.74,0.95,-0.005590661331445701,
2025-05-29,16017.24,16017.24,16017.24,16017.24,30.31,0.19,0.3,458.09,38.92,6.75,0.96,0.0018959237326992007,
2025-05-30,15958.1,15958.1,15958.1,15958.1,-59.14,-0.37,0.39,581.66,38.77,6.73,0.99,-0.0036922715773753945,
2025-06-02,15944.55,15944.55,15944.55,15944.55,-13.55,-0.08,0.41,629.87,38.74,6.72,0.95,-0.0008490985768982995,
2025-06-03,15857.24,15857.24,15857.24,15857.24,-87.31,-0.55,1.31,2059.43,38.53,6.69,0.96,-0.0054758522504554374,
2025-06-04,15900.94,15900.94,15900.94,15900.94,43.7,0.28,1.32,1206.79,38.63,6.7,0.97,0.0027558389732387223,
2025-06-05,15941.92,15941.92,15941.92,15941.92,40.98,0.26,0.38,537.6,38.73,6.72,0.93,0.0025772061274365043,
2025-06-06,16053.14,16053.14,16053.14,16053.14,111.22,0.70,0.63,959.85,39.0,6.77,0.93,0.0069765749671306665,
2025-06-09,16138.88,16138.88,16138.88,16138.88,85.74,0.53,0.46,728.44,39.21,6.8,0.92,0.005341011166662746,
2025-06-10,16154.94,16154.94,16154.94,16154.94,16.06,0.10,0.8,1260.98,39.25,6.81,0.94,0.0009951124241582843,
2025-06-11,16146.36,16146.36,16146.36,16146.36,-8.58,-0.05,0.51,658.2,39.23,6.81,0.94,-0.0005311068936189045,
2025-06-12,16012.92,16012.92,16012.92,16012.92,-133.44,-0.83,0.31,493.39,38.91,6.75,0.92,-0.008264401388300535,
2025-06-13,15935.9,15935.9,15935.9,15935.9,-77.02,-0.48,0.29,375.7,38.72,6.72,0.92,-0.004809866033178234,
2025-06-16,16053.83,16053.83,16053.83,16053.83,117.93,0.74,0.43,743.5,39.0,6.77,0.89,0.007400272341066438,
2025-06-17,15976.0,15976.0,15976.0,15976.0,-77.83,-0.48,1.35,2168.13,38.81,6.74,0.9,-0.004848064293691889,
2025-06-18,15914.43,15914.43,15914.43,15914.43,-61.57,-0.39,0.27,464.77,38.66,6.71,0.9,-0.003853905858788198,
2025-06-19,15853.86,15853.86,15853.86,15853.86,-60.57,-0.38,0.24,400.04,37.35,6.68,0.9,-0.003805979856017494,
2025-06-20,15929.69,15929.69,15929.69,15929.69,75.83,0.48,0.42,690.43,37.53,6.72,0.91,0.004783062295239171,
2025-06-23,15883.94,15883.94,15883.94,15883.94,-45.75,-0.29,0.24,399.56,37.09,6.82,0.95,-0.002871995625778001,
