Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2025-05-19,41292.0,41292.0,41292.0,41292.0,,-,0.86,1438.63,33.69,6.17,0.75,,
2025-05-20,40653.28,40653.28,40653.28,40653.28,-638.72,-1.55,1.05,1286.81,33.17,6.07,0.76,-0.015468371597403885,
2025-05-21,40832.91,40832.91,40832.91,40832.91,179.63,0.44,0.63,1037.53,33.31,6.1,0.76,0.0044185856590170935,
2025-05-22,40721.34,40721.34,40721.34,40721.34,-111.57,-0.27,0.73,1023.87,33.22,6.08,0.8,-0.002732354857883146,
2025-05-23,40829.99,40829.99,40829.99,40829.99,108.65,0.27,1.06,969.94,33.31,6.1,0.79,0.00266813420187062,
2025-05-26,40917.91,40917.91,40917.91,40917.91,87.92,0.22,0.86,783.58,33.38,6.11,0.7,0.002153319165642875,
2025-05-27,40874.3,40874.3,40874.3,40874.3,-43.61,-0.11,1.07,1426.58,33.35,6.1,0.7,-0.0010657924610518732,
2025-05-28,40895.11,40895.11,40895.11,40895.11,20.81,0.05,0.52,670.08,33.36,6.11,0.7,0.0005091218687536259,
2025-05-29,41146.04,41146.04,41146.04,41146.04,250.93,0.61,0.69,869.82,33.57,6.15,0.7,0.006135941436518966,
2025-05-30,40988.68,40988.68,40988.68,40988.68,-157.36,-0.38,1.33,1036.49,33.44,6.12,0.72,-0.003824426360349631,
2025-06-02,41041.85,41041.85,41041.85,41041.85,53.17,0.13,0.69,711.59,33.48,6.13,0.69,0.0012971874185749854,
2025-06-03,41092.48,41092.48,41092.48,41092.48,50.63,0.12,2.06,1728.92,33.52,6.14,0.69,0.0012336188549006977,
2025-06-04,41430.05,41430.05,41430.05,41430.05,337.57,0.82,0.86,1284.62,33.8,6.19,0.69,0.008214885059261379,
2025-06-05,41811.99,41811.99,41811.99,41811.99,381.94,0.92,1.11,1491.4,34.11,6.24,0.68,0.009218912359507003,
2025-06-06,42286.59,42286.59,42286.59,42286.59,474.6,1.14,1.02,1495.92,34.5,6.32,0.67,0.011350811095094837,
