Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2013-04-30,,,,1825.25,,0.0,-,-,-,-,-,,
2013-05-03,,,,1839.69,14.44,0.79,-,-,-,-,-,0.007911245034926795,
2013-05-06,,,,1857.8,18.11,0.98,-,-,-,-,-,0.009844049812740119,
2013-05-07,,,,1868.62,10.82,0.58,-,-,-,-,-,0.005824093013241383,
2013-05-08,,,,1869.93,1.31,0.07,-,-,-,-,-,0.0007010521133243852,
2013-05-10,,,,1870.06,0.13,0.01,-,-,-,-,-,6.952131897985936e-05,
2013-05-11,,,,1877.2,7.14,0.38,-,-,-,-,-,0.0038180593136050156,
2013-05-13,,,,1851.4,-25.8,-1.37,-,-,-,-,-,-0.013743873854677124,
2013-05-14,,,,1855.25,3.85,0.21,-,-,-,-,-,0.002079507399805447,
2013-05-15,,,,1879.13,23.88,1.29,-,-,-,-,-,0.012871580649508108,
2013-05-16,,,,1886.75,7.62,0.41,-,-,-,-,-,0.00405506803680411,
2013-05-17,,,,1891.1,4.35,0.23,-,-,-,-,-,0.0023055518749171,
2013-05-20,,,,1884.57,-6.53,-0.35,-,-,-,-,-,-0.0034530167627306874,
2013-05-21,,,,1880.39,-4.18,-0.22,-,-,-,-,-,-0.0022180125970379105,
2013-05-22,,,,1878.37,-2.02,-0.11,-,-,-,-,-,-0.0010742452363606825,
2013-05-23,,,,1853.51,-24.86,-1.32,-,-,-,-,-,-0.01323487917715882,
2013-05-24,,,,1849.8,-3.71,-0.2,-,-,-,-,-,-0.0020016077604113613,
2013-05-27,,,,1879.6,29.8,1.61,-,-,-,-,-,0.016109849713482616,
2013-05-28,,,,1891.77,12.17,0.65,-,-,-,-,-,0.006474781868482715,
2013-05-29,,,,1896.42,4.65,0.25,-,-,-,-,-,0.0024580155092850386,
2013-05-30,,,,1893.0,-3.42,-0.18,-,-,-,-,-,-0.0018033979814597867,
2013-05-31,,,,1878.55,-14.45,-0.76,-,-,-,-,-,-0.007633386159535127,
2013-06-03,,,,1870.0,-8.55,-0.46,-,-,-,-,-,-0.004551382715392127,
2013-06-04,,,,1869.3,-0.7,-0.04,-,-,-,-,-,-0.00037433155080213165,
2013-06-05,,,,1873.04,3.74,0.2,-,-,-,-,-,0.002000748943454811,
2013-06-06,,,,1865.52,-7.52,-0.4,-,-,-,-,-,-0.004014863537351032,
2013-06-07,,,,1863.44,-2.08,-0.11,-,-,-,-,-,-0.0011149706248123614,
2013-06-10,,,,1863.44,,0.0,-,-,-,-,-,0.0,
2013-06-11,,,,1844.77,-18.67,-1.0,-,-,-,-,-,-0.010019104451981287,
2013-06-12,,,,1832.71,-12.06,-0.65,-,-,-,-,-,-0.00653740032632788,
2013-06-13,,,,1811.78,-20.93,-1.14,-,-,-,-,-,-0.011420246520180477,
2013-06-14,,,,1833.32,21.54,1.19,-,-,-,-,-,0.011888860678448854,
2013-06-17,,,,1846.03,12.71,0.69,-,-,-,-,-,0.00693277769292866,
2013-06-18,,,,1844.22,-1.81,-0.1,-,-,-,-,-,-0.0009804824406970392,
2013-06-19,,,,1846.39,2.17,0.12,-,-,-,-,-,0.0011766492067106782,
2013-06-20,,,,1811.74,-34.65,-1.88,-,-,-,-,-,-0.018766349471130206,
2013-06-21,,,,1819.16,7.42,0.41,-,-,-,-,-,0.004095510393323565,
2013-06-24,,,,1791.75,-27.41,-1.51,-,-,-,-,-,-0.015067393742166812,
2013-06-25,,,,1787.85,-3.9,-0.22,-,-,-,-,-,-0.002176642946839724,
2013-06-26,,,,1792.09,4.24,0.24,-,-,-,-,-,0.0023715636099226334,
2013-06-27,,,,1827.49,35.4,1.98,-,-,-,-,-,0.019753472202846956,
2013-06-28,,,,1857.77,30.28,1.66,-,-,-,-,-,0.01656917411312775,
2013-07-01,,,,1865.89,8.12,0.44,-,-,-,-,-,0.00437083169606578,
2013-07-02,,,,1863.26,-2.63,-0.14,-,-,-,-,-,-0.0014095150303609083,
2013-07-03,,,,1845.51,-17.75,-0.95,-,-,-,-,-,-0.009526314094651323,
2013-07-04,,,,1865.0,19.49,1.06,-,-,-,-,-,0.01056076640061554,
2013-07-05,,,,1870.47,5.47,0.29,-,-,-,-,-,0.002932975871313692,
2013-07-09,,,,1877.79,7.32,0.39,-,-,-,-,-,0.003913454907055414,
2013-07-10,,,,1875.88,-1.91,-0.1,-,-,-,-,-,-0.0010171531427901614,
2013-07-11,,,,1898.67,22.79,1.21,-,-,-,-,-,0.01214896475254279,
2013-07-12,,,,1931.79,33.12,1.74,-,-,-,-,-,0.017443789600088522,
2013-07-15,,,,1942.85,11.06,0.57,-,-,-,-,-,0.005725259992028109,
2013-07-16,,,,1942.88,0.03,0.0,-,-,-,-,-,1.5441233239821273e-05,
2013-07-17,,,,1965.88,23.0,1.18,-,-,-,-,-,0.011838096022399824,
2013-07-18,,,,1984.63,18.75,0.95,-,-,-,-,-,0.00953771339044085,
2013-07-19,,,,1997.14,12.51,0.63,-,-,-,-,-,0.006303441951396538,
2013-07-22,,,,1992.59,-4.55,-0.23,-,-,-,-,-,-0.0022782579088096444,
2013-07-23,,,,2001.33,8.74,0.44,-,-,-,-,-,0.004386251060177981,
2013-07-24,,,,1997.21,-4.12,-0.21,-,-,-,-,-,-0.0020586310103780647,
2013-07-25,,,,1976.55,-20.66,-1.03,-,-,-,-,-,-0.010344430480520361,
2013-07-26,,,,1968.07,-8.48,-0.43,-,-,-,-,-,-0.004290303812198082,
2013-07-29,,,,1955.21,-12.86,-0.65,-,-,-,-,-,-0.006534320425594542,
2013-07-30,,,,1933.64,-21.57,-1.1,-,-,-,-,-,-0.011032063052050622,
2013-07-31,,,,1940.97,7.33,0.38,-,-,-,-,-,0.0037907780145218783,
2013-08-01,,,,1931.41,-9.56,-0.49,-,-,-,-,-,-0.004925372365363723,
2013-08-02,,,,1930.1,-1.31,-0.07,-,-,-,-,-,-0.0006782609596098776,
2013-08-05,,,,1928.05,-2.05,-0.11,-,-,-,-,-,-0.001062121133620031,
2013-08-06,,,,1896.24,-31.81,-1.65,-,-,-,-,-,-0.016498534789035513,
2013-08-07,,,,1884.42,-11.82,-0.62,-,-,-,-,-,-0.006233388178711552,
2013-08-08,,,,1896.44,12.02,0.64,-,-,-,-,-,0.006378620477388353,
2013-08-12,,,,1920.03,23.59,1.24,-,-,-,-,-,0.01243909641222496,
2013-08-13,,,,1942.3,22.27,1.16,-,-,-,-,-,0.01159877710244106,
2013-08-14,,,,1952.65,10.35,0.53,-,-,-,-,-,0.005328733975184186,
2013-08-16,,,,1900.56,-52.09,-2.67,-,-,-,-,-,-0.026676567741274804,
2013-08-19,,,,1875.1,-25.46,-1.34,-,-,-,-,-,-0.013396051690028221,
2013-08-20,,,,1858.01,-17.09,-0.91,-,-,-,-,-,-0.009114180577035835,
2013-08-21,,,,1828.23,-29.78,-1.6,-,-,-,-,-,-0.016027900818617713,
