Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2026-01-09,4018.78,4018.78,4018.78,4018.78,,-,31.41,4032.94,24.14,4.35,1.25,,
2026-01-12,4029.45,4029.45,4029.45,4029.45,10.67,0.27,19.05,3628.72,24.2,4.36,1.24,0.002655034612494278,
2026-01-13,4016.0,4016.0,4016.0,4016.0,-13.45,-0.33,15.79,3992.44,24.12,4.34,1.25,-0.003337924530643077,
2026-01-14,4017.25,4017.25,4017.25,4017.25,1.25,0.03,14.74,4554.03,24.13,4.34,1.25,0.0003112549800796671,
2026-01-16,4021.95,4021.95,4021.95,4021.95,4.7,0.12,15.07,4584.07,24.15,4.35,1.25,0.0011699545709129566,
2026-01-19,4010.12,4010.12,4010.12,4010.12,-11.83,-0.29,13.69,3411.33,23.96,4.34,1.25,-0.0029413592908912323,
2026-01-20,3943.22,3943.22,3943.22,3943.22,-66.9,-1.67,14.71,3543.14,23.55,4.26,1.27,-0.016682792534886803,
2026-01-21,3924.11,3924.11,3924.11,3924.11,-19.11,-0.48,16.69,3610.08,23.43,4.24,1.28,-0.0048462931309943835,
2026-01-22,3950.73,3950.73,3950.73,3950.73,26.62,0.68,11.71,3799.1,23.57,4.27,1.27,0.006783703820739007,
2026-01-23,3899.53,3899.53,3899.53,3899.53,-51.2,-1.30,13.47,4469.16,23.31,4.22,1.29,-0.01295963024554947,
2026-01-27,3919.68,3919.68,3919.68,3919.68,20.15,0.52,15.3,6294.62,23.36,4.24,1.28,0.005167289391285523,
2026-01-28,3957.8,3957.8,3957.8,3957.8,38.12,0.97,16.27,5397.66,23.58,4.28,1.27,0.009725283696628395,
2026-01-29,3965.15,3965.15,3965.15,3965.15,7.35,0.19,17.18,5485.26,23.6,4.29,1.26,0.0018570923240184278,
2026-01-30,3949.14,3949.14,3949.14,3949.14,-16.01,-0.40,24.66,4135.91,23.5,4.27,1.26,-0.004037678271944345,
2026-02-01,3854.57,3854.57,3854.57,3854.57,-94.57,-2.39,16.34,4791.11,22.94,4.17,1.28,-0.023946985926049602,
2026-02-02,3903.57,3903.57,3903.57,3903.57,49.0,1.27,12.4,3072.55,23.23,4.22,1.26,0.012712183200720206,
2026-02-03,4010.18,4010.18,4010.18,4010.18,106.61,2.73,18.21,5539.0,23.92,4.33,1.23,0.027310897460529615,
2026-02-04,4037.1,4037.1,4037.1,4037.1,26.92,0.67,19.94,5621.65,24.05,4.36,1.22,0.006712915629722316,
2026-02-05,4015.25,4015.25,4015.25,4015.25,-21.85,-0.54,13.45,4848.7,23.93,4.34,1.23,-0.005412300909068413,
2026-02-06,4025.61,4025.61,4025.61,4025.61,10.36,0.26,12.24,4166.16,24.1,4.35,1.24,0.0025801631280741866,
2026-02-09,4066.08,4066.08,4066.08,4066.08,40.47,1.01,14.51,3643.21,24.23,4.39,1.2,0.01005313480441461,
2026-02-10,4069.85,4069.85,4069.85,4069.85,3.77,0.09,14.01,4725.47,24.25,4.4,1.2,0.000927182937866533,
2026-02-11,4083.08,4083.08,4083.08,4083.08,13.23,0.33,15.5,4835.37,24.3,4.41,1.21,0.003250734056537752,
2026-02-12,4078.9,4078.9,4078.9,4078.9,-4.18,-0.10,14.03,6266.68,24.23,4.41,1.21,-0.0010237369828658416,
2026-02-13,4026.52,4026.52,4026.52,4026.52,-52.38,-1.28,11.79,5452.97,23.92,4.35,1.2,-0.012841697516487338,
2026-02-16,4057.32,4057.32,4057.32,4057.32,30.8,0.76,11.23,4152.12,24.11,4.39,1.19,0.007649285238866321,
2026-02-17,4064.85,4064.85,4064.85,4064.85,7.53,0.19,9.48,3152.07,24.15,4.39,1.18,0.001855904883026227,
2026-02-18,4086.44,4086.44,4086.44,4086.44,21.59,0.53,10.88,2974.1,24.28,4.42,1.19,0.005311389104148967,
2026-02-19,4025.68,4025.68,4025.68,4025.68,-60.76,-1.49,9.0,3553.54,23.92,4.35,1.2,-0.014868687659674529,
2026-02-20,4046.87,4046.87,4046.87,4046.87,21.19,0.53,10.25,3775.3,24.04,4.37,1.2,0.005263707001053275,
2026-02-23,4065.6,4065.6,4065.6,4065.6,18.73,0.46,12.78,3841.02,24.15,4.39,1.19,0.004628268266586355,
2026-02-24,4039.39,4039.39,4039.39,4039.39,-26.21,-0.64,10.79,4013.05,24.0,4.37,1.2,-0.006446772924045607,
2026-02-25,4050.39,4050.39,4050.39,4050.39,11.0,0.27,13.89,4850.32,24.06,4.38,1.2,0.002723183450966671,
2026-02-26,4060.34,4060.34,4060.34,4060.34,9.95,0.25,22.64,6449.58,24.12,4.39,1.19,0.0024565535664466953,
2026-02-27,4004.75,4004.75,4004.75,4004.75,-55.59,-1.37,9.38,3652.31,23.79,4.33,1.21,-0.013690971692025822,
2026-03-02,3949.84,3949.84,3949.84,3949.84,-54.91,-1.37,21.89,6018.2,23.46,4.27,1.23,-0.013711217928709662,
2026-03-04,3872.74,3872.74,3872.74,3872.74,-77.1,-1.95,15.66,4703.75,23.01,4.19,1.25,-0.019519778016324763,
2026-03-05,3927.83,3927.83,3927.83,3927.83,55.09,1.42,12.94,4685.97,23.33,4.25,1.23,0.014225070621833646,
2026-03-06,3880.17,3880.17,3880.17,3880.17,-47.66,-1.21,9.86,3638.82,23.05,4.19,1.26,-0.01213392636646693,
2026-03-09,3805.13,3805.13,3805.13,3805.13,-75.04,-1.93,11.38,4142.17,22.6,4.11,1.28,-0.019339358842524912,
2026-03-10,3854.11,3854.11,3854.11,3854.11,48.98,1.29,10.49,3941.06,22.9,4.17,1.26,0.012872096354132445,
2026-03-11,3783.47,3783.47,3783.47,3783.47,-70.64,-1.83,8.73,3538.63,22.48,4.09,1.29,-0.018328485694492413,
2026-03-12,3747.98,3747.98,3747.98,3747.98,-35.49,-0.94,11.12,4554.4,22.27,4.05,1.3,-0.009380277893045186,
2026-03-13,3664.59,3664.59,3664.59,3664.59,-83.39,-2.22,12.37,4420.9,21.77,3.96,1.33,-0.02224931829945731,
2026-03-16,3691.82,3691.82,3691.82,3691.82,27.23,0.74,11.03,3648.58,21.93,3.99,1.32,0.007430572042165684,
2026-03-17,3726.44,3726.44,3726.44,3726.44,34.62,0.94,11.8,4085.99,22.14,4.03,1.31,0.009377488609953799,
2026-03-18,3764.03,3764.03,3764.03,3764.03,37.59,1.01,9.08,3966.66,22.36,4.07,1.29,0.010087375618552885,
2026-03-19,3639.58,3639.58,3639.58,3639.58,-124.45,-3.31,12.15,4571.34,21.62,3.93,1.34,-0.03306296708580969,
2026-03-20,3655.55,3655.55,3655.55,3655.55,15.97,0.44,11.25,3717.05,21.72,3.95,1.33,0.004387868929931482,
2026-03-23,3534.84,3534.84,3534.84,3534.84,-120.71,-3.30,15.64,4880.48,19.98,3.7,1.37,-0.033021022828302216,
