Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2005-09-16,,,,1000.0,,-,-,-,-,-,-,,
2005-09-19,,,,1008.3,8.3,0.83,-,-,-,-,-,0.008299999999999974,
2005-09-20,,,,1010.61,2.31,0.23,-,-,-,-,-,0.0022909848259446974,
2005-09-21,,,,999.79,-10.82,-1.07,-,-,-,-,-,-0.01070640504249909,
2005-09-22,,,,959.95,-39.84,-3.98,-,-,-,-,-,-0.03984836815731296,
2005-09-23,,,,963.17,3.22,0.34,-,-,-,-,-,0.0033543413719463455,
2005-09-26,,,,993.7,30.53,3.17,-,-,-,-,-,0.031697415824828434,
2005-09-27,,,,999.46,5.76,0.58,-,-,-,-,-,0.005796518063801992,
2005-09-28,,,,1007.3,7.84,0.78,-,-,-,-,-,0.007844235887379147,
2005-09-29,,,,1007.53,0.23,0.02,-,-,-,-,-,0.00022833316787451707,
2005-09-30,,,,1005.77,-1.76,-0.17,-,-,-,-,-,-0.0017468462477544522,
2005-10-03,,,,1016.33,10.56,1.05,-,-,-,-,-,0.010499418356085366,
2005-10-04,,,,1028.54,12.21,1.20,-,-,-,-,-,0.012013814410673618,
2005-10-05,,,,1020.93,-7.61,-0.74,-,-,-,-,-,-0.007398837186691876,
2005-10-06,,,,1001.09,-19.84,-1.94,-,-,-,-,-,-0.019433261829900128,
2005-10-07,,,,996.34,-4.75,-0.47,-,-,-,-,-,-0.004744828137330348,
2005-10-10,,,,992.73,-3.61,-0.36,-,-,-,-,-,-0.003623261135756839,
2005-10-11,,,,996.05,3.32,0.33,-,-,-,-,-,0.003344313156648848,
2005-10-13,,,,980.37,-15.68,-1.57,-,-,-,-,-,-0.015742181617388606,
2005-10-14,,,,959.58,-20.79,-2.12,-,-,-,-,-,-0.02120627926191132,
2005-10-17,,,,955.97,-3.61,-0.38,-,-,-,-,-,-0.0037620625690406584,
2005-10-18,,,,949.24,-6.73,-0.70,-,-,-,-,-,-0.007039969873531615,
2005-10-19,,,,927.6,-21.64,-2.28,-,-,-,-,-,-0.022797185116514296,
2005-10-20,,,,917.69,-9.91,-1.07,-,-,-,-,-,-0.010683484260457066,
2005-10-21,,,,931.7,14.01,1.53,-,-,-,-,-,0.015266593294031683,
2005-10-24,,,,919.72,-11.98,-1.29,-,-,-,-,-,-0.01285821616400129,
2005-10-25,,,,926.31,6.59,0.72,-,-,-,-,-,0.007165224198669051,
2005-10-26,,,,924.07,-2.24,-0.24,-,-,-,-,-,-0.002418196931912475,
2005-10-27,,,,905.5,-18.57,-2.01,-,-,-,-,-,-0.02009588018223729,
2005-10-28,,,,890.62,-14.88,-1.64,-,-,-,-,-,-0.016432909994478218,
2005-10-31,,,,912.27,21.65,2.43,-,-,-,-,-,0.024308908400889173,
2005-11-01,,,,920.75,8.48,0.93,-,-,-,-,-,0.009295493658675547,
2005-11-02,,,,931.4,10.65,1.16,-,-,-,-,-,0.011566657616073783,
2005-11-07,,,,947.29,15.89,1.71,-,-,-,-,-,0.0170603392742108,
2005-11-08,,,,960.02,12.73,1.34,-,-,-,-,-,0.013438334617698944,
2005-11-09,,,,959.01,-1.01,-0.11,-,-,-,-,-,-0.0010520614153871621,
2005-11-10,,,,961.65,2.64,0.28,-,-,-,-,-,0.0027528388650797098,
2005-11-11,,,,979.61,17.96,1.87,-,-,-,-,-,0.018676233556907507,
2005-11-14,,,,982.32,2.71,0.28,-,-,-,-,-,0.002766407039536123,
2005-11-16,,,,992.58,10.26,1.04,-,-,-,-,-,0.010444661617395434,
2005-11-17,,,,998.31,5.73,0.58,-,-,-,-,-,0.005772834431481577,
2005-11-18,,,,1001.92,3.61,0.36,-,-,-,-,-,0.0036161112279753382,
2005-11-21,,,,994.22,-7.7,-0.77,-,-,-,-,-,-0.0076852443308846885,
2005-11-22,,,,986.59,-7.63,-0.77,-,-,-,-,-,-0.0076743577880147296,
2005-11-23,,,,995.52,8.93,0.91,-,-,-,-,-,0.009051378992286585,
2005-11-24,,,,1005.86,10.34,1.04,-,-,-,-,-,0.010386531661845,
2005-11-25,,,,1018.19,12.33,1.23,-,-,-,-,-,0.012258167140556386,
2005-11-28,,,,1036.0,17.81,1.75,-,-,-,-,-,0.017491823726416333,
2005-11-29,,,,1029.89,-6.11,-0.59,-,-,-,-,-,-0.005897683397683262,
2005-11-30,,,,1017.79,-12.1,-1.17,-,-,-,-,-,-0.011748827544689422,
2005-12-01,,,,1034.14,16.35,1.61,-,-,-,-,-,0.016064217569439876,
2005-12-02,,,,1037.18,3.04,0.29,-,-,-,-,-,0.002939640667607879,
2005-12-05,,,,1026.09,-11.09,-1.07,-,-,-,-,-,-0.010692454540195628,
2005-12-06,,,,1024.6,-1.49,-0.15,-,-,-,-,-,-0.0014521143369490286,
2005-12-07,,,,1032.51,7.91,0.77,-,-,-,-,-,0.007720085887175543,
2005-12-08,,,,1036.07,3.56,0.34,-,-,-,-,-,0.0034479084948328964,
2005-12-09,,,,1051.03,14.96,1.44,-,-,-,-,-,0.014439178819964038,
2005-12-12,,,,1057.39,6.36,0.61,-,-,-,-,-,0.006051206911315665,
2005-12-13,,,,1069.21,11.82,1.12,-,-,-,-,-,0.011178467736596698,
2005-12-14,,,,1068.84,-0.37,-0.03,-,-,-,-,-,-0.00034604988730002617,
2005-12-15,,,,1058.81,-10.03,-0.94,-,-,-,-,-,-0.009384005089629888,
2005-12-16,,,,1070.1,11.29,1.07,-,-,-,-,-,0.010662914026123627,
2005-12-19,,,,1082.05,11.95,1.12,-,-,-,-,-,0.011167180637323693,
2005-12-20,,,,1077.02,-5.03,-0.46,-,-,-,-,-,-0.004648583706852727,
2005-12-21,,,,1076.39,-0.63,-0.06,-,-,-,-,-,-0.0005849473547380191,
2005-12-22,,,,1079.37,2.98,0.28,-,-,-,-,-,0.0027685132712118588,
2005-12-23,,,,1067.09,-12.28,-1.14,-,-,-,-,-,-0.011377006957762337,
2005-12-26,,,,1045.34,-21.75,-2.04,-,-,-,-,-,-0.02038253568115156,
2005-12-27,,,,1067.68,22.34,2.14,-,-,-,-,-,0.021371037174507945,
2005-12-28,,,,1066.37,-1.31,-0.12,-,-,-,-,-,-0.0012269593885809726,
2005-12-29,,,,1073.3,6.93,0.65,-,-,-,-,-,0.006498682446055337,
2005-12-30,,,,1083.88,10.58,0.99,-,-,-,-,-,0.009857448989099238,
2006-01-02,,,,1086.48,2.6,0.24,-,-,-,-,-,0.002398789533896606,
2006-01-03,,,,1103.39,16.91,1.56,-,-,-,-,-,0.015564023267800708,
2006-01-04,,,,1114.23,10.84,0.98,-,-,-,-,-,0.009824268844198292,
2006-01-05,,,,1114.98,0.75,0.07,-,-,-,-,-,0.0006731105786057512,
2006-01-06,,,,1119.31,4.33,0.39,-,-,-,-,-,0.0038834777305420953,
2006-01-09,,,,1118.33,-0.98,-0.09,-,-,-,-,-,-0.0008755393948057799,
2006-01-10,,,,1104.99,-13.34,-1.19,-,-,-,-,-,-0.011928500532043196,
2006-01-12,,,,1099.64,-5.35,-0.48,-,-,-,-,-,-0.004841672775319106,
2006-01-13,,,,1100.05,0.41,0.04,-,-,-,-,-,0.0003728492961332375,
2006-01-16,,,,1092.72,-7.33,-0.67,-,-,-,-,-,-0.006663333484841494,
2006-01-17,,,,1088.27,-4.45,-0.41,-,-,-,-,-,-0.004072406471923307,
2006-01-18,,,,1080.49,-7.78,-0.71,-,-,-,-,-,-0.0071489611952916254,
2006-01-19,,,,1103.1,22.61,2.09,-,-,-,-,-,0.020925691121620682,
2006-01-20,,,,1112.84,9.74,0.88,-,-,-,-,-,0.008829661862025162,
2006-01-23,,,,1108.59,-4.25,-0.38,-,-,-,-,-,-0.003819057546457727,
2006-01-24,,,,1116.36,7.77,0.70,-,-,-,-,-,0.007008903201363825,
2006-01-25,,,,1124.48,8.12,0.73,-,-,-,-,-,0.00727363932781544,
2006-01-27,,,,1144.4,19.92,1.77,-,-,-,-,-,0.017714854866249352,
2006-01-30,,,,1137.87,-6.53,-0.57,-,-,-,-,-,-0.005706046836770562,
2006-01-31,,,,1144.22,6.35,0.56,-,-,-,-,-,0.005580602353520314,
2006-02-01,,,,1134.29,-9.93,-0.87,-,-,-,-,-,-0.008678401006799397,
2006-02-02,,,,1133.69,-0.6,-0.05,-,-,-,-,-,-0.0005289652557987079,
2006-02-03,,,,1127.94,-5.75,-0.51,-,-,-,-,-,-0.005071933244537696,
2006-02-06,,,,1148.38,20.44,1.81,-,-,-,-,-,0.018121531287125237,
2006-02-07,,,,1158.9,10.52,0.92,-,-,-,-,-,0.009160730768560832,
2006-02-08,,,,1155.81,-3.09,-0.27,-,-,-,-,-,-0.002666321511778591,
2006-02-10,,,,1165.56,9.75,0.84,-,-,-,-,-,0.008435642536402943,
2006-02-13,,,,1174.64,9.08,0.78,-,-,-,-,-,0.007790246748344387,
2006-02-14,,,,1167.03,-7.61,-0.65,-,-,-,-,-,-0.006478580671524958,
2006-02-15,,,,1167.87,0.84,0.07,-,-,-,-,-,0.0007197758412378352,
2006-02-16,,,,1170.16,2.29,0.20,-,-,-,-,-,0.001960834681942414,
2006-02-17,,,,1153.03,-17.13,-1.46,-,-,-,-,-,-0.014639023723251654,
2006-02-20,,,,1155.13,2.1,0.18,-,-,-,-,-,0.0018212882578945155,
2006-02-21,,,,1164.41,9.28,0.80,-,-,-,-,-,0.008033727805528468,
2006-02-22,,,,1168.07,3.66,0.31,-,-,-,-,-,0.003143222748001051,
2006-02-23,,,,1168.05,-0.02,0.00,-,-,-,-,-,-1.7122261508295544e-05,
2006-02-24,,,,1167.91,-0.14,-0.01,-,-,-,-,-,-0.00011985788279600396,
2006-02-27,,,,1176.47,8.56,0.73,-,-,-,-,-,0.007329331883449974,
2006-02-28,,,,1181.54,5.07,0.43,-,-,-,-,-,0.00430950215475101,
2006-03-01,,,,1202.87,21.33,1.81,-,-,-,-,-,0.01805271086886595,
2006-03-02,,,,1210.41,7.54,0.63,-,-,-,-,-,0.006268341549793499,
2006-03-03,,,,1210.99,0.58,0.05,-,-,-,-,-,0.00047917647739192937,
2006-03-06,,,,1226.41,15.42,1.27,-,-,-,-,-,0.012733383430086231,
2006-03-07,,,,1229.04,2.63,0.21,-,-,-,-,-,0.002144470446261648,
2006-03-08,,,,1206.71,-22.33,-1.82,-,-,-,-,-,-0.01816865195599815,
2006-03-09,,,,1212.8,6.09,0.50,-,-,-,-,-,0.005046780088007852,
2006-03-10,,,,1232.26,19.46,1.60,-,-,-,-,-,0.016045514511873415,
2006-03-13,,,,1236.56,4.3,0.35,-,-,-,-,-,0.003489523314884835,
2006-03-14,,,,1233.47,-3.09,-0.25,-,-,-,-,-,-0.0024988678268744735,
2006-03-16,,,,1242.05,8.58,0.70,-,-,-,-,-,0.006955985958312594,
2006-03-17,,,,1240.1,-1.95,-0.16,-,-,-,-,-,-0.0015699851052695113,
2006-03-20,,,,1249.2,9.1,0.73,-,-,-,-,-,0.00733811789371841,
2006-03-21,,,,1245.43,-3.77,-0.30,-,-,-,-,-,-0.0030179314761447085,
2006-03-22,,,,1237.49,-7.94,-0.64,-,-,-,-,-,-0.006375308126510548,
2006-03-23,,,,1239.6,2.11,0.17,-,-,-,-,-,0.0017050642833476015,
