Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2000-01-03,1143.41,1197.29,1143.41,1196.46,73.93,6.59,-,-,,,,,
2000-01-04,1206.74,1208.0,1160.76,1179.47,-16.99,-1.42,-,-,,,,-0.014200223994116024,
2000-01-05,1165.38,1170.73,1139.34,1145.4,-34.07,-2.89,-,-,,,,-0.02888585551137368,
2000-01-06,1159.64,1187.62,1158.69,1174.28,28.88,2.52,-,-,,,,0.025213899074558954,
2000-01-07,1178.12,1178.12,1134.76,1138.47,-35.81,-3.05,-,-,,,,-0.030495282215485142,
2000-01-10,1164.3,1181.22,1160.02,1163.88,25.41,2.23,-,-,,,,0.022319428706948807,
2000-01-11,1171.72,1176.5,1116.05,1121.89,-41.99,-3.61,-,-,,,,-0.036077602501976114,
2000-01-12,1121.01,1134.49,1119.75,1128.09,6.2,0.55,-,-,,,,0.005526388505111779,
2000-01-13,1135.35,1137.88,1104.47,1106.29,-21.8,-1.93,-,-,,,,-0.01932469927044822,
2000-01-14,1106.92,1111.12,1094.1,1109.2,2.91,0.26,-,-,,,,0.002630413363584605,
2000-01-17,1129.91,1139.69,1119.43,1119.68,10.48,0.94,-,-,,,,0.009448250991705764,
2000-01-18,1121.87,1133.33,1116.5,1124.96,5.28,0.47,-,-,,,,0.004715633038010925,
2000-01-19,1128.6,1159.76,1125.8,1149.91,24.95,2.22,-,-,,,,0.022178566349025708,
2000-01-20,1153.11,1155.57,1126.74,1129.06,-20.85,-1.81,-,-,,,,-0.018131853797253794,
2000-01-21,1126.04,1128.41,1110.06,1121.5,-7.56,-0.67,-,-,,,,-0.00669583547375685,
2000-01-24,1125.55,1128.16,1096.53,1096.84,-24.66,-2.2,-,-,,,,-0.021988408381631852,
2000-01-25,1101.11,1102.18,1085.12,1092.21,-4.63,-0.42,-,-,,,,-0.004221217315196313,
2000-01-27,1097.68,1107.18,1084.28,1090.4,-1.81,-0.17,-,-,,,,-0.0016571904670347193,
2000-01-28,1089.5,1089.5,1069.21,1075.23,-15.17,-1.39,-,-,,,,-0.013912325752017729,
2000-01-31,1079.78,1083.01,1038.44,1038.44,-36.79,-3.42,-,-,,,,-0.03421593519526056,
2000-02-01,1038.17,1062.29,1034.47,1062.19,23.75,2.29,-,-,,,,0.022870844728631434,
2000-02-02,1069.2,1090.81,1063.89,1073.8,11.61,1.09,-,-,,,,0.010930247884088473,
2000-02-03,1085.05,1088.37,1069.67,1075.14,1.34,0.12,-,-,,,,0.0012479046377353864,
2000-02-04,1077.03,1079.57,1043.96,1044.52,-30.62,-2.85,-,-,,,,-0.028480011905426372,
2000-02-07,1051.98,1063.28,1041.3,1043.77,-0.75,-0.07,-,-,,,,-0.0007180331635583403,
2000-02-08,1044.78,1047.03,1023.84,1035.65,-8.12,-0.78,-,-,,,,-0.007779491650459325,
2000-02-09,1040.53,1043.09,1009.95,1010.12,-25.53,-2.47,-,-,,,,-0.024651185245980867,
2000-02-10,1013.46,1013.46,995.26,998.37,-11.75,-1.16,-,-,,,,-0.011632281313111337,
2000-02-11,1007.14,1007.14,985.95,987.73,-10.64,-1.07,-,-,,,,-0.010657371515570335,
2000-02-14,995.27,1003.7,977.13,977.91,-9.82,-0.99,-,-,,,,-0.009941988195154572,
2000-02-15,980.85,986.87,955.82,958.76,-19.15,-1.96,-,-,,,,-0.019582579173952563,
2000-02-16,962.53,967.14,937.16,949.97,-8.79,-0.92,-,-,,,,-0.009168092118986948,
2000-02-17,949.73,961.4,947.67,951.56,1.59,0.17,-,-,,,,0.0016737370653809869,
2000-02-18,947.95,948.63,906.81,906.81,-44.75,-4.7,-,-,,,,-0.047028038168901554,
2000-02-21,920.66,936.69,920.66,931.17,24.36,2.69,-,-,,,,0.026863400271280646,
2000-02-22,937.51,940.43,908.5,910.89,-20.28,-2.18,-,-,,,,-0.021779052160185497,
2000-02-23,913.18,919.72,885.49,889.73,-21.16,-2.32,-,-,,,,-0.023230027775033135,
2000-02-24,896.94,908.16,883.44,900.02,10.29,1.16,-,-,,,,0.011565306328886304,
2000-02-25,903.59,903.59,863.27,869.99,-30.03,-3.34,-,-,,,,-0.03336592520166215,
2000-02-28,876.46,907.88,876.43,905.23,35.24,4.05,-,-,,,,0.040506212715088585,
2000-02-29,913.63,937.29,869.69,872.5,-32.73,-3.62,-,-,,,,-0.036156556897142145,
2000-03-01,871.76,886.98,864.42,875.06,2.56,0.29,-,-,,,,0.002934097421203319,
2000-03-02,880.6,882.22,835.11,838.27,-36.79,-4.2,-,-,,,,-0.042042831348707455,
2000-03-03,812.36,815.03,783.37,784.84,-53.43,-6.37,-,-,,,,-0.06373841363761068,
2000-03-06,794.17,806.64,785.71,794.22,9.38,1.2,-,-,,,,0.011951480556546601,
2000-03-07,798.24,798.24,762.66,769.71,-24.51,-3.09,-,-,,,,-0.030860466873158576,
2000-03-08,769.77,777.59,745.28,753.4,-16.31,-2.12,-,-,,,,-0.021189798755375522,
2000-03-09,756.59,756.59,719.32,730.0,-23.4,-3.11,-,-,,,,-0.031059198301035318,
2000-03-10,734.0,734.91,711.35,720.38,-9.62,-1.32,-,-,,,,-0.013178082191780849,
2000-03-13,727.3,729.95,714.73,718.95,-1.43,-0.2,-,-,,,,-0.0019850634387406085,
2000-03-14,721.7,737.12,716.52,735.21,16.26,2.26,-,-,,,,0.022616315460045833,
2000-03-15,735.33,755.4,734.01,748.61,13.4,1.82,-,-,,,,0.01822608506413137,
2000-03-16,749.89,749.89,726.08,728.2,-20.41,-2.73,-,-,,,,-0.02726386235823719,
2000-03-21,733.24,751.45,733.24,744.51,16.31,2.24,-,-,,,,0.022397692941499514,
2000-03-22,750.61,764.93,746.46,749.49,4.98,0.67,-,-,,,,0.006688963210702337,
2000-03-23,752.2,752.2,724.19,725.15,-24.34,-3.25,-,-,,,,-0.03247541661663267,
2000-03-24,718.77,719.42,706.54,714.26,-10.89,-1.5,-,-,,,,-0.015017582569123666,
2000-03-27,721.13,740.58,720.02,729.15,14.89,2.08,-,-,,,,0.02084675048301743,
2000-03-28,726.06,736.17,720.3,736.01,6.86,0.94,-,-,,,,0.009408215044915291,
2000-03-29,739.25,739.25,727.63,728.89,-7.12,-0.97,-,-,,,,-0.009673781606228227,
