Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2025-08-29,3172.81,3172.81,3172.81,3172.81,,-,0.07,90.65,33.49,11.14,1.32,,
2025-09-01,3262.26,3262.26,3262.26,3262.26,89.45,2.82,0.05,82.46,34.43,11.46,1.28,0.028192674632266046,
2025-09-02,3233.49,3233.49,3233.49,3233.49,-28.77,-0.88,0.06,85.69,34.13,11.36,1.29,-0.008819039561531072,
2025-09-03,3264.63,3264.63,3264.63,3264.63,31.14,0.96,0.06,60.43,34.46,11.47,1.28,0.009630461204457097,
2025-09-04,3243.04,3243.04,3243.04,3243.04,-21.59,-0.66,0.05,54.69,34.23,11.39,1.29,-0.00661330686785333,
2025-09-05,3251.91,3251.91,3251.91,3251.91,8.87,0.27,0.08,72.42,34.32,11.42,1.29,0.0027350880655188092,
2025-09-08,3290.66,3290.66,3290.66,3290.66,38.75,1.19,0.05,60.65,34.73,11.56,1.27,0.011916073938085692,
2025-09-09,3276.36,3276.36,3276.36,3276.36,-14.3,-0.43,0.13,126.08,34.58,11.51,1.28,-0.004345632790990206,
2025-09-10,3329.4,3329.4,3329.4,3329.4,53.04,1.62,0.06,77.13,35.14,11.69,1.26,0.016188697212760506,
2025-09-11,3298.57,3298.57,3298.57,3298.57,-30.83,-0.93,0.04,68.17,34.82,11.59,1.27,-0.009259926713521938,
2025-09-12,3322.25,3322.25,3322.25,3322.25,23.68,0.72,0.07,72.62,35.07,11.67,1.26,0.007178868418739048,
2025-09-15,3333.29,3333.29,3333.29,3333.29,11.04,0.33,0.11,94.68,35.18,11.71,1.25,0.0033230491383851035,
2025-09-16,3335.71,3335.71,3335.71,3335.71,2.42,0.07,0.07,66.32,35.21,11.72,1.25,0.0007260094381227322,
2025-09-17,3374.51,3374.51,3374.51,3374.51,38.8,1.16,0.18,123.52,36.79,12.08,1.24,0.01163170659319901,
2025-09-18,3388.44,3388.44,3388.44,3388.44,13.93,0.41,0.07,81.77,36.94,12.13,1.23,0.004128006732829315,
2025-09-19,3393.17,3393.17,3393.17,3393.17,4.73,0.14,0.08,88.49,36.99,12.15,1.23,0.0013959226074535813,
2025-09-22,3354.48,3354.48,3354.48,3354.48,-38.69,-1.14,0.05,51.08,36.72,12.07,1.18,-0.011402317007400131,
2025-09-23,3345.98,3345.98,3345.98,3345.98,-8.5,-0.25,0.11,68.63,36.62,12.03,1.19,-0.0025339247811881904,
2025-09-24,3305.86,3305.86,3305.86,3305.86,-40.12,-1.20,0.06,57.83,36.18,11.89,1.2,-0.011990508012600154,
2025-09-25,3295.73,3295.73,3295.73,3295.73,-10.13,-0.31,0.06,58.47,36.07,11.85,1.21,-0.0030642555946107652,
2025-09-26,3241.95,3241.95,3241.95,3241.95,-53.78,-1.63,0.1,82.64,35.48,11.66,1.23,-0.016318084309090874,
2025-09-29,3252.79,3252.79,3252.79,3252.79,10.84,0.33,0.08,84.51,35.6,11.7,1.22,0.003343666620398311,
2025-09-30,3224.81,3224.81,3224.81,3224.81,-27.98,-0.86,0.04,46.45,35.3,11.6,1.23,-0.008601846414923786,
2025-10-01,3273.23,3273.23,3273.23,3273.23,48.42,1.50,0.09,91.07,35.83,11.77,1.21,0.015014838083484028,
2025-10-03,3304.93,3304.93,3304.93,3304.93,31.7,0.97,0.08,96.88,36.17,11.89,1.2,0.009684623445342933,
2025-10-06,3331.22,3331.22,3331.22,3331.22,26.29,0.80,0.06,82.78,36.46,11.98,1.19,0.007954782703415875,
2025-10-07,3318.53,3318.53,3318.53,3318.53,-12.69,-0.38,0.05,76.78,36.32,11.94,1.2,-0.0038094151692171785,
2025-10-08,3296.17,3296.17,3296.17,3296.17,-22.36,-0.67,0.04,53.06,36.08,11.86,1.21,-0.006737923116560629,
2025-10-09,3351.29,3351.29,3351.29,3351.29,55.12,1.67,0.08,136.57,36.68,12.05,1.19,0.016722438466462597,
2025-10-10,3374.82,3374.82,3374.82,3374.82,23.53,0.70,0.07,102.66,36.94,12.14,1.18,0.007021176919932426,
2025-10-13,3439.23,3439.23,3439.23,3439.23,64.41,1.91,0.13,232.87,37.64,12.37,1.16,0.01908546233576902,
2025-10-14,3469.42,3469.42,3469.42,3469.42,30.19,0.88,0.17,334.23,37.97,12.48,1.15,0.008778127662296464,
2025-10-15,3535.36,3535.36,3535.36,3535.36,65.94,1.90,0.1,166.18,38.7,12.72,1.12,0.01900605864957261,
2025-10-16,3529.89,3529.89,3529.89,3529.89,-5.47,-0.15,0.29,215.39,38.58,12.7,1.13,-0.0015472257422158853,
2025-10-17,3516.5,3516.5,3516.5,3516.5,-13.39,-0.38,0.3,134.37,38.43,12.65,1.14,-0.0037933193385629727,
2025-10-20,3536.85,3536.85,3536.85,3536.85,20.35,0.58,0.28,127.83,39.12,12.72,1.12,0.005787004123418038,
2025-10-21,3545.74,3545.74,3545.74,3545.74,8.89,0.25,0.07,37.93,39.22,12.75,1.12,0.002513536056095056,
2025-10-23,3537.15,3537.15,3537.15,3537.15,-8.59,-0.24,0.13,93.56,39.12,12.72,1.12,-0.0024226254604116093,
2025-10-24,3515.49,3515.49,3515.49,3515.49,-21.66,-0.61,0.16,105.09,38.88,12.64,1.13,-0.0061235740638651,
2025-10-27,3561.91,3561.91,3561.91,3561.91,46.42,1.32,0.15,135.02,39.48,12.81,1.17,0.01320441816076845,
2025-10-28,3558.01,3558.01,3558.01,3558.01,-3.9,-0.11,0.18,145.79,39.43,12.8,1.17,-0.0010949181759223325,
2025-10-29,3456.82,3456.82,3456.82,3456.82,-101.19,-2.84,0.15,225.19,38.21,12.43,1.2,-0.028440054974550377,
