Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2018-06-26,,,,1005.08,,-,-,,19.45,3.07,1.48,,
2018-06-27,1005.4,1007.04,985.23,988.68,-16.4,-1.63,0.62,218.61,22.39,2.91,0.82,-0.01631710908584405,
2018-06-28,988.12,989.19,968.5,970.81,-17.87,-1.81,0.82,282.28,21.87,2.84,0.84,-0.018074604523202642,
2018-06-29,972.0,980.11,971.68,978.45,7.64,0.79,1.31,328.38,22.17,2.88,0.83,0.007869717040409618,
2018-07-02,980.83,982.08,967.73,973.17,-5.28,-0.54,1.08,343.55,22.0,2.86,0.83,-0.00539629005059028,
2018-07-03,972.65,980.23,967.94,978.6,5.43,0.56,0.46,154.4,22.16,2.89,0.83,0.005579703443386208,
2018-07-04,977.09,980.68,969.26,978.79,0.19,0.02,1.93,923.04,22.25,2.9,0.83,0.00019415491518492978,
2018-07-05,983.79,984.47,979.22,980.16,1.37,0.14,1.91,886.33,22.13,2.88,0.83,0.0013996873690986789,
2018-07-06,979.86,987.58,976.52,982.06,1.9,0.19,0.63,206.59,22.21,2.89,0.83,0.001938459027097661,
2018-07-09,986.02,993.1,986.02,991.89,9.83,1.00,0.70,392.12,22.56,2.94,0.82,0.010009571716595778,
2018-07-10,995.93,1002.41,994.75,1001.97,10.08,1.02,2.44,1122.11,22.75,2.96,0.81,0.010162417203520624,
2018-07-11,1003.11,1005.56,995.47,997.07,-4.9,-0.49,0.56,274.86,22.59,2.94,0.82,-0.004890365979021261,
2018-07-12,999.26,1012.23,999.26,1003.67,6.6,0.66,0.79,330.88,22.82,2.97,0.81,0.006619394826842484,
2018-07-13,1006.02,1007.57,998.5,1001.35,-2.32,-0.23,0.92,463.99,22.83,2.97,0.81,-0.0023115167335876485,
2018-07-16,1003.05,1003.05,982.88,984.94,-16.41,-1.64,0.67,222.63,22.34,2.91,0.83,-0.01638787636690464,
2018-07-17,986.54,1001.85,983.66,1001.2,16.26,1.65,0.92,378.12,22.8,2.97,0.81,0.01650861981440488,
2018-07-18,1006.53,1009.51,997.4,1000.66,-0.54,-0.05,1.26,458.07,22.75,2.96,0.81,-0.0005393527766680561,
2018-07-19,1001.3,1002.65,990.9,995.67,-4.99,-0.50,0.93,509.67,22.4,2.92,0.82,-0.004986708772210302,
2018-07-20,996.87,1009.43,990.56,1007.68,12.01,1.21,1.14,508.57,22.75,2.97,0.81,0.012062229453533746,
