Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2015-08-11,,,,380.34,,-,1.94,720.23,21.78,2.94,1.26,,
2015-08-12,,,,375.7,-4.64,-1.22,2.54,1117.23,21.31,2.88,1.29,-0.012199610874480737,
2015-08-13,,,,376.35,0.65,0.17,2.20,755.44,21.28,2.88,1.29,0.0017301038062285112,
2015-08-14,,,,383.6,7.25,1.93,2.29,751.06,21.66,2.93,1.27,0.019263982994552897,
2015-08-17,,,,381.54,-2.06,-0.54,2.29,800.19,21.47,2.9,1.26,-0.005370177267987497,
2015-08-18,,,,381.76,0.22,0.06,1.81,612.28,21.49,2.9,1.26,0.0005766105781830344,
2015-08-19,,,,383.15,1.39,0.36,1.69,656.44,21.61,2.92,1.25,0.0036410310142498403,
2015-08-20,,,,378.53,-4.62,-1.21,2.12,794.73,21.27,2.87,1.27,-0.0120579407542738,
2015-08-21,,,,375.38,-3.15,-0.83,2.02,786.65,20.97,2.83,1.29,-0.008321665389797284,
2015-08-24,,,,352.84,-22.54,-6.00,3.79,1328.8,19.84,2.68,1.38,-0.06004582023549476,
2015-08-25,,,,356.77,3.93,1.11,3.84,1259.84,20.33,2.75,1.35,0.011138192948645376,
2015-08-26,,,,352.5,-4.27,-1.20,2.53,848.24,20.05,2.71,1.35,-0.01196849510889364,
2015-08-27,,,,359.83,7.33,2.08,2.53,767.76,20.55,2.78,1.32,0.020794326241134753,
2015-08-28,,,,361.81,1.98,0.55,1.90,628.25,20.59,2.78,1.33,0.005502598449267815,
2015-08-31,,,,360.2,-1.61,-0.44,1.54,537.91,20.42,2.76,1.34,-0.004449849368453052,
2015-09-01,,,,352.25,-7.95,-2.21,2.05,737.03,19.98,2.7,1.37,-0.02207107162687394,
2015-09-02,,,,349.4,-2.85,-0.81,2.31,707.36,19.86,2.68,1.37,-0.008090844570617484,
2015-09-03,,,,354.0,4.6,1.32,1.94,592.16,20.13,2.72,1.36,0.013165426445334916,
2015-09-04,,,,346.2,-7.8,-2.20,2.11,711.97,19.6,2.65,1.39,-0.02203389830508473,
2015-09-07,,,,341.69,-4.51,-1.30,-,,19.25,2.6,1.41,-0.013027151935297465,
2015-09-08,,,,347.37,5.68,1.66,2.16,734.76,19.63,2.65,1.38,0.016623254997219616,
2015-09-09,,,,352.96,5.59,1.61,2.15,753.06,20.0,2.7,1.36,0.016092351095373658,
2015-09-10,,,,351.6,-1.36,-0.39,2.04,644.55,19.91,2.69,1.36,-0.003853127833182146,
2015-09-11,,,,351.47,-0.13,-0.04,1.71,570.98,19.91,2.69,1.37,-0.00036973833902165243,
2015-09-14,,,,355.12,3.65,1.04,1.28,415.62,20.15,2.72,1.35,0.010384954619170772,
2015-09-15,,,,353.2,-1.92,-0.54,1.54,534.41,20.03,2.71,1.36,-0.005406623113313858,
2015-09-16,,,,356.34,3.14,0.89,1.31,572.81,20.21,2.73,1.34,0.008890147225367961,
2015-09-18,,,,360.2,3.86,1.08,6.38,2160.89,20.61,2.79,1.32,0.010832351125329875,
2015-09-21,,,,359.72,-0.48,-0.13,1.39,535.26,20.14,2.97,1.29,-0.0013325930038866618,
2015-09-22,,,,352.84,-6.88,-1.91,1.88,842.1,19.71,2.91,1.32,-0.01912598687868361,
2015-09-23,,,,354.63,1.79,0.51,1.67,666.02,19.7,2.91,1.32,0.005073120961342381,
2015-09-24,,,,355.7,1.07,0.30,1.78,726.39,19.77,2.92,1.31,0.0030172292248258348,
2015-09-28,,,,353.13,-2.57,-0.72,1.63,803.76,19.62,2.9,1.32,-0.007225189766657314,
2015-09-29,,,,354.95,1.82,0.52,2.65,924.81,19.76,2.92,1.31,0.005153909325177786,
2015-09-30,,,,359.7,4.75,1.34,2.55,1074.0,20.1,2.97,1.28,0.013382166502324377,
2015-10-01,,,,360.04,0.34,0.09,1.57,710.74,20.15,2.97,1.28,0.0009452321378928819,
2015-10-05,,,,367.39,7.35,2.04,1.63,661.62,20.62,3.04,1.26,0.02041439840017767,
2015-10-14,,,,365.17,-2.22,-0.60,1.27,657.65,20.36,3.0,1.28,-0.006042625003402247,
2015-10-19,,,,371.97,6.8,1.86,1.12,497.84,20.83,3.07,1.25,0.01862146397568254,
2015-10-26,,,,371.45,-0.52,-0.14,1.36,637.22,20.76,3.06,1.26,-0.001397962201252878,
2015-10-27,,,,370.25,-1.2,-0.32,1.14,588.22,20.69,3.05,1.27,-0.0032305828509893164,
2015-10-28,,,,367.26,-2.99,-0.81,1.39,620.2,20.5,3.02,1.28,-0.008075624577987828,
2015-10-29,,,,364.53,-2.73,-0.74,1.38,526.92,20.31,2.99,1.29,-0.007433425910798985,
2015-10-30,,,,362.23,-2.3,-0.63,1.66,720.91,20.15,2.97,1.3,-0.006309494417468975,
2015-11-02,,,,361.41,-0.82,-0.23,1.28,489.37,19.97,2.93,1.3,-0.0022637550727437894,
2015-11-03,,,,362.1,0.69,0.19,1.19,439.85,20.04,2.9,1.3,0.0019091890097120423,
2015-11-04,,,,360.71,-1.39,-0.38,1.25,500.28,19.95,2.88,1.3,-0.0038387185860260242,
2015-11-05,,,,357.22,-3.49,-0.97,1.50,622.26,19.71,2.85,1.32,-0.009675362479554028,
2015-11-06,,,,356.87,-0.35,-0.10,2.53,878.88,19.68,2.84,1.32,-0.000979788365713108,
2015-11-09,,,,354.78,-2.09,-0.59,1.87,735.54,19.39,2.8,1.33,-0.005856474346400686,
2015-11-10,,,,349.2,-5.58,-1.57,1.80,626.48,19.05,2.75,1.36,-0.01572805682394718,
2015-11-11,,,,350.98,1.78,0.51,0.39,181.03,19.23,2.78,1.34,0.005097365406643739,
2015-11-13,,,,347.6,-3.38,-0.96,1.52,675.34,19.05,2.75,1.34,-0.00963017835774116,
2015-11-16,,,,349.35,1.75,0.50,1.47,581.33,19.21,2.78,1.34,0.005034522439585798,
