Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2005-09-16,,,,1000.0,,-,-,-,-,-,-,,
2005-09-19,,,,1007.75,7.75,0.78,-,-,-,-,-,0.007749999999999924,
2005-09-20,,,,1017.12,9.37,0.93,-,-,-,-,-,0.009297940957578854,
2005-09-21,,,,1016.33,-0.79,-0.08,-,-,-,-,-,-0.0007767028472549509,
2005-09-22,,,,977.74,-38.59,-3.80,-,-,-,-,-,-0.03796995070498754,
2005-09-23,,,,974.02,-3.72,-0.38,-,-,-,-,-,-0.0038046924540267035,
2005-09-26,,,,1008.55,34.53,3.55,-,-,-,-,-,0.035451017432906795,
2005-09-27,,,,1018.73,10.18,1.01,-,-,-,-,-,0.010093698874622081,
2005-09-28,,,,1037.78,19.05,1.87,-,-,-,-,-,0.018699753614794812,
2005-09-29,,,,1041.46,3.68,0.35,-,-,-,-,-,0.0035460309506831766,
2005-09-30,,,,1025.6,-15.86,-1.52,-,-,-,-,-,-0.01522862135847769,
2005-10-03,,,,1031.34,5.74,0.56,-,-,-,-,-,0.005596723868954712,
2005-10-04,,,,1043.46,12.12,1.18,-,-,-,-,-,0.011751701669672654,
2005-10-05,,,,1037.7,-5.76,-0.55,-,-,-,-,-,-0.005520096601690505,
2005-10-06,,,,1026.32,-11.38,-1.10,-,-,-,-,-,-0.010966560663004832,
2005-10-07,,,,1024.92,-1.4,-0.14,-,-,-,-,-,-0.001364096967807149,
2005-10-10,,,,1014.12,-10.8,-1.05,-,-,-,-,-,-0.010537407797681864,
2005-10-11,,,,1022.94,8.82,0.87,-,-,-,-,-,0.008697195598154073,
2005-10-13,,,,1005.97,-16.97,-1.66,-,-,-,-,-,-0.016589438285725455,
2005-10-14,,,,985.88,-20.09,-2.00,-,-,-,-,-,-0.019970774476376074,
2005-10-17,,,,988.64,2.76,0.28,-,-,-,-,-,0.002799529354485353,
2005-10-18,,,,975.86,-12.78,-1.29,-,-,-,-,-,-0.01292684900469332,
2005-10-19,,,,953.75,-22.11,-2.27,-,-,-,-,-,-0.022656938495275947,
2005-10-20,,,,950.71,-3.04,-0.32,-,-,-,-,-,-0.003187418086500582,
2005-10-21,,,,973.19,22.48,2.36,-,-,-,-,-,0.023645486005196226,
2005-10-24,,,,958.93,-14.26,-1.47,-,-,-,-,-,-0.01465284271313938,
2005-10-25,,,,969.15,10.22,1.07,-,-,-,-,-,0.01065771224176948,
2005-10-26,,,,964.06,-5.09,-0.53,-,-,-,-,-,-0.005252024970334834,
2005-10-27,,,,951.84,-12.22,-1.27,-,-,-,-,-,-0.012675559612472131,
2005-10-28,,,,937.12,-14.72,-1.55,-,-,-,-,-,-0.01546478399731055,
2005-10-31,,,,953.9,16.78,1.79,-,-,-,-,-,0.01790592453474482,
2005-11-01,,,,961.59,7.69,0.81,-,-,-,-,-,0.008061641681518017,
2005-11-02,,,,968.87,7.28,0.76,-,-,-,-,-,0.007570794205430609,
2005-11-07,,,,982.5,13.63,1.41,-,-,-,-,-,0.014067934810655602,
2005-11-08,,,,994.47,11.97,1.22,-,-,-,-,-,0.012183206106870292,
2005-11-09,,,,991.76,-2.71,-0.27,-,-,-,-,-,-0.0027250696350820114,
2005-11-10,,,,997.33,5.57,0.56,-,-,-,-,-,0.005616278131806096,
2005-11-11,,,,1016.16,18.83,1.89,-,-,-,-,-,0.018880410696559657,
2005-11-14,,,,1019.84,3.68,0.36,-,-,-,-,-,0.0036214769327664875,
2005-11-16,,,,1035.73,15.89,1.56,-,-,-,-,-,0.015580875431440155,
2005-11-17,,,,1046.39,10.66,1.03,-,-,-,-,-,0.010292257634711754,
2005-11-18,,,,1045.62,-0.77,-0.07,-,-,-,-,-,-0.0007358633014461491,
2005-11-21,,,,1046.72,1.1,0.11,-,-,-,-,-,0.0010520074214344088,
2005-11-22,,,,1030.93,-15.79,-1.51,-,-,-,-,-,-0.015085218587587823,
2005-11-23,,,,1043.91,12.98,1.26,-,-,-,-,-,0.012590573559795537,
2005-11-24,,,,1054.79,10.88,1.04,-,-,-,-,-,0.01042235441752637,
2005-11-25,,,,1055.51,0.72,0.07,-,-,-,-,-,0.0006826003280273607,
2005-11-28,,,,1069.93,14.42,1.37,-,-,-,-,-,0.013661642239296778,
2005-11-29,,,,1071.93,2.0,0.19,-,-,-,-,-,0.0018692811679268395,
2005-11-30,,,,1056.83,-15.1,-1.41,-,-,-,-,-,-0.01408674073866778,
2005-12-01,,,,1067.72,10.89,1.03,-,-,-,-,-,0.010304400897022337,
2005-12-02,,,,1063.05,-4.67,-0.44,-,-,-,-,-,-0.004373805866706659,
2005-12-05,,,,1054.87,-8.18,-0.77,-,-,-,-,-,-0.007694840317953089,
2005-12-06,,,,1054.37,-0.5,-0.05,-,-,-,-,-,-0.0004739920558931576,
2005-12-07,,,,1064.45,10.08,0.96,-,-,-,-,-,0.009560211311020028,
2005-12-08,,,,1071.16,6.71,0.63,-,-,-,-,-,0.006303724928366838,
2005-12-09,,,,1091.63,20.47,1.91,-,-,-,-,-,0.019110123604316742,
2005-12-12,,,,1101.34,9.71,0.89,-,-,-,-,-,0.008894955250405179,
2005-12-13,,,,1113.3,11.96,1.09,-,-,-,-,-,0.01085949842918632,
2005-12-14,,,,1096.34,-16.96,-1.52,-,-,-,-,-,-0.015233989041588125,
2005-12-15,,,,1082.6,-13.74,-1.25,-,-,-,-,-,-0.012532608497363928,
2005-12-16,,,,1087.55,4.95,0.46,-,-,-,-,-,0.0045723258821357415,
2005-12-19,,,,1098.4,10.85,1.00,-,-,-,-,-,0.009976552802170247,
2005-12-20,,,,1100.28,1.88,0.17,-,-,-,-,-,0.001711580480699082,
2005-12-21,,,,1105.45,5.17,0.47,-,-,-,-,-,0.004698803940815122,
2005-12-22,,,,1106.74,1.29,0.12,-,-,-,-,-,0.001166945587769641,
2005-12-23,,,,1094.76,-11.98,-1.08,-,-,-,-,-,-0.01082458391311425,
2005-12-26,,,,1084.27,-10.49,-0.96,-,-,-,-,-,-0.009582008842120682,
2005-12-27,,,,1114.41,30.14,2.78,-,-,-,-,-,0.02779750431165673,
2005-12-28,,,,1118.95,4.54,0.41,-,-,-,-,-,0.004073904577309939,
2005-12-29,,,,1136.61,17.66,1.58,-,-,-,-,-,0.01578265338040108,
