Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2000-01-03,,,,1172.5,73.08,6.65,-,-,-,-,-,,
2000-01-04,,,,1138.74,-33.76,-2.88,-,-,-,-,-,-0.028793176972281453,
2000-01-05,,,,1116.22,-22.52,-1.98,-,-,-,-,-,-0.01977624391871713,
2000-01-06,,,,1168.77,52.55,4.71,-,-,-,-,-,0.04707853290569952,
2000-01-07,,,,1207.37,38.6,3.3,-,-,-,-,-,0.033026172814154986,
2000-01-10,,,,1255.48,48.11,3.98,-,-,-,-,-,0.039846940043234635,
2000-01-11,,,,1232.46,-23.02,-1.83,-,-,-,-,-,-0.01833561665657757,
2000-01-12,,,,1289.86,57.4,4.66,-,-,-,-,-,0.04657351962741174,
2000-01-13,,,,1314.43,24.57,1.9,-,-,-,-,-,0.01904857891554146,
2000-01-14,,,,1294.61,-19.82,-1.51,-,-,-,-,-,-0.0150787793948709,
2000-01-17,,,,1255.34,-39.27,-3.03,-,-,-,-,-,-0.030333459497454807,
2000-01-18,,,,1249.12,-6.22,-0.5,-,-,-,-,-,-0.004954832953622201,
2000-01-19,,,,1236.71,-12.41,-0.99,-,-,-,-,-,-0.009934994235942018,
2000-01-20,,,,1221.26,-15.45,-1.25,-,-,-,-,-,-0.012492823701595435,
2000-01-21,,,,1225.86,4.6,0.38,-,-,-,-,-,0.0037666017064341695,
2000-01-24,,,,1229.54,3.68,0.3,-,-,-,-,-,0.0030019741242883757,
2000-01-25,,,,1204.07,-25.47,-2.07,-,-,-,-,-,-0.02071506417034019,
2000-01-27,,,,1214.61,10.54,0.88,-,-,-,-,-,0.008753643891135976,
2000-01-28,,,,1177.67,-36.94,-3.04,-,-,-,-,-,-0.030413054396061123,
2000-01-31,,,,1155.21,-22.46,-1.91,-,-,-,-,-,-0.019071556548099222,
2000-02-01,,,,1124.67,-30.54,-2.64,-,-,-,-,-,-0.026436751759420285,
2000-02-02,,,,1154.85,30.18,2.68,-,-,-,-,-,0.02683453813118497,
2000-02-03,,,,1145.87,-8.98,-0.78,-,-,-,-,-,-0.007775901632246618,
2000-02-04,,,,1112.56,-33.31,-2.91,-,-,-,-,-,-0.029069615226858136,
2000-02-07,,,,1119.85,7.29,0.66,-,-,-,-,-,0.0065524555979004084,
2000-02-08,,,,1127.52,7.67,0.68,-,-,-,-,-,0.006849131580122458,
2000-02-09,,,,1176.12,48.6,4.31,-,-,-,-,-,0.0431034482758621,
2000-02-10,,,,1175.54,-0.58,-0.05,-,-,-,-,-,-0.0004931469577933445,
2000-02-11,,,,1198.91,23.37,1.99,-,-,-,-,-,0.01988022525817934,
2000-02-14,,,,1177.4,-21.51,-1.79,-,-,-,-,-,-0.017941296677815632,
2000-02-15,,,,1202.1,24.7,2.1,-,-,-,-,-,0.020978427042636083,
2000-02-16,,,,1195.44,-6.66,-0.55,-,-,-,-,-,-0.005540304467182344,
2000-02-17,,,,1217.14,21.7,1.82,-,-,-,-,-,0.01815231211938695,
2000-02-18,,,,1249.0,31.86,2.62,-,-,-,-,-,0.026176117784314057,
2000-02-21,,,,1303.96,54.96,4.4,-,-,-,-,-,0.04400320256204959,
2000-02-22,,,,1344.27,40.31,3.09,-,-,-,-,-,0.03091352495475319,
2000-02-23,,,,1305.47,-38.8,-2.89,-,-,-,-,-,-0.028863249198449736,
2000-02-24,,,,1353.86,48.39,3.71,-,-,-,-,-,0.037067109929757036,
2000-02-25,,,,1332.55,-21.31,-1.57,-,-,-,-,-,-0.015740179929978004,
2000-02-28,,,,1334.62,2.07,0.16,-,-,-,-,-,0.0015534126299199258,
2000-02-29,,,,1260.72,-73.9,-5.54,-,-,-,-,-,-0.05537156643838681,
2000-03-01,,,,1290.2,29.48,2.34,-,-,-,-,-,0.023383463417729455,
2000-03-02,,,,1208.33,-81.87,-6.35,-,-,-,-,-,-0.06345527825143393,
2000-03-03,,,,1146.65,-61.68,-5.1,-,-,-,-,-,-0.051045658056987575,
2000-03-06,,,,1127.36,-19.29,-1.68,-,-,-,-,-,-0.016822918937775433,
2000-03-07,,,,1136.26,8.9,0.79,-,-,-,-,-,0.007894550099347253,
2000-03-08,,,,1136.37,0.11,0.01,-,-,-,-,-,9.680882896501153e-05,
2000-03-09,,,,1112.74,-23.63,-2.08,-,-,-,-,-,-0.02079428355201196,
2000-03-10,,,,1142.53,29.79,2.68,-,-,-,-,-,0.026771752610672772,
2000-03-13,,,,1165.11,22.58,1.98,-,-,-,-,-,0.01976315720374955,
2000-03-14,,,,1224.79,59.68,5.12,-,-,-,-,-,0.05122263133953031,
2000-03-15,,,,1263.7,38.91,3.18,-,-,-,-,-,0.03176871137092907,
2000-03-16,,,,1257.95,-5.75,-0.46,-,-,-,-,-,-0.004550130568964139,
2000-03-21,,,,1218.93,-39.02,-3.1,-,-,-,-,-,-0.03101872093485436,
2000-03-22,,,,1189.68,-29.25,-2.4,-,-,-,-,-,-0.02399645590805055,
2000-03-23,,,,1161.46,-28.22,-2.37,-,-,-,-,-,-0.023720664380337597,
2000-03-24,,,,1161.01,-0.45,-0.04,-,-,-,-,-,-0.00038744339021579144,
2000-03-27,,,,1137.9,-23.11,-1.99,-,-,-,-,-,-0.01990508264356028,
2000-03-28,,,,1142.31,4.41,0.39,-,-,-,-,-,0.0038755602425519786,
2000-03-29,,,,1125.9,-16.41,-1.44,-,-,-,-,-,-0.014365627544186688,
2000-03-30,,,,1135.81,9.91,0.88,-,-,-,-,-,0.008801847410959907,
2000-03-31,,,,1131.0,-4.81,-0.42,-,-,-,-,-,-0.004234863225363372,
2000-04-03,,,,1190.32,59.32,5.24,-,-,-,-,-,0.052449160035366926,
2000-04-04,,,,1110.17,-80.15,-6.73,-,-,-,-,-,-0.06733483433026399,
2000-04-05,,,,1123.65,13.48,1.21,-,-,-,-,-,0.012142284514984114,
2000-04-06,,,,1118.21,-5.44,-0.48,-,-,-,-,-,-0.004841365193788194,
2000-04-07,,,,1191.85,73.64,6.59,-,-,-,-,-,0.065855250802622,
2000-04-10,,,,1192.94,1.09,0.09,-,-,-,-,-,0.0009145446155138792,
2000-04-11,,,,1188.66,-4.28,-0.36,-,-,-,-,-,-0.0035877747413951555,
2000-04-12,,,,1161.15,-27.51,-2.31,-,-,-,-,-,-0.02314370804098731,
2000-04-13,,,,1137.13,-24.02,-2.07,-,-,-,-,-,-0.020686388494165264,
2000-04-17,,,,1086.99,-50.14,-4.41,-,-,-,-,-,-0.04409346336830455,
2000-04-18,,,,1067.71,-19.28,-1.77,-,-,-,-,-,-0.017737053698746008,
2000-04-19,,,,1066.52,-1.19,-0.11,-,-,-,-,-,-0.0011145348456041981,
2000-04-20,,,,1057.74,-8.78,-0.82,-,-,-,-,-,-0.008232381952518408,
2000-04-24,,,,1046.47,-11.27,-1.07,-,-,-,-,-,-0.010654792293002036,
2000-04-25,,,,1018.73,-27.74,-2.65,-,-,-,-,-,-0.026508165547029505,
2000-04-26,,,,1043.39,24.66,2.42,-,-,-,-,-,0.02420661019112047,
2000-04-27,,,,1036.06,-7.33,-0.7,-,-,-,-,-,-0.007025177546267636,
2000-04-28,,,,1014.78,-21.28,-2.05,-,-,-,-,-,-0.020539351002837658,
2000-05-02,,,,943.11,-71.67,-7.06,-,-,-,-,-,-0.07062614556849756,
2000-05-03,,,,944.31,1.2,0.13,-,-,-,-,-,0.0012723860419250332,
2000-05-04,,,,1010.72,66.41,7.03,-,-,-,-,-,0.07032648176975798,
2000-05-05,,,,1054.11,43.39,4.29,-,-,-,-,-,0.0429297926230805,
2000-05-08,,,,1001.26,-52.85,-5.01,-,-,-,-,-,-0.05013708246767412,
2000-05-09,,,,1025.75,24.49,2.45,-,-,-,-,-,0.02445918143139636,
2000-05-10,,,,1015.62,-10.13,-0.99,-,-,-,-,-,-0.009875700706799884,
2000-05-11,,,,984.01,-31.61,-3.11,-,-,-,-,-,-0.031123845532778027,
2000-05-12,,,,971.23,-12.78,-1.3,-,-,-,-,-,-0.012987672889503088,
2000-05-15,,,,993.34,22.11,2.28,-,-,-,-,-,0.022764947540747205,
2000-05-16,,,,1001.88,8.54,0.86,-,-,-,-,-,0.008597257736525199,
2000-05-17,,,,1001.04,-0.84,-0.08,-,-,-,-,-,-0.0008384237633249914,
2000-05-18,,,,1008.57,7.53,0.75,-,-,-,-,-,0.007522176935986558,
2000-05-19,,,,980.81,-27.76,-2.75,-,-,-,-,-,-0.027524118306116674,
2000-05-22,,,,969.55,-11.26,-1.15,-,-,-,-,-,-0.01148030709311687,
2000-05-23,,,,970.12,0.57,0.06,-,-,-,-,-,0.0005879016038368157,
2000-05-24,,,,964.86,-5.26,-0.54,-,-,-,-,-,-0.005422009648290871,
2000-05-25,,,,985.3,20.44,2.12,-,-,-,-,-,0.021184420537694537,
2000-05-26,,,,1071.63,86.33,8.76,-,-,-,-,-,0.08761798437024271,
2000-05-29,,,,1095.43,23.8,2.22,-,-,-,-,-,0.02220915801162704,
2000-05-30,,,,1112.05,16.62,1.52,-,-,-,-,-,0.01517212418867464,
2000-05-31,,,,1112.68,0.63,0.06,-,-,-,-,-,0.0005665212895105132,
2000-06-01,,,,1080.7,-31.98,-2.87,-,-,-,-,-,-0.028741417119028,
2000-06-02,,,,1093.55,12.85,1.19,-,-,-,-,-,0.01189044138058648,
2000-06-05,,,,1096.49,2.94,0.27,-,-,-,-,-,0.0026884916098943723,
2000-06-06,,,,1100.59,4.1,0.37,-,-,-,-,-,0.003739204187908518,
2000-06-07,,,,1099.25,-1.34,-0.12,-,-,-,-,-,-0.0012175287800179069,
2000-06-08,,,,1113.33,14.08,1.28,-,-,-,-,-,0.01280873322720022,
2000-06-09,,,,1108.64,-4.69,-0.42,-,-,-,-,-,-0.004212587462836592,
2000-06-12,,,,1089.27,-19.37,-1.75,-,-,-,-,-,-0.017471857410881864,
2000-06-13,,,,1079.02,-10.25,-0.94,-,-,-,-,-,-0.009409971815986906,
2000-06-14,,,,1092.6,13.58,1.26,-,-,-,-,-,0.012585494244777617,
2000-06-15,,,,1081.81,-10.79,-0.99,-,-,-,-,-,-0.00987552626761845,
2000-06-16,,,,1083.73,1.92,0.18,-,-,-,-,-,0.0017748033388489404,
2000-06-19,,,,1105.47,21.74,2.01,-,-,-,-,-,0.02006034713443383,
2000-06-20,,,,1108.74,3.27,0.3,-,-,-,-,-,0.0029580178566581683,
2000-06-21,,,,1111.83,3.09,0.28,-,-,-,-,-,0.0027869473456354488,
2000-06-22,,,,1134.45,22.62,2.03,-,-,-,-,-,0.020344836890531903,
2000-06-23,,,,1167.21,32.76,2.89,-,-,-,-,-,0.028877429591432024,
2000-06-26,,,,1154.78,-12.43,-1.06,-,-,-,-,-,-0.01064932617095471,
2000-06-27,,,,1170.84,16.06,1.39,-,-,-,-,-,0.013907410935416253,
2000-06-28,,,,1200.97,30.13,2.57,-,-,-,-,-,0.025733661302996147,
2000-06-29,,,,1209.85,8.88,0.74,-,-,-,-,-,0.007394023164608576,
2000-06-30,,,,1194.91,-14.94,-1.23,-,-,-,-,-,-0.012348638260941347,
2000-07-03,,,,1185.23,-9.68,-0.81,-,-,-,-,-,-0.008101028529345355,
2000-07-04,,,,1200.67,15.44,1.3,-,-,-,-,-,0.013027007416282155,
2000-07-05,,,,1204.51,3.84,0.32,-,-,-,-,-,0.003198214330332183,
2000-07-06,,,,1193.59,-10.92,-0.91,-,-,-,-,-,-0.009065927223518289,
2000-07-07,,,,1194.15,0.56,0.05,-,-,-,-,-,0.0004691728315420196,
2000-07-10,,,,1200.44,6.29,0.53,-,-,-,-,-,0.005267344973411969,
2000-07-11,,,,1204.55,4.11,0.34,-,-,-,-,-,0.003423744626970038,
2000-07-12,,,,1220.46,15.91,1.32,-,-,-,-,-,0.013208252044331958,
2000-07-13,,,,1234.85,14.39,1.18,-,-,-,-,-,0.011790636317454029,
2000-07-14,,,,1255.95,21.1,1.71,-,-,-,-,-,0.017087095598655733,
2000-07-17,,,,1201.83,-54.12,-4.31,-,-,-,-,-,-0.043090887376089904,
2000-07-18,,,,1210.04,8.21,0.68,-,-,-,-,-,0.006831249011923557,
2000-07-19,,,,1174.17,-35.87,-2.96,-,-,-,-,-,-0.02964364814386289,
2000-07-20,,,,1143.01,-31.16,-2.65,-,-,-,-,-,-0.02653789485338587,
2000-07-21,,,,1130.34,-12.67,-1.11,-,-,-,-,-,-0.011084767412358643,
2000-07-24,,,,1070.48,-59.86,-5.3,-,-,-,-,-,-0.05295751720721187,
2000-07-25,,,,1085.43,14.95,1.4,-,-,-,-,-,0.01396569763096922,
2000-07-26,,,,1083.02,-2.41,-0.22,-,-,-,-,-,-0.002220318214901096,
2000-07-27,,,,1081.38,-1.64,-0.15,-,-,-,-,-,-0.001514284131410193,
2000-07-28,,,,1078.54,-2.84,-0.26,-,-,-,-,-,-0.002626273835284687,
2000-07-31,,,,1094.7,16.16,1.5,-,-,-,-,-,0.01498321805403613,
2000-08-01,,,,1089.93,-4.77,-0.44,-,-,-,-,-,-0.004357358180323345,
2000-08-02,,,,1091.7,1.77,0.16,-,-,-,-,-,0.0016239575018579533,
2000-08-03,,,,1077.87,-13.83,-1.27,-,-,-,-,-,-0.012668315471283442,
2000-08-04,,,,1116.16,38.29,3.55,-,-,-,-,-,0.035523764461391716,
2000-08-07,,,,1117.43,1.27,0.11,-,-,-,-,-,0.001137829701834736,
2000-08-08,,,,1108.73,-8.7,-0.78,-,-,-,-,-,-0.007785722595598843,
2000-08-09,,,,1083.18,-25.55,-2.3,-,-,-,-,-,-0.023044384115158745,
2000-08-10,,,,1081.21,-1.97,-0.18,-,-,-,-,-,-0.0018187189571446938,
2000-08-11,,,,1058.53,-22.68,-2.1,-,-,-,-,-,-0.020976498552547684,
2000-08-14,,,,1078.25,19.72,1.86,-,-,-,-,-,0.01862960898604671,
2000-08-16,,,,1099.3,21.05,1.95,-,-,-,-,-,0.01952237421748193,
2000-08-17,,,,1091.79,-7.51,-0.68,-,-,-,-,-,-0.006831620121895754,
2000-08-18,,,,1090.07,-1.72,-0.16,-,-,-,-,-,-0.0015753945355791998,
2000-08-21,,,,1095.95,5.88,0.54,-,-,-,-,-,0.0053941489996056635,
2000-08-22,,,,1087.34,-8.61,-0.79,-,-,-,-,-,-0.007856197819243738,
2000-08-23,,,,1095.5,8.16,0.75,-,-,-,-,-,0.0075045523939154535,
2000-08-24,,,,1086.44,-9.06,-0.83,-,-,-,-,-,-0.008270196257416651,
2000-08-25,,,,1084.14,-2.3,-0.21,-,-,-,-,-,-0.0021170060012517533,
2000-08-28,,,,1088.01,3.87,0.36,-,-,-,-,-,0.00356964967624096,
2000-08-29,,,,1083.42,-4.59,-0.42,-,-,-,-,-,-0.004218711225080551,
2000-08-30,,,,1079.4,-4.02,-0.37,-,-,-,-,-,-0.003710472392977726,
2000-08-31,,,,1082.32,2.92,0.27,-,-,-,-,-,0.0027052065962569483,
2000-09-04,,,,1100.94,18.62,1.72,-,-,-,-,-,0.017203784463005523,
2000-09-05,,,,1101.95,1.01,0.09,-,-,-,-,-,0.0009173978600105492,
2000-09-06,,,,1120.67,18.72,1.7,-,-,-,-,-,0.01698806660919283,
2000-09-07,,,,1124.65,3.98,0.36,-,-,-,-,-,0.003551446902299471,
2000-09-08,,,,1115.11,-9.54,-0.85,-,-,-,-,-,-0.008482639043258078,
2000-09-11,,,,1123.34,8.23,0.74,-,-,-,-,-,0.007380437804342277,
2000-09-12,,,,1149.62,26.28,2.34,-,-,-,-,-,0.02339451991382835,
2000-09-13,,,,1139.63,-9.99,-0.87,-,-,-,-,-,-0.008689827943146211,
2000-09-14,,,,1128.07,-11.56,-1.01,-,-,-,-,-,-0.010143643112238365,
2000-09-15,,,,1111.99,-16.08,-1.43,-,-,-,-,-,-0.014254434565230789,
2000-09-18,,,,1092.48,-19.51,-1.75,-,-,-,-,-,-0.01754512180864931,
2000-09-19,,,,1070.79,-21.69,-1.99,-,-,-,-,-,-0.019853910369068584,
2000-09-20,,,,1074.59,3.8,0.35,-,-,-,-,-,0.0035487817405839284,
2000-09-21,,,,1075.7,1.11,0.1,-,-,-,-,-,0.001032952102662632,
2000-09-22,,,,1020.15,-55.55,-5.16,-,-,-,-,-,-0.051640792042391026,
2000-09-25,,,,1020.08,-0.07,-0.01,-,-,-,-,-,-6.86173601920359e-05,
2000-09-26,,,,1009.77,-10.31,-1.01,-,-,-,-,-,-0.010107050427417552,
2000-09-27,,,,1012.1,2.33,0.23,-,-,-,-,-,0.0023074561533815707,
2000-09-28,,,,971.52,-40.58,-4.01,-,-,-,-,-,-0.04009485228732346,
2000-09-29,,,,991.48,19.96,2.05,-,-,-,-,-,0.020545125164690425,
2000-10-03,,,,994.58,3.1,0.31,-,-,-,-,-,0.0031266389639730274,
2000-10-04,,,,1006.41,11.83,1.19,-,-,-,-,-,0.011894468016650173,
2000-10-05,,,,1004.85,-1.56,-0.16,-,-,-,-,-,-0.00155006408918823,
2000-10-06,,,,1007.71,2.86,0.28,-,-,-,-,-,0.0028461959496441924,
2000-10-09,,,,980.44,-27.27,-2.71,-,-,-,-,-,-0.02706135693800793,
2000-10-10,,,,939.54,-40.9,-4.17,-,-,-,-,-,-0.04171596426094415,
2000-10-11,,,,935.39,-4.15,-0.44,-,-,-,-,-,-0.004417055154650074,
2000-10-12,,,,951.49,16.1,1.72,-,-,-,-,-,0.017212071969980425,
2000-10-13,,,,936.34,-15.15,-1.59,-,-,-,-,-,-0.01592239540089757,
2000-10-16,,,,917.53,-18.81,-2.01,-,-,-,-,-,-0.020088856611914507,
2000-10-17,,,,902.0,-15.53,-1.69,-,-,-,-,-,-0.016925877083038166,
2000-10-18,,,,897.89,-4.11,-0.46,-,-,-,-,-,-0.004556541019955618,
2000-10-19,,,,913.77,15.88,1.77,-,-,-,-,-,0.017685908073372003,
2000-10-20,,,,901.06,-12.71,-1.39,-,-,-,-,-,-0.013909408275605495,
2000-10-23,,,,893.78,-7.28,-0.81,-,-,-,-,-,-0.008079373182695915,
2000-10-24,,,,893.17,-0.61,-0.07,-,-,-,-,-,-0.000682494573608694,
2000-10-25,,,,904.03,10.86,1.22,-,-,-,-,-,0.0121589395075965,
2000-10-26,,,,913.27,9.24,1.02,-,-,-,-,-,0.010220899748902168,
2000-10-27,,,,896.92,-16.35,-1.79,-,-,-,-,-,-0.017902701282205724,
2000-10-30,,,,905.45,8.53,0.95,-,-,-,-,-,0.009510324220666444,
2000-10-31,,,,918.45,13.0,1.44,-,-,-,-,-,0.014357501794687755,
2000-11-01,,,,931.62,13.17,1.43,-,-,-,-,-,0.014339376122815661,
2000-11-02,,,,947.93,16.31,1.75,-,-,-,-,-,0.01750713810351856,
2000-11-03,,,,954.2,6.27,0.66,-,-,-,-,-,0.006614412456616092,
2000-11-06,,,,938.84,-15.36,-1.61,-,-,-,-,-,-0.016097254244393233,
2000-11-07,,,,941.13,2.29,0.24,-,-,-,-,-,0.0024391802650078898,
2000-11-08,,,,956.2,15.07,1.6,-,-,-,-,-,0.016012665625365408,
2000-11-09,,,,957.95,1.75,0.18,-,-,-,-,-,0.0018301610541726632,
2000-11-10,,,,942.83,-15.12,-1.58,-,-,-,-,-,-0.015783704786262343,
2000-11-13,,,,932.7,-10.13,-1.07,-,-,-,-,-,-0.01074424869806856,
2000-11-14,,,,943.68,10.98,1.18,-,-,-,-,-,0.01177227404310055,
2000-11-15,,,,948.19,4.51,0.48,-,-,-,-,-,0.004779162427941852,
2000-11-16,,,,931.46,-16.73,-1.76,-,-,-,-,-,-0.017644143051498085,
2000-11-17,,,,934.03,2.57,0.28,-,-,-,-,-,0.0027591093552057355,
2000-11-20,,,,944.11,10.08,1.08,-,-,-,-,-,0.010791944584221058,
2000-11-21,,,,940.94,-3.17,-0.34,-,-,-,-,-,-0.0033576595947505394,
2000-11-22,,,,936.75,-4.19,-0.45,-,-,-,-,-,-0.0044529938146959935,
2000-11-23,,,,919.06,-17.69,-1.89,-,-,-,-,-,-0.018884440886042242,
2000-11-24,,,,915.65,-3.41,-0.37,-,-,-,-,-,-0.003710312710813235,
2000-11-27,,,,930.69,15.04,1.64,-,-,-,-,-,0.016425490089007955,
2000-11-28,,,,955.23,24.54,2.64,-,-,-,-,-,0.0263675337652709,
2000-11-29,,,,967.34,12.11,1.27,-,-,-,-,-,0.012677575034284905,
2000-11-30,,,,985.7,18.36,1.9,-,-,-,-,-,0.018979882978063634,
2000-12-01,,,,993.8,8.1,0.82,-,-,-,-,-,0.008217510398701444,
2000-12-04,,,,979.77,-14.03,-1.41,-,-,-,-,-,-0.01411752867780236,
2000-12-05,,,,983.88,4.11,0.42,-,-,-,-,-,0.004194862059462956,
2000-12-06,,,,1002.64,18.76,1.91,-,-,-,-,-,0.019067365938935543,
2000-12-07,,,,996.63,-6.01,-0.6,-,-,-,-,-,-0.005994175377004751,
2000-12-08,,,,995.46,-1.17,-0.12,-,-,-,-,-,-0.0011739562325034925,
2000-12-11,,,,1005.28,9.82,0.99,-,-,-,-,-,0.009864786129025749,
2000-12-12,,,,1004.73,-0.55,-0.05,-,-,-,-,-,-0.0005471112525863298,
2000-12-13,,,,1018.47,13.74,1.37,-,-,-,-,-,0.013675315756471962,
2000-12-14,,,,1018.18,-0.29,-0.03,-,-,-,-,-,-0.00028474083674534523,
2000-12-15,,,,1009.34,-8.84,-0.87,-,-,-,-,-,-0.00868215836099695,
2000-12-18,,,,1023.94,14.6,1.45,-,-,-,-,-,0.014464897854043368,
2000-12-19,,,,1031.56,7.62,0.74,-,-,-,-,-,0.0074418422954469765,
2000-12-20,,,,1012.56,-19.0,-1.84,-,-,-,-,-,-0.01841870564969561,
2000-12-21,,,,1022.81,10.25,1.01,-,-,-,-,-,0.010122856917121004,
2000-12-22,,,,1018.02,-4.79,-0.47,-,-,-,-,-,-0.004683176738592643,
2000-12-26,,,,1013.83,-4.19,-0.41,-,-,-,-,-,-0.00411583269483895,
2000-12-27,,,,1033.18,19.35,1.91,-,-,-,-,-,0.019086040065888765,
2000-12-28,,,,1034.66,1.48,0.14,-,-,-,-,-,0.001432470624673332,
2000-12-29,,,,1037.27,2.61,0.25,-,-,-,-,-,0.002522567800050224,
2001-01-01,,,,1022.58,-14.69,-1.42,-,-,-,-,-,-0.014162175711242009,
2001-01-02,,,,1022.89,0.31,0.03,-,-,-,-,-,0.0003031547653973288,
2001-01-03,,,,1041.15,18.26,1.79,-,-,-,-,-,0.017851381869018246,0.3489876152690723
2001-01-04,,,,1055.21,14.06,1.35,-,-,-,-,-,0.013504298131873371,0.3480740791204723
2001-01-05,,,,1050.6,-4.61,-0.44,-,-,-,-,-,-0.0043687986277614055,0.34753858472358723
2001-01-08,,,,1048.0,-2.6,-0.25,-,-,-,-,-,-0.0024747763182941807,0.3443167793805802
2001-01-09,,,,1063.6,15.6,1.49,-,-,-,-,-,0.014885496183206115,0.34303483106992455
