Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2005-09-16,,,,1000.0,,-,-,-,-,-,-,,
2005-09-19,,,,1013.09,13.09,1.31,-,-,-,-,-,0.013090000000000046,
2005-09-20,,,,1022.43,9.34,0.92,-,-,-,-,-,0.009219319112813151,
2005-09-21,,,,1007.77,-14.66,-1.43,-,-,-,-,-,-0.014338389914223981,
2005-09-22,,,,974.92,-32.85,-3.26,-,-,-,-,-,-0.032596723458725774,
2005-09-23,,,,970.41,-4.51,-0.46,-,-,-,-,-,-0.004626020596561808,
2005-09-26,,,,989.95,19.54,2.01,-,-,-,-,-,0.02013581888067928,
2005-09-27,,,,1001.58,11.63,1.17,-,-,-,-,-,0.011748068084246777,
2005-09-28,,,,1015.75,14.17,1.41,-,-,-,-,-,0.014147646718185136,
2005-09-29,,,,1009.92,-5.83,-0.57,-,-,-,-,-,-0.005739601279842521,
2005-09-30,,,,1016.97,7.05,0.70,-,-,-,-,-,0.00698075095057038,
2005-10-03,,,,1017.4,0.43,0.04,-,-,-,-,-,0.00042282466542764574,
2005-10-04,,,,1028.71,11.31,1.11,-,-,-,-,-,0.011116571653233764,
2005-10-05,,,,1010.92,-17.79,-1.73,-,-,-,-,-,-0.017293503514109965,
2005-10-06,,,,979.48,-31.44,-3.11,-,-,-,-,-,-0.031100383808807752,
2005-10-07,,,,971.92,-7.56,-0.77,-,-,-,-,-,-0.007718381181851641,
2005-10-10,,,,967.31,-4.61,-0.47,-,-,-,-,-,-0.004743188739813942,
2005-10-11,,,,981.17,13.86,1.43,-,-,-,-,-,0.014328395240408964,
2005-10-13,,,,965.84,-15.33,-1.56,-,-,-,-,-,-0.015624203756739341,
2005-10-14,,,,944.2,-21.64,-2.24,-,-,-,-,-,-0.02240536734862919,
2005-10-17,,,,944.68,0.48,0.05,-,-,-,-,-,0.0005083668714254141,
2005-10-18,,,,937.78,-6.9,-0.73,-,-,-,-,-,-0.007304060634288789,
2005-10-19,,,,921.85,-15.93,-1.70,-,-,-,-,-,-0.016986926571263994,
2005-10-20,,,,904.08,-17.77,-1.93,-,-,-,-,-,-0.019276454954710642,
2005-10-21,,,,909.43,5.35,0.59,-,-,-,-,-,0.005917617909919404,
2005-10-24,,,,897.94,-11.49,-1.26,-,-,-,-,-,-0.012634287410795642,
2005-10-25,,,,906.41,8.47,0.94,-,-,-,-,-,0.009432701516804975,
2005-10-26,,,,909.45,3.04,0.34,-,-,-,-,-,0.0033538906234487076,
2005-10-27,,,,883.72,-25.73,-2.83,-,-,-,-,-,-0.028291824729231974,
2005-10-28,,,,868.58,-15.14,-1.71,-,-,-,-,-,-0.01713212329697189,
2005-10-31,,,,892.45,23.87,2.75,-,-,-,-,-,0.027481636694374645,
2005-11-01,,,,898.59,6.14,0.69,-,-,-,-,-,0.006879937251386581,
2005-11-02,,,,905.06,6.47,0.72,-,-,-,-,-,0.007200169153896541,
2005-11-07,,,,911.74,6.68,0.74,-,-,-,-,-,0.00738072613970342,
2005-11-08,,,,926.56,14.82,1.63,-,-,-,-,-,0.01625463399653393,
2005-11-09,,,,929.28,2.72,0.29,-,-,-,-,-,0.002935589708167985,
2005-11-10,,,,925.84,-3.44,-0.37,-,-,-,-,-,-0.003701790633608759,
2005-11-11,,,,944.85,19.01,2.05,-,-,-,-,-,0.020532705435064358,
