Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2021-11-16,,,,6567.3,,-,0.34,164.36,27.23,3.2,0.79,,
2021-11-17,,,,6552.02,-15.28,-0.23,0.32,145.82,27.23,3.19,0.79,-0.002326679152772071,
2021-11-18,,,,6467.39,-84.63,-1.29,0.38,147.72,26.94,3.16,0.8,-0.012916627238622636,
2021-11-22,,,,6275.95,-191.44,-2.96,0.56,271.09,26.02,3.05,0.82,-0.029600812692600953,
2021-11-23,,,,6332.06,56.11,0.89,0.43,202.95,26.26,3.08,0.82,0.008940479130649548,
2021-11-24,,,,6311.7,-20.36,-0.32,0.42,161.7,26.22,3.07,0.82,-0.003215383303380004,
2021-11-25,,,,6304.24,-7.46,-0.12,0.48,170.77,26.15,3.07,0.82,-0.0011819319676157347,
2021-11-26,,,,6077.5,-226.74,-3.60,1.02,374.03,25.12,2.94,0.85,-0.03596627031965782,
2021-11-29,,,,6061.58,-15.92,-0.26,0.62,253.72,25.11,2.94,0.85,-0.002619498148909938,
2021-11-30,,,,6102.99,41.41,0.68,-,,25.31,2.97,0.85,0.006831552169566324,
2021-12-01,,,,6182.57,79.58,1.30,0.55,202.27,25.71,3.01,0.83,0.013039510141750199,
2021-12-02,,,,6305.66,123.09,1.99,0.53,216.59,26.17,3.07,0.82,0.019909196337445367,
2021-12-03,,,,6248.96,-56.7,-0.90,0.59,201.79,25.91,3.04,0.83,-0.008991921543502146,
2021-12-06,,,,6151.79,-97.17,-1.55,0.50,178.13,25.48,2.99,0.84,-0.015549787484637423,
2021-12-07,,,,6239.88,88.09,1.43,0.38,162.26,25.82,3.03,0.83,0.01431940947269017,
2021-12-08,,,,6346.47,106.59,1.71,0.35,249.63,26.3,3.08,0.81,0.017082059270370653,
2021-12-09,,,,6336.32,-10.15,-0.16,0.56,196.46,26.24,3.08,0.82,-0.0015993142644652458,
2021-12-10,,,,6344.67,8.35,0.13,0.47,204.68,26.19,3.07,0.82,0.001317799606080472,
2021-12-13,,,,6275.13,-69.54,-1.10,0.45,212.22,26.04,3.05,0.82,-0.010960380918156543,
2021-12-14,,,,6193.45,-81.68,-1.30,0.43,245.58,25.65,3.01,0.83,-0.013016463403945466,
2021-12-15,,,,6095.62,-97.83,-1.58,0.50,303.78,25.2,2.95,0.85,-0.01579571967158855,
2021-12-16,,,,6091.2,-4.42,-0.07,1.63,598.01,25.26,2.96,0.85,-0.0007251108172753318,
2021-12-17,,,,5930.44,-160.76,-2.64,0.96,309.24,24.65,2.89,0.87,-0.026392172314158135,
2021-12-20,,,,5757.3,-173.14,-2.92,0.70,494.4,24.35,2.93,0.88,-0.029195135605452505,
2021-12-21,,,,5792.01,34.71,0.60,0.28,160.25,24.6,2.96,0.88,0.006028867698400386,
2021-12-22,,,,5840.89,48.88,0.84,-,,24.76,2.98,0.87,0.008439211948874314,
2021-12-23,,,,5916.26,75.37,1.29,0.41,143.26,25.11,3.02,0.86,0.012903855405597353,
2021-12-24,,,,5854.34,-61.92,-1.05,0.42,116.28,24.85,2.99,0.87,-0.010466071470827898,
2021-12-27,,,,5899.82,45.48,0.78,0.28,115.69,24.96,3.01,0.86,0.007768595605994744,
2021-12-28,,,,5935.01,35.19,0.60,0.20,95.26,25.21,3.04,0.86,0.005964588750165367,
2021-12-29,,,,5938.67,3.66,0.06,0.26,122.37,25.15,3.03,0.86,0.0006166796686104536,
2021-12-30,,,,5925.12,-13.55,-0.23,-,,25.12,3.03,0.86,-0.0022816556569064117,
2021-12-31,,,,6005.67,80.55,1.36,0.23,116.71,25.46,3.07,0.84,0.013594661373946826,
2022-01-03,,,,6123.71,118.04,1.97,0.42,229.39,25.91,3.12,0.83,0.019654759585524983,
2022-01-04,,,,6174.62,50.91,0.83,0.25,151.64,26.06,3.14,0.83,0.008313587678057788,
2022-01-05,,,,6273.82,99.2,1.61,0.38,229.17,26.52,3.19,0.81,0.016065765990457725,
2022-01-06,,,,6243.34,-30.48,-0.49,-,,26.39,3.18,0.82,-0.004858284107609023,
2022-01-07,,,,6218.58,-24.76,-0.40,-,,26.27,3.16,0.82,-0.003965825984168725,
2022-01-10,,,,6266.48,47.9,0.77,0.26,150.48,26.5,3.19,0.81,0.007702723129717759,
2022-01-11,,,,6274.12,7.64,0.12,0.30,149.36,26.58,3.2,0.81,0.001219185252326671,
2022-01-12,,,,6345.86,71.74,1.14,0.33,207.26,26.82,3.23,0.8,0.011434272854200955,
2022-01-13,,,,6367.85,21.99,0.35,0.27,178.61,26.83,3.23,0.8,0.0034652513607298374,
2022-01-14,,,,6353.59,-14.26,-0.22,0.30,144.66,26.68,3.21,0.81,-0.0022393743571221814,
2022-01-17,,,,6391.22,37.63,0.59,0.26,128.91,26.96,3.25,0.8,0.005922635864133552,
2022-01-18,,,,6310.82,-80.4,-1.26,0.39,167.38,26.5,3.19,0.81,-0.01257975785530785,
2022-01-19,,,,6230.81,-80.01,-1.27,0.36,326.41,26.26,3.16,0.82,-0.012678225650549213,
