Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2024-10-07,49756.18,49756.18,49756.18,49756.18,,-,0.1,194.75,34.47,8.76,1.67,,
2024-10-08,50027.41,50027.41,50027.41,50027.41,271.23,0.55,0.17,181.65,34.65,8.81,1.66,0.005451182144609934,
2024-10-09,50306.68,50306.68,50306.68,50306.68,279.27,0.56,0.27,294.34,34.85,8.86,1.65,0.005582339761342814,
2024-10-10,49682.27,49682.27,49682.27,49682.27,-624.41,-1.24,0.1,129.78,34.41,8.75,1.67,-0.012412069331548037,
2024-10-11,49971.32,49971.32,49971.32,49971.32,289.05,0.58,0.16,308.22,34.5,8.8,1.67,0.00581797087773972,
2024-10-14,50580.49,50580.49,50580.49,50580.49,609.17,1.22,0.18,180.92,34.92,8.9,1.65,0.012190392409085815,
2024-10-15,50408.12,50408.12,50408.12,50408.12,-172.37,-0.34,0.11,185.37,34.71,8.87,1.66,-0.003407835708985729,
2024-10-16,49764.16,49764.16,49764.16,49764.16,-643.96,-1.28,0.12,370.28,34.27,8.76,1.68,-0.012774925944470827,
2024-10-17,50426.64,50426.64,50426.64,50426.64,662.48,1.33,0.15,213.36,34.73,8.88,1.66,0.013312391890067055,
2024-10-18,49556.1,49556.1,49556.1,49556.1,-870.54,-1.73,0.3,359.03,33.78,8.72,1.74,-0.01726349405790273,
2024-10-21,48899.74,48899.74,48899.74,48899.74,-656.36,-1.32,0.2,214.39,32.85,8.61,1.65,-0.013244787220947574,
2024-10-22,48525.95,48525.95,48525.95,48525.95,-373.79,-0.76,0.08,106.08,32.6,8.54,1.73,-0.007644007923150564,
2024-10-23,49642.45,49642.45,49642.45,49642.45,1116.5,2.30,0.15,444.9,33.3,8.74,1.69,0.02300830792596531,
2024-10-24,49512.45,49512.45,49512.45,49512.45,-130.0,-0.26,0.08,122.83,33.17,8.72,1.69,-0.002618726513296532,
2024-10-25,49328.15,49328.15,49328.15,49328.15,-184.3,-0.37,0.14,218.19,33.04,8.68,1.72,-0.0037222961093622553,
2024-10-28,49618.21,49618.21,49618.21,49618.21,290.06,0.59,0.07,132.72,33.24,8.73,1.38,0.005880212414209662,
2024-10-29,49354.97,49354.97,49354.97,49354.97,-263.24,-0.53,0.09,138.53,33.06,8.69,1.75,-0.005305310288299392,
2024-10-30,48910.31,48910.31,48910.31,48910.31,-444.66,-0.90,0.1,109.44,32.76,8.61,1.77,-0.009009427014138649,
2024-10-31,48823.83,48824.12,47233.77,47485.94,-1424.37,-2.91,0.17,337.54,31.81,8.36,1.91,-0.02912208080464007,
2024-11-01,47830.99,47894.43,47454.42,47541.69,55.75,0.12,0.02,30.09,31.85,8.37,1.91,0.0011740317239166131,
2024-11-04,47247.9,47575.39,46972.59,47507.94,-33.75,-0.07,0.08,142.13,31.82,8.36,1.83,-0.0007099032449203735,
2024-11-05,47495.94,47756.75,47257.94,47483.07,-24.87,-0.05,0.05,80.21,31.81,8.36,1.83,-0.0005234914416412106,
2024-11-06,47878.89,49438.96,47792.11,49372.18,1889.11,3.98,0.37,729.75,33.07,8.69,1.76,0.0397849170241098,
2024-11-07,49611.4,49722.4,48550.01,48993.68,-378.5,-0.77,0.07,115.97,32.82,8.62,1.77,-0.007666260635037836,
2024-11-08,49202.67,49678.91,49134.26,49361.2,367.52,0.75,0.13,184.28,33.07,8.69,1.76,0.007501375687639644,
2024-11-11,49194.21,50185.38,49095.44,49900.81,539.61,1.09,0.08,148.67,33.43,8.78,1.74,0.010931865513804429,
2024-11-12,50136.76,50237.27,49781.27,49933.37,32.56,0.07,0.08,102.75,33.45,8.79,1.74,0.0006524944184274073,
2024-11-13,49859.15,50029.27,49487.74,49685.43,-247.94,-0.50,0.06,85.24,33.28,8.75,1.75,-0.004965416914580412,
2024-11-14,49601.97,49968.44,49448.58,49682.49,-2.94,-0.01,0.09,181.91,33.28,8.75,1.75,-5.917227646012879e-05,
2024-11-18,49800.13,49800.13,48129.89,48545.79,-1136.7,-2.29,0.11,147.77,32.52,8.55,1.79,-0.02287928805500683,
2024-11-19,48745.32,49772.58,48745.32,48954.32,408.53,0.84,0.09,122.13,32.79,8.62,1.77,0.008415353833978179,
2024-11-21,49206.69,49657.48,48864.11,49192.78,238.46,0.49,0.06,98.81,32.95,8.66,1.76,0.004871071643932634,
2024-11-22,49534.25,50913.73,49218.39,50794.91,1602.13,3.26,0.2,306.93,34.03,8.94,1.71,0.03256839723227678,
2024-11-25,51255.98,51318.63,50765.42,51090.21,295.3,0.58,0.1,192.31,34.22,8.99,1.7,0.00581357462785137,
2024-11-26,51185.09,51856.27,51184.59,51619.61,529.4,1.04,0.09,126.39,34.58,9.09,1.68,0.010362063495139351,
2024-11-27,51807.69,51946.84,51526.79,51580.72,-38.89,-0.08,0.09,102.6,34.55,9.08,1.68,-0.0007533958509179373,
2024-11-28,51588.98,51588.98,50267.72,50366.33,-1214.39,-2.35,0.07,103.04,33.74,8.87,1.72,-0.023543486791188672,
2024-11-29,50295.15,50915.16,50106.7,50547.5,181.17,0.36,0.08,157.73,33.86,8.9,1.72,0.0035970458836289687,
2024-12-02,50493.56,51051.38,50187.2,50996.56,449.06,0.89,0.07,104.65,34.16,8.98,1.7,0.008883921064345435,
2024-12-03,51191.78,51376.55,50878.73,51304.62,308.06,0.60,0.1,122.64,34.37,9.03,1.69,0.00604079961471915,
2024-12-04,51366.56,51850.58,51105.63,51531.29,226.67,0.44,0.09,100.57,34.52,9.07,1.68,0.004418120629292144,
2024-12-05,51718.35,52816.68,51635.01,52542.53,1011.24,1.96,0.14,275.58,35.2,9.25,1.65,0.019623805264723515,
2024-12-06,52531.73,52601.52,52234.78,52462.12,-80.41,-0.15,0.12,176.42,35.53,9.34,1.64,-0.0015303792946399497,
2024-12-09,52394.08,52671.57,52156.0,52590.6,128.48,0.24,0.07,128.09,35.23,9.26,1.65,0.002449005110735092,
2024-12-10,52636.69,53237.74,52599.04,53032.66,442.06,0.84,0.15,161.66,35.53,9.34,1.64,0.008405684666081159,
2024-12-11,53101.96,53301.12,52889.52,53184.16,151.5,0.29,0.07,109.68,35.63,9.36,1.63,0.002856730173444122,
2024-12-12,53412.13,53997.59,53309.24,53641.83,457.67,0.86,0.12,218.83,35.93,9.44,1.62,0.008605381752762487,
2024-12-13,53460.48,54112.22,52917.24,53998.21,356.38,0.66,0.08,189.5,36.17,9.51,1.61,0.006643695787410531,
2024-12-16,53814.75,54007.4,53473.48,53597.93,-400.28,-0.74,0.07,80.16,35.9,9.43,1.62,-0.007412838314455272,
2024-12-17,53545.25,53705.31,53117.89,53331.11,-266.82,-0.50,0.04,74.14,35.73,9.39,1.63,-0.004978177328863298,
2024-12-18,53270.62,53658.35,53146.89,53470.47,139.36,0.26,0.07,97.38,35.82,9.41,1.62,0.002613108933978703,
2024-12-19,52322.71,53156.1,52161.88,52826.48,-643.99,-1.20,0.23,397.07,35.39,9.3,1.64,-0.012043844013340355,
2024-12-20,53415.56,53583.83,51321.52,51446.18,-1380.3,-2.61,0.12,213.77,34.46,9.06,1.69,-0.026128941394543137,
2024-12-23,51724.26,52029.71,51306.02,51527.45,81.27,0.16,0.05,89.28,34.36,9.1,1.7,0.0015797091251477102,
2024-12-24,51585.38,51972.21,51230.99,51328.7,-198.75,-0.39,0.17,120.68,34.22,9.06,1.7,-0.0038571673933019968,
2024-12-26,51353.12,51520.14,51060.93,51306.9,-21.8,-0.04,0.15,141.04,34.21,9.06,1.71,-0.00042471365921981086,
2024-12-27,51406.0,51580.44,51199.44,51409.59,102.69,0.20,0.07,121.48,34.28,9.08,1.7,0.002001485180355811,
2024-12-30,51410.21,51842.62,50841.66,51658.49,248.9,0.48,0.15,200.25,34.44,9.12,1.69,0.004841509142554878,
2024-12-31,51227.59,51227.59,50008.25,50899.08,-759.41,-1.47,0.04,79.99,33.94,8.99,1.72,-0.014700584550574325,
