Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2024-10-08,25322.27,25322.27,25322.27,25322.27,,-,0.31,146.21,34.39,4.13,0.94,,
2024-10-09,25490.2,25490.2,25490.2,25490.2,167.93,0.66,1.3,386.31,34.62,4.16,0.93,0.006631711927880035,
2024-10-10,25271.62,25271.62,25271.62,25271.62,-218.58,-0.86,0.49,184.24,34.32,4.12,0.94,-0.008575060219221609,
2024-10-11,25380.53,25380.53,25380.53,25380.53,108.91,0.43,0.3,117.03,34.47,4.14,0.95,0.004309577304502099,
2024-10-14,25545.22,25545.22,25545.22,25545.22,164.69,0.65,0.43,175.44,34.69,4.16,0.95,0.0064888321875076205,
2024-10-15,25583.56,25583.56,25583.56,25583.56,38.34,0.15,0.29,128.44,34.2,4.06,0.93,0.0015008678727370661,
2024-10-16,25438.78,25438.78,25438.78,25438.78,-144.78,-0.57,0.34,361.68,34.01,4.04,0.93,-0.005659102955179129,
2024-10-17,24965.82,24965.82,24965.82,24965.82,-472.96,-1.86,0.37,101.8,33.37,3.96,0.95,-0.018592086570189292,
2024-10-18,25103.52,25103.52,25103.52,25103.52,137.7,0.55,0.27,126.29,33.56,3.98,0.95,0.005515540847446765,
2024-10-21,24550.64,24550.64,24550.64,24550.64,-552.88,-2.20,0.45,136.11,32.82,3.89,0.97,-0.022024003008343063,
2024-10-22,24019.37,24019.37,24019.37,24019.37,-531.27,-2.16,0.68,158.47,32.11,3.81,0.99,-0.021639761733299068,
2024-10-23,24172.87,24172.87,24172.87,24172.87,153.5,0.64,0.87,528.13,32.26,3.83,0.98,0.006390675525627776,
2024-10-24,24253.52,24253.52,24253.52,24253.52,80.65,0.33,0.52,134.2,32.32,3.85,0.98,0.0033363849638046172,
2024-10-25,23830.92,23830.92,23830.92,23830.92,-422.6,-1.74,0.84,177.71,31.58,3.78,1.0,-0.017424274909374038,
2024-10-28,24077.95,24077.95,24077.95,24077.95,247.03,1.04,2.26,326.25,34.87,3.82,0.99,0.010365944747412259,
2024-10-29,24264.26,24264.26,24264.26,24264.26,186.31,0.77,0.8,186.16,34.89,3.85,0.98,0.007737784985847984,
2024-10-30,24266.57,24266.57,24266.57,24266.57,2.31,0.01,0.74,185.68,34.73,3.85,0.98,9.520174940425008e-05,
2024-10-31,24371.94,24371.94,23835.29,24023.75,-242.82,-1.00,0.86,141.09,34.44,3.81,0.99,-0.010006358541812865,
2024-11-01,24279.2,24279.2,24118.03,24148.45,124.7,0.52,0.33,47.85,34.62,3.83,0.98,0.00519069670638439,
2024-11-04,24171.87,24171.87,23874.94,23978.08,-170.37,-0.71,0.72,155.74,34.37,3.8,1.01,-0.00705511119761304,
2024-11-05,23954.74,24092.7,23615.42,24051.93,73.85,0.31,0.41,143.52,34.48,3.82,1.01,0.0030798963052920403,
2024-11-06,24163.43,24566.85,24123.14,24537.5,485.57,2.02,0.47,234.98,35.17,3.89,0.99,0.020188400681359076,
2024-11-07,24732.38,24732.38,24255.21,24282.89,-254.61,-1.04,0.49,154.73,34.81,3.85,0.97,-0.010376362710137532,
2024-11-08,24419.48,24419.48,24088.04,24151.28,-131.61,-0.54,0.58,287.67,33.96,3.83,0.96,-0.005419865592604545,
2024-11-11,24186.9,24302.86,24027.07,24126.59,-24.69,-0.10,0.65,209.05,33.94,3.83,0.96,-0.0010223060641091353,
2024-11-12,24221.07,24296.2,23772.07,23820.57,-306.02,-1.27,0.34,158.3,33.83,3.78,0.97,-0.01268393088289732,
2024-11-13,23768.56,23803.1,23217.81,23314.43,-506.14,-2.12,0.58,117.4,33.11,3.7,0.99,-0.021248022192583926,
2024-11-14,23294.77,23457.98,23198.22,23352.58,38.15,0.16,0.48,145.67,33.16,3.7,0.99,0.0016363256575435692,
