Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2025-10-03,4984.56,4984.56,4984.56,4984.56,,-,0.04,40.92,69.79,11.13,0.2,,
2025-10-06,5208.25,5208.25,5208.25,5208.25,223.69,4.49,0.14,139.12,72.92,11.63,0.19,0.04487657887556762,
2025-10-07,5183.7,5183.7,5183.7,5183.7,-24.55,-0.47,0.11,86.07,72.58,11.57,0.19,-0.00471367541880674,
2025-10-08,5239.71,5239.71,5239.71,5239.71,56.01,1.08,0.22,152.94,73.37,11.7,0.19,0.010805023438856365,
2025-10-09,5255.42,5255.42,5255.42,5255.42,15.71,0.30,0.04,48.24,73.59,11.73,0.19,0.002998257537153881,
2025-10-10,5247.29,5247.29,5247.29,5247.29,-8.13,-0.15,0.03,28.87,73.47,11.71,0.19,-0.0015469743617065879,
2025-10-13,5288.27,5288.27,5288.27,5288.27,40.98,0.78,0.1,91.68,74.05,11.81,0.18,0.007809745602015639,
2025-10-14,5285.38,5285.38,5285.38,5285.38,-2.89,-0.05,0.03,34.76,74.01,11.8,0.18,-0.0005464925202381954,
2025-10-15,5309.14,5309.14,5309.14,5309.14,23.76,0.45,0.02,21.48,74.34,11.85,0.18,0.0044954194400403935,
2025-10-16,5353.58,5353.58,5353.58,5353.58,44.44,0.84,0.03,28.3,74.96,11.95,0.18,0.008370470547018893,
2025-10-17,5372.65,5372.65,5372.65,5372.65,19.07,0.36,0.05,56.55,75.23,11.99,0.18,0.003562102368882103,
2025-10-20,5417.09,5417.09,5417.09,5417.09,44.44,0.83,0.08,92.78,75.85,12.09,0.18,0.008271523363703404,
2025-10-21,5427.67,5427.67,5427.67,5427.67,10.58,0.20,0.01,12.41,76.0,12.12,0.18,0.0019530781286631882,
2025-10-23,5354.23,5354.23,5354.23,5354.23,-73.44,-1.35,0.03,70.02,74.97,11.95,0.18,-0.01353066785563617,
2025-10-24,5288.87,5288.87,5288.87,5288.87,-65.36,-1.22,0.02,26.86,74.06,11.81,0.18,-0.012207170778991472,
2025-10-27,5303.63,5303.63,5303.63,5303.63,14.76,0.28,0.12,96.55,74.26,11.84,0.18,0.002790766269543443,
2025-10-28,5321.7,5321.7,5321.7,5321.7,18.07,0.34,0.07,77.85,74.52,11.88,0.18,0.003407100419900999,
2025-10-29,5351.13,5351.13,5351.13,5351.13,29.43,0.55,0.07,99.88,74.93,11.95,0.18,0.005530187721968671,
