Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2025-08-13,6623.97,6623.97,6623.97,6623.97,,-,0.35,392.68,46.56,10.15,0.68,,
2025-08-14,6610.1,6610.1,6610.1,6610.1,-13.87,-0.21,0.36,310.4,46.39,10.12,0.72,-0.0020939104494736016,
2025-08-18,6653.54,6653.54,6653.54,6653.54,43.44,0.66,0.62,430.43,46.65,10.19,0.69,0.006571761395440356,
2025-08-19,6608.16,6608.16,6608.16,6608.16,-45.38,-0.68,0.74,316.7,46.33,10.12,0.69,-0.006820429425538954,
2025-08-20,6579.23,6579.23,6579.23,6579.23,-28.93,-0.44,0.49,362.48,46.13,10.08,0.7,-0.004377920631461807,
2025-08-21,6587.92,6587.92,6587.92,6587.92,8.69,0.13,0.42,374.96,46.19,10.09,0.74,0.0013208232574328793,
2025-08-22,6596.83,6596.83,6596.83,6596.83,8.91,0.14,1.35,675.38,46.26,10.1,0.7,0.0013524754398961392,
2025-08-25,6589.63,6589.63,6589.63,6589.63,-7.2,-0.11,1.08,575.89,46.2,10.09,0.69,-0.0010914333096350148,
2025-08-26,6449.68,6449.68,6449.68,6449.68,-139.95,-2.12,0.57,600.87,45.17,9.88,0.71,-0.02123791472358838,
2025-08-28,6368.38,6368.38,6368.38,6368.38,-81.3,-1.26,0.43,286.13,44.6,9.75,0.72,-0.01260527654085164,
2025-08-29,6363.58,6363.58,6363.58,6363.58,-4.8,-0.08,1.1,561.05,43.97,9.75,0.72,-0.0007537238669803603,
2025-09-01,6497.39,6497.39,6497.39,6497.39,133.81,2.10,0.71,429.36,44.89,9.95,0.7,0.0210274719576089,
2025-09-02,6540.38,6540.38,6540.38,6540.38,42.99,0.66,1.07,547.5,45.19,10.02,0.7,0.006616502934255086,
2025-09-03,6571.88,6571.88,6571.88,6571.88,31.5,0.48,0.74,455.81,45.4,10.07,0.7,0.004816233919129997,
2025-09-04,6510.77,6510.77,6510.77,6510.77,-61.11,-0.93,0.74,603.25,44.98,9.97,0.7,-0.00929870904520469,
2025-09-05,6499.43,6499.43,6499.43,6499.43,-11.34,-0.17,0.52,294.88,44.9,9.96,0.7,-0.0017417294728581112,
2025-09-08,6534.3,6534.3,6534.3,6534.3,34.87,0.54,0.85,421.12,45.14,10.01,0.7,0.005365085861375629,
2025-09-09,6519.87,6519.87,6519.87,6519.87,-14.43,-0.22,0.71,318.9,45.05,9.99,0.7,-0.0022083467242092203,
2025-09-10,6647.03,6647.03,6647.03,6647.03,127.16,1.95,0.77,461.21,45.92,10.18,0.69,0.019503456357258697,
2025-09-11,6651.09,6651.09,6651.09,6651.09,4.06,0.06,0.61,623.44,45.95,10.19,0.69,0.0006107991087749287,
2025-09-12,6870.79,6870.79,6870.79,6870.79,219.7,3.30,1.11,941.75,47.47,10.52,0.68,0.03303217968784056,
2025-09-15,6903.05,6903.05,6903.05,6903.05,32.26,0.47,0.7,596.91,47.69,10.57,0.68,0.004695238829887094,
2025-09-16,6968.27,6968.27,6968.27,6968.27,65.22,0.94,0.5,389.51,48.14,10.67,0.67,0.009447997624238536,
2025-09-17,7086.92,7086.92,7086.92,7086.92,118.65,1.70,0.9,815.74,48.96,10.86,0.66,0.017027181782565792,
2025-09-18,7061.81,7061.81,7061.81,7061.81,-25.11,-0.35,0.78,782.34,48.79,10.82,0.66,-0.0035431470935187726,
2025-09-19,7099.89,7099.89,7099.89,7099.89,38.08,0.54,0.57,496.74,49.05,10.87,0.66,0.0053923852383455095,
2025-09-22,7056.54,7056.54,7056.54,7056.54,-43.35,-0.61,0.43,494.98,50.1,11.12,0.59,-0.006105728398609012,
2025-09-23,7029.37,7029.37,7029.37,7029.37,-27.17,-0.39,0.49,379.57,49.9,11.07,0.59,-0.0038503289147372444,
2025-09-24,6950.25,6950.25,6950.25,6950.25,-79.12,-1.13,0.42,356.44,49.34,10.95,0.59,-0.011255631728021132,
2025-09-25,6964.91,6964.91,6964.91,6964.91,14.66,0.21,0.45,555.29,49.45,10.97,0.59,0.0021092766447250444,
2025-09-26,6824.32,6824.32,6824.32,6824.32,-140.59,-2.02,0.52,442.42,48.45,10.75,0.6,-0.020185472604814736,
2025-09-29,6746.73,6746.73,6746.73,6746.73,-77.59,-1.14,0.43,462.95,47.9,10.63,0.61,-0.011369630966894917,
2025-09-30,6749.36,6749.36,6749.36,6749.36,2.63,0.04,0.26,237.36,47.92,10.63,0.61,0.0003898184750241729,
2025-10-01,6856.55,6856.55,6856.55,6856.55,107.19,1.59,0.39,702.66,48.68,10.8,0.6,0.015881505802031626,
2025-10-03,6991.51,6991.51,6991.51,6991.51,134.96,1.97,0.51,501.94,49.63,11.02,0.59,0.019683368457897865,
2025-10-06,6993.99,6993.99,6993.99,6993.99,2.48,0.04,0.27,335.09,49.65,11.02,0.58,0.00035471593404001744,
2025-10-07,6960.5,6960.5,6960.5,6960.5,-33.49,-0.48,0.57,335.36,49.86,10.97,0.59,-0.004788396895048397,
2025-10-08,6874.91,6874.91,6874.91,6874.91,-85.59,-1.23,0.27,269.65,50.32,10.83,0.6,-0.01229653042166512,
2025-10-09,6960.58,6960.58,6960.58,6960.58,85.67,1.25,0.3,459.73,50.95,10.97,0.59,0.012461254038234726,
2025-10-10,6936.83,6936.83,6936.83,6936.83,-23.75,-0.34,0.31,268.57,50.77,10.93,0.59,-0.0034120719825072587,
2025-10-13,6867.43,6867.43,6867.43,6867.43,-69.4,-1.00,0.29,263.16,50.27,10.82,0.6,-0.010004569810705966,
2025-10-14,6834.62,6834.62,6834.62,6834.62,-32.81,-0.48,0.27,296.66,50.03,10.77,0.6,-0.004777624234975852,
2025-10-15,6907.37,6907.37,6907.37,6907.37,72.75,1.06,0.32,339.09,50.56,10.88,0.59,0.010644337212602828,
2025-10-16,6936.62,6936.62,6936.62,6936.62,29.25,0.42,0.32,446.79,50.76,10.93,0.59,0.00423460738312853,
2025-10-17,6961.43,6961.43,6961.43,6961.43,24.81,0.36,0.36,466.87,50.94,10.97,0.59,0.0035766699055159723,
2025-10-20,6971.51,6971.51,6971.51,6971.51,10.08,0.14,0.25,229.18,51.01,10.98,0.59,0.00144797836076771,
2025-10-21,6996.38,6996.38,6996.38,6996.38,24.87,0.36,0.12,103.17,51.19,11.02,0.58,0.003567376364661312,
2025-10-23,6975.1,6975.1,6975.1,6975.1,-21.28,-0.30,0.53,499.12,51.04,10.99,0.59,-0.003041572927714009,
2025-10-24,6988.26,6988.26,6988.26,6988.26,13.16,0.19,0.28,320.22,51.14,11.01,0.59,0.0018867113016300952,
2025-10-27,6954.38,6954.38,6954.38,6954.38,-33.88,-0.48,0.32,253.66,50.89,10.96,0.59,-0.004848131008291068,
2025-10-28,6915.46,6915.46,6915.46,6915.46,-38.92,-0.56,0.36,364.35,50.61,10.9,0.59,-0.005596473014129244,
