Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2025-01-10,14533.06,14533.06,14533.06,14533.06,,-,1.74,1180.21,27.24,4.35,1.18,,
2025-01-13,14165.18,14165.18,14165.18,14165.18,-367.88,-2.53,2.75,1266.24,26.55,4.24,1.21,-0.025313320112901105,
2025-01-14,14312.62,14312.62,14312.62,14312.62,147.44,1.04,2.5,1656.48,26.82,4.29,1.2,0.010408621704771859,
2025-01-15,14373.75,14373.75,14373.75,14373.75,61.13,0.43,1.6,860.77,26.94,4.3,1.2,0.004271055893330544,
2025-01-16,14470.07,14470.07,14470.07,14470.07,96.32,0.67,1.55,957.57,27.12,4.33,1.19,0.006701104443864736,
2025-01-17,14500.68,14500.68,14500.68,14500.68,30.61,0.21,1.68,907.06,27.07,4.34,1.2,0.0021154009621240366,
2025-01-20,14540.46,14540.46,14540.46,14540.46,39.78,0.27,1.55,736.2,27.12,4.35,1.18,0.0027433196236312796,
2025-01-21,14281.62,14281.62,14281.62,14281.62,-258.84,-1.78,3.7,2051.42,26.64,4.27,1.21,-0.01780136254286302,
2025-01-22,14278.3,14278.3,14278.3,14278.3,-3.32,-0.02,4.46,2446.34,26.64,4.27,1.21,-0.00023246662493481285,
2025-01-23,14397.03,14397.03,14397.03,14397.03,118.73,0.83,1.75,1069.46,26.83,4.31,1.2,0.008315415700748785,
2025-01-24,14269.61,14269.61,14269.61,14269.61,-127.42,-0.89,1.42,755.54,26.52,4.27,1.21,-0.008850436513642035,
2025-01-27,14066.76,14066.76,14066.76,14066.76,-202.85,-1.42,4.17,1628.6,25.82,4.21,1.23,-0.014215525161514586,
2025-01-28,14077.02,14077.02,14077.02,14077.02,10.26,0.07,2.31,1159.31,26.09,4.21,1.25,0.0007293790467741701,
2025-01-29,14228.44,14228.44,14228.44,14228.44,151.42,1.08,1.74,965.09,26.31,4.26,1.23,0.010756537960449064,
2025-01-30,14300.25,14300.25,14300.25,14300.25,71.81,0.50,4.28,2113.15,26.4,4.28,1.23,0.005046934168468242,
