Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2005-09-16,,,,1000.0,,-,-,-,-,-,-,,
2005-09-19,,,,1009.59,9.59,0.96,-,-,-,-,-,0.009589999999999987,
2005-09-20,,,,1009.15,-0.44,-0.04,-,-,-,-,-,-0.0004358204815816391,
2005-09-21,,,,992.3,-16.85,-1.67,-,-,-,-,-,-0.016697220433037674,
2005-09-22,,,,954.07,-38.23,-3.85,-,-,-,-,-,-0.03852665524538945,
2005-09-23,,,,960.11,6.04,0.63,-,-,-,-,-,0.006330772375192639,
2005-09-26,,,,993.69,33.58,3.50,-,-,-,-,-,0.034975159096353625,
2005-09-27,,,,1007.41,13.72,1.38,-,-,-,-,-,0.013807122945787897,
2005-09-28,,,,1016.45,9.04,0.90,-,-,-,-,-,0.00897350631818239,
2005-09-29,,,,1028.57,12.12,1.19,-,-,-,-,-,0.011923852624329712,
2005-09-30,,,,1024.2,-4.37,-0.42,-,-,-,-,-,-0.004248617011967992,
2005-10-03,,,,1039.49,15.29,1.49,-,-,-,-,-,0.014928724858426001,
2005-10-04,,,,1055.01,15.52,1.49,-,-,-,-,-,0.01493039856083267,
2005-10-05,,,,1050.1,-4.91,-0.47,-,-,-,-,-,-0.004653984322423588,
2005-10-06,,,,1031.53,-18.57,-1.77,-,-,-,-,-,-0.01768403009237207,
2005-10-07,,,,1026.48,-5.05,-0.49,-,-,-,-,-,-0.004895640456409334,
2005-10-10,,,,1018.85,-7.63,-0.74,-,-,-,-,-,-0.007433169667212192,
2005-10-11,,,,1016.38,-2.47,-0.24,-,-,-,-,-,-0.002424301909015103,
2005-10-13,,,,1004.27,-12.11,-1.19,-,-,-,-,-,-0.011914835002656554,
2005-10-14,,,,979.01,-25.26,-2.52,-,-,-,-,-,-0.025152598404811433,
2005-10-17,,,,972.87,-6.14,-0.63,-,-,-,-,-,-0.006271641760554059,
