Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2004-05-03,,,,1000.0,,-,-,-,-,-,-,,
2004-05-04,,,,1036.5,36.5,3.65,-,-,-,-,-,0.03649999999999998,
2004-05-05,,,,1053.42,16.92,1.63,-,-,-,-,-,0.016324167872648454,
2004-05-06,,,,1074.11,20.69,1.96,-,-,-,-,-,0.01964078904900224,
2004-05-07,,,,1055.24,-18.87,-1.76,-,-,-,-,-,-0.017568033069238598,
2004-05-10,,,,1032.76,-22.48,-2.13,-,-,-,-,-,-0.021303210644024073,
2004-05-11,,,,982.87,-49.89,-4.83,-,-,-,-,-,-0.04830744800340836,
2004-05-12,,,,993.96,11.09,1.13,-,-,-,-,-,0.011283282631477265,
2004-05-13,,,,1007.97,14.01,1.41,-,-,-,-,-,0.014095134613062887,
2004-05-14,,,,920.16,-87.81,-8.71,-,-,-,-,-,-0.08711568796690383,
2004-05-17,,,,827.27,-92.89,-10.09,-,-,-,-,-,-0.10094983481133712,
2004-05-18,,,,914.82,87.55,10.58,-,-,-,-,-,0.10583001921984359,
2004-05-19,,,,951.11,36.29,3.97,-,-,-,-,-,0.039669005924662715,
2004-05-20,,,,955.73,4.62,0.49,-,-,-,-,-,0.004857482310142824,
2004-05-21,,,,942.45,-13.28,-1.39,-,-,-,-,-,-0.013895137748108799,
2004-05-24,,,,968.69,26.24,2.78,-,-,-,-,-,0.02784232585283042,
2004-05-25,,,,953.07,-15.62,-1.61,-,-,-,-,-,-0.01612486966934723,
2004-05-26,,,,951.48,-1.59,-0.17,-,-,-,-,-,-0.0016682929900218024,
2004-05-27,,,,943.59,-7.89,-0.83,-,-,-,-,-,-0.008292344557951803,
2004-05-28,,,,903.96,-39.63,-4.20,-,-,-,-,-,-0.041999173369789866,
2004-05-31,,,,863.75,-40.21,-4.45,-,-,-,-,-,-0.04448205672817385,
2004-06-01,,,,887.45,23.7,2.74,-,-,-,-,-,0.027438494934876934,
2004-06-02,,,,895.18,7.73,0.87,-,-,-,-,-,0.00871034987886632,
2004-06-03,,,,875.1,-20.08,-2.24,-,-,-,-,-,-0.022431242878527158,
2004-06-04,,,,879.21,4.11,0.47,-,-,-,-,-,0.004696606102159828,
2004-06-07,,,,880.69,1.48,0.17,-,-,-,-,-,0.0016833293524869397,
2004-06-08,,,,884.44,3.75,0.43,-,-,-,-,-,0.0042580249577035545,
2004-06-09,,,,902.04,17.6,1.99,-,-,-,-,-,0.019899597485414366,
2004-06-10,,,,907.52,5.48,0.61,-,-,-,-,-,0.006075118620016973,
2004-06-11,,,,883.21,-24.31,-2.68,-,-,-,-,-,-0.02678728843441458,
2004-06-14,,,,869.56,-13.65,-1.55,-,-,-,-,-,-0.015454988054936059,
2004-06-15,,,,873.5,3.94,0.45,-,-,-,-,-,0.004531027186163161,
2004-06-16,,,,865.02,-8.48,-0.97,-,-,-,-,-,-0.00970807097882087,
2004-06-17,,,,868.47,3.45,0.40,-,-,-,-,-,0.0039883470902406515,
2004-06-18,,,,864.5,-3.97,-0.46,-,-,-,-,-,-0.004571257498819814,
2004-06-21,,,,843.84,-20.66,-2.39,-,-,-,-,-,-0.023898207056101795,
2004-06-22,,,,829.83,-14.01,-1.66,-,-,-,-,-,-0.016602673492605247,
2004-06-23,,,,804.4,-25.43,-3.06,-,-,-,-,-,-0.030644830868973183,
2004-06-24,,,,813.14,8.74,1.09,-,-,-,-,-,0.010865241173545481,
2004-06-25,,,,831.85,18.71,2.30,-,-,-,-,-,0.023009567848095047,
2004-06-28,,,,851.06,19.21,2.31,-,-,-,-,-,0.023093105728196006,
2004-06-29,,,,858.81,7.75,0.91,-,-,-,-,-,0.009106290978309506,
2004-06-30,,,,862.86,4.05,0.47,-,-,-,-,-,0.004715827715094267,
2004-07-01,,,,869.98,7.12,0.83,-,-,-,-,-,0.008251628305866454,
2004-07-02,,,,874.75,4.77,0.55,-,-,-,-,-,0.005482884664015142,
2004-07-05,,,,868.17,-6.58,-0.75,-,-,-,-,-,-0.0075221491854816636,
2004-07-06,,,,876.9,8.73,1.01,-,-,-,-,-,0.010055634265178526,
2004-07-07,,,,884.23,7.33,0.84,-,-,-,-,-,0.00835899190329581,
2004-07-08,,,,864.82,-19.41,-2.20,-,-,-,-,-,-0.021951302262985806,
2004-07-09,,,,884.29,19.47,2.25,-,-,-,-,-,0.022513355380310296,
2004-07-12,,,,887.6,3.31,0.37,-,-,-,-,-,0.0037431159461263075,
2004-07-13,,,,885.91,-1.69,-0.19,-,-,-,-,-,-0.0019040108156828106,
2004-07-14,,,,892.21,6.3,0.71,-,-,-,-,-,0.007111331850865321,
2004-07-15,,,,901.36,9.15,1.03,-,-,-,-,-,0.010255433137938308,
2004-07-16,,,,915.98,14.62,1.62,-,-,-,-,-,0.01621993432146973,
2004-07-19,,,,920.27,4.29,0.47,-,-,-,-,-,0.004683508373545253,
2004-07-20,,,,915.06,-5.21,-0.57,-,-,-,-,-,-0.005661381985721636,
2004-07-21,,,,919.4,4.34,0.47,-,-,-,-,-,0.004742858391799443,
2004-07-22,,,,930.2,10.8,1.17,-,-,-,-,-,0.01174679138568635,
2004-07-23,,,,936.88,6.68,0.72,-,-,-,-,-,0.0071812513437969905,
2004-07-26,,,,934.79,-2.09,-0.22,-,-,-,-,-,-0.002230808641448201,
2004-07-27,,,,925.19,-9.6,-1.03,-,-,-,-,-,-0.010269686239690046,
2004-07-28,,,,918.1,-7.09,-0.77,-,-,-,-,-,-0.007663290783514798,
2004-07-29,,,,918.7,0.6,0.07,-,-,-,-,-,0.0006535235813092122,
2004-07-30,,,,923.51,4.81,0.52,-,-,-,-,-,0.005235659083487443,
2004-08-02,,,,919.87,-3.64,-0.39,-,-,-,-,-,-0.003941484120366878,
2004-08-03,,,,916.2,-3.67,-0.40,-,-,-,-,-,-0.003989694195918991,
2004-08-04,,,,902.04,-14.16,-1.55,-,-,-,-,-,-0.015455140798952272,
2004-08-05,,,,913.79,11.75,1.30,-,-,-,-,-,0.013026029887809765,
2004-08-06,,,,909.44,-4.35,-0.48,-,-,-,-,-,-0.004760393525864659,
2004-08-09,,,,908.26,-1.18,-0.13,-,-,-,-,-,-0.0012975017593245264,
2004-08-10,,,,916.35,8.09,0.89,-,-,-,-,-,0.008907141126990092,
2004-08-11,,,,906.03,-10.32,-1.13,-,-,-,-,-,-0.011262072352267172,
2004-08-12,,,,892.07,-13.96,-1.54,-,-,-,-,-,-0.01540787832632462,
2004-08-13,,,,887.7,-4.37,-0.49,-,-,-,-,-,-0.00489871871041514,
2004-08-16,,,,890.59,2.89,0.33,-,-,-,-,-,0.0032556043708460436,
2004-08-17,,,,892.66,2.07,0.23,-,-,-,-,-,0.0023243018673013705,
2004-08-18,,,,878.61,-14.05,-1.57,-,-,-,-,-,-0.015739475276140946,
2004-08-19,,,,887.29,8.68,0.99,-,-,-,-,-,0.00987924107396898,
2004-08-20,,,,876.35,-10.94,-1.23,-,-,-,-,-,-0.012329678008317413,
2004-08-23,,,,862.48,-13.87,-1.58,-,-,-,-,-,-0.015827009756375854,
2004-08-24,,,,878.78,16.3,1.89,-,-,-,-,-,0.018898988962062768,
2004-08-25,,,,883.06,4.28,0.49,-,-,-,-,-,0.004870388493138256,
2004-08-26,,,,888.68,5.62,0.64,-,-,-,-,-,0.006364233460919966,
2004-08-27,,,,887.54,-1.14,-0.13,-,-,-,-,-,-0.0012828014583426972,
2004-08-30,,,,906.97,19.43,2.19,-,-,-,-,-,0.021891971066092974,
2004-08-31,,,,919.92,12.95,1.43,-,-,-,-,-,0.014278311300263358,
2004-09-01,,,,920.23,0.31,0.03,-,-,-,-,-,0.00033698582485430784,
2004-09-02,,,,925.13,4.9,0.53,-,-,-,-,-,0.005324755767579736,
2004-09-03,,,,926.11,0.98,0.11,-,-,-,-,-,0.001059310583377382,
2004-09-06,,,,932.41,6.3,0.68,-,-,-,-,-,0.0068026476336504604,
2004-09-07,,,,927.32,-5.09,-0.55,-,-,-,-,-,-0.005458971911498023,
2004-09-08,,,,924.94,-2.38,-0.26,-,-,-,-,-,-0.0025665358236638403,
2004-09-09,,,,909.89,-15.05,-1.63,-,-,-,-,-,-0.016271325707613582,
2004-09-10,,,,919.31,9.42,1.04,-,-,-,-,-,0.0103528998010749,
2004-09-13,,,,914.13,-5.18,-0.56,-,-,-,-,-,-0.005634660778192302,
2004-09-14,,,,900.4,-13.73,-1.50,-,-,-,-,-,-0.015019745550414076,
2004-09-15,,,,901.59,1.19,0.13,-,-,-,-,-,0.0013216348289648572,
2004-09-16,,,,904.67,3.08,0.34,-,-,-,-,-,0.0034161869585953575,
2004-09-17,,,,909.54,4.87,0.54,-,-,-,-,-,0.005383178396542343,
2004-09-20,,,,902.98,-6.56,-0.72,-,-,-,-,-,-0.007212437056094201,
2004-09-21,,,,919.95,16.97,1.88,-,-,-,-,-,0.01879332875589723,
2004-09-22,,,,928.68,8.73,0.95,-,-,-,-,-,0.00948964617642245,
2004-09-23,,,,918.39,-10.29,-1.11,-,-,-,-,-,-0.011080242925442518,
2004-09-24,,,,925.45,7.06,0.77,-,-,-,-,-,0.007687365933862544,
2004-09-27,,,,928.26,2.81,0.30,-,-,-,-,-,0.0030363606893943906,
2004-09-28,,,,923.48,-4.78,-0.51,-,-,-,-,-,-0.0051494193437183755,
2004-09-29,,,,922.37,-1.11,-0.12,-,-,-,-,-,-0.0012019751375232923,
2004-09-30,,,,923.51,1.14,0.12,-,-,-,-,-,0.0012359465290501248,
2004-10-01,,,,929.34,5.83,0.63,-,-,-,-,-,0.006312871544433829,
2004-10-04,,,,951.02,21.68,2.33,-,-,-,-,-,0.023328383584048762,
2004-10-05,,,,961.75,10.73,1.13,-,-,-,-,-,0.011282622868078462,
2004-10-06,,,,953.58,-8.17,-0.85,-,-,-,-,-,-0.008494931115154647,
2004-10-07,,,,960.99,7.41,0.78,-,-,-,-,-,0.007770716667715227,
2004-10-08,,,,957.71,-3.28,-0.34,-,-,-,-,-,-0.003413146858968319,
2004-10-09,,,,957.42,-0.29,-0.03,-,-,-,-,-,-0.00030280565098006473,
2004-10-11,,,,947.22,-10.2,-1.07,-,-,-,-,-,-0.01065363163501909,
2004-10-12,,,,938.99,-8.23,-0.87,-,-,-,-,-,-0.008688583433626884,
2004-10-14,,,,950.17,11.18,1.19,-,-,-,-,-,0.011906410078914575,
2004-10-15,,,,950.67,0.5,0.05,-,-,-,-,-,0.0005262216234989125,
2004-10-18,,,,948.38,-2.29,-0.24,-,-,-,-,-,-0.002408827458529217,
2004-10-19,,,,953.23,4.85,0.51,-,-,-,-,-,0.005113983846137593,
2004-10-20,,,,941.94,-11.29,-1.18,-,-,-,-,-,-0.01184394112648568,
2004-10-21,,,,938.82,-3.12,-0.33,-,-,-,-,-,-0.003312312886171065,
2004-10-25,,,,916.2,-22.62,-2.41,-,-,-,-,-,-0.02409407554163734,
2004-10-26,,,,921.51,5.31,0.58,-,-,-,-,-,0.005795677799607102,
2004-10-27,,,,929.67,8.16,0.89,-,-,-,-,-,0.00885503141582844,
2004-10-28,,,,933.02,3.35,0.36,-,-,-,-,-,0.0036034291737929713,
2004-10-29,,,,936.11,3.09,0.33,-,-,-,-,-,0.003311826113052252,
2004-11-01,,,,947.65,11.54,1.23,-,-,-,-,-,0.012327611071348388,
2004-11-02,,,,949.73,2.08,0.22,-,-,-,-,-,0.002194903181554464,
2004-11-03,,,,959.04,9.31,0.98,-,-,-,-,-,0.00980278605498408,
2004-11-04,,,,964.33,5.29,0.55,-,-,-,-,-,0.005515932599265971,
2004-11-05,,,,961.41,-2.92,-0.30,-,-,-,-,-,-0.003028009084027339,
2004-11-08,,,,963.36,1.95,0.20,-,-,-,-,-,0.002028270977002533,
2004-11-09,,,,959.79,-3.57,-0.37,-,-,-,-,-,-0.00370577977080222,
2004-11-10,,,,966.67,6.88,0.72,-,-,-,-,-,0.007168234718011313,
2004-11-11,,,,965.83,-0.84,-0.09,-,-,-,-,-,-0.0008689625208188057,
2004-11-12,,,,968.2,2.37,0.25,-,-,-,-,-,0.0024538479856703876,
2004-11-16,,,,968.03,-0.17,-0.02,-,-,-,-,-,-0.00017558355711633222,
2004-11-17,,,,975.79,7.76,0.80,-,-,-,-,-,0.008016280487175065,
2004-11-18,,,,982.02,6.23,0.64,-,-,-,-,-,0.0063845704506093615,
2004-11-19,,,,969.2,-12.82,-1.31,-,-,-,-,-,-0.013054723936375967,
2004-11-22,,,,972.85,3.65,0.38,-,-,-,-,-,0.003765992571192811,
2004-11-23,,,,984.78,11.93,1.23,-,-,-,-,-,0.012262938788096811,
2004-11-24,,,,996.53,11.75,1.19,-,-,-,-,-,0.011931598935802867,
2004-11-25,,,,989.88,-6.65,-0.67,-,-,-,-,-,-0.006673155850802304,
2004-11-29,,,,1006.27,16.39,1.66,-,-,-,-,-,0.01655756253283225,
2004-11-30,,,,1015.04,8.77,0.87,-,-,-,-,-,0.008715354725868707,
2004-12-01,,,,1010.01,-5.03,-0.50,-,-,-,-,-,-0.004955469735182794,
2004-12-02,,,,1024.14,14.13,1.40,-,-,-,-,-,0.013989960495440767,
2004-12-03,,,,1022.62,-1.52,-0.15,-,-,-,-,-,-0.0014841720858477236,
2004-12-06,,,,1017.01,-5.61,-0.55,-,-,-,-,-,-0.0054859087442060694,
2004-12-07,,,,1018.01,1.0,0.10,-,-,-,-,-,0.000983274500742315,
2004-12-08,,,,1005.38,-12.63,-1.24,-,-,-,-,-,-0.012406557892358672,
2004-12-09,,,,1018.49,13.11,1.30,-,-,-,-,-,0.013039845630507862,
2004-12-10,,,,1011.38,-7.11,-0.70,-,-,-,-,-,-0.006980922738563988,
2004-12-13,,,,1013.93,2.55,0.25,-,-,-,-,-,0.0025213075204175706,
2004-12-14,,,,1025.7,11.77,1.16,-,-,-,-,-,0.011608296430720255,
2004-12-15,,,,1045.45,19.75,1.93,-,-,-,-,-,0.01925514282928731,
2004-12-16,,,,1053.38,7.93,0.76,-,-,-,-,-,0.00758525037065394,
2004-12-17,,,,1048.13,-5.25,-0.50,-,-,-,-,-,-0.004983956406994672,
2004-12-20,,,,1065.57,17.44,1.66,-,-,-,-,-,0.01663915735643462,
2004-12-21,,,,1076.85,11.28,1.06,-,-,-,-,-,0.010585883611588187,
2004-12-22,,,,1066.02,-10.83,-1.01,-,-,-,-,-,-0.010057111018247578,
2004-12-23,,,,1075.27,9.25,0.87,-,-,-,-,-,0.008677135513404988,
2004-12-24,,,,1082.39,7.12,0.66,-,-,-,-,-,0.00662159271624807,
2004-12-27,,,,1089.39,7.0,0.65,-,-,-,-,-,0.006467169874075029,
2004-12-28,,,,1103.1,13.71,1.26,-,-,-,-,-,0.01258502464682043,
2004-12-29,,,,1103.36,0.26,0.02,-,-,-,-,-,0.00023569939262069184,
2004-12-30,,,,1103.1,-0.26,-0.02,-,-,-,-,-,-0.00023564385150809386,
2004-12-31,,,,1132.61,29.51,2.68,-,-,-,-,-,0.026751881062460292,
2005-01-03,,,,1160.65,28.04,2.48,-,-,-,-,-,0.02475697724724335,
2005-01-04,,,,1152.49,-8.16,-0.70,-,-,-,-,-,-0.007030543230086672,
2005-01-05,,,,1112.24,-40.25,-3.49,-,-,-,-,-,-0.03492438112261276,
2005-01-06,,,,1097.51,-14.73,-1.32,-,-,-,-,-,-0.013243544558728337,
2005-01-07,,,,1125.76,28.25,2.57,-,-,-,-,-,0.025740084372807503,
2005-01-10,,,,1118.25,-7.51,-0.67,-,-,-,-,-,-0.006671048891415565,
2005-01-11,,,,1100.86,-17.39,-1.56,-,-,-,-,-,-0.015551084283478733,
2005-01-12,,,,1057.9,-42.96,-3.90,-,-,-,-,-,-0.03902403575386504,
2005-01-13,,,,1101.05,43.15,4.08,-,-,-,-,-,0.04078835428679439,
