Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2025-12-09,10375.78,10375.78,10375.78,10375.78,,-,1.36,499.58,9.41,1.81,2.69,,
2025-12-10,10360.32,10360.32,10360.32,10360.32,-15.46,-0.15,1.19,627.55,9.4,1.81,2.69,-0.0014900084620145249,
2025-12-11,10407.1,10407.1,10407.1,10407.1,46.78,0.45,2.3,1152.11,9.44,1.82,2.68,0.004515304546577781,
2025-12-12,10518.8,10518.8,10518.8,10518.8,111.7,1.07,1.61,749.99,9.54,1.84,2.65,0.010733057239768806,
2025-12-15,10532.89,10532.89,10532.89,10532.89,14.09,0.13,1.32,414.5,9.56,1.84,2.65,0.001339506407574964,
2025-12-16,10447.15,10447.15,10447.15,10447.15,-85.74,-0.81,1.45,570.97,9.48,1.83,2.67,-0.008140216028079683,
2025-12-17,10482.09,10482.09,10482.09,10482.09,34.94,0.33,1.81,712.57,9.51,1.83,2.66,0.003344452793345498,
2025-12-18,10451.53,10451.53,10451.53,10451.53,-30.56,-0.29,1.63,947.15,9.48,1.83,2.83,-0.002915449113678581,
2025-12-19,10513.75,10513.75,10513.75,10513.75,62.22,0.60,1.29,531.0,9.54,1.84,2.81,0.005953195369481801,
2025-12-22,10600.16,10600.16,10600.16,10600.16,86.41,0.82,1.94,621.32,9.58,1.86,2.78,0.008218761146118192,
2025-12-23,10655.8,10655.8,10655.8,10655.8,55.64,0.52,1.35,522.87,9.63,1.87,2.76,0.005248977373926378,
2025-12-24,10619.42,10619.42,10619.42,10619.42,-36.38,-0.34,1.96,962.66,9.6,1.86,2.77,-0.0034141031175509706,
2025-12-26,10612.05,10612.05,10612.05,10612.05,-7.37,-0.07,0.8,302.15,9.59,1.86,2.73,-0.0006940115373533784,
2025-12-29,10610.21,10610.21,10610.21,10610.21,-1.84,-0.02,1.41,491.07,9.59,1.86,2.73,-0.0001733877997182054,
2025-12-30,10676.0,10676.0,10676.0,10676.0,65.79,0.62,1.15,481.21,9.65,1.87,2.71,0.006200631278740154,
2025-12-31,10832.42,10832.42,10832.42,10832.42,156.42,1.47,1.75,990.41,9.79,1.9,2.67,0.014651554889471674,
2026-01-01,10888.37,10888.37,10888.37,10888.37,55.95,0.52,1.45,804.02,9.84,1.91,2.66,0.005165050838132235,
2026-01-02,11087.67,11087.67,11087.67,11087.67,199.3,1.83,2.51,1105.18,10.02,1.95,2.61,0.018303933462951782,
2026-01-05,11070.22,11070.22,11070.22,11070.22,-17.45,-0.16,2.92,1063.05,10.0,1.94,2.62,-0.0015738202886630415,
2026-01-06,11058.92,11058.92,11058.92,11058.92,-11.3,-0.10,1.88,999.36,9.99,1.94,2.62,-0.0010207565883965097,
2026-01-07,11030.85,11030.85,11030.85,11030.85,-28.07,-0.25,2.44,1893.97,9.97,1.94,2.63,-0.0025382225389097846,
2026-01-08,10773.74,10773.74,10773.74,10773.74,-257.11,-2.33,2.74,2035.39,9.74,1.89,2.69,-0.0233082672686149,
2026-01-09,10716.71,10716.71,10716.71,10716.71,-57.03,-0.53,1.4,586.38,9.68,1.88,2.7,-0.005293426423878866,
2026-01-12,10820.7,10820.7,10820.7,10820.7,103.99,0.97,1.74,766.47,9.78,1.9,2.68,0.009703537746192703,
2026-01-13,10834.27,10834.27,10834.27,10834.27,13.57,0.13,2.08,1277.99,9.79,1.9,2.67,0.0012540778323029134,
2026-01-14,11003.38,11003.38,11003.38,11003.38,169.11,1.56,3.45,1481.24,9.94,1.93,2.63,0.015608804284921618,
2026-01-16,11033.85,11033.85,11033.85,11033.85,30.47,0.28,3.23,1476.95,9.95,1.94,2.62,0.0027691491159989035,
2026-01-19,10946.94,10946.94,10946.94,10946.94,-86.91,-0.79,2.14,893.98,9.87,1.92,2.65,-0.00787667042781981,
2026-01-20,10760.4,10760.4,10760.4,10760.4,-186.54,-1.70,1.9,940.57,9.69,1.89,2.69,-0.017040378407116585,
2026-01-21,10744.08,10744.08,10744.08,10744.08,-16.32,-0.15,1.41,596.71,9.67,1.89,2.7,-0.001516672242667494,
2026-01-22,10894.74,10894.74,10894.74,10894.74,150.66,1.40,2.46,1051.41,9.81,1.91,2.66,0.014022605937409338,
2026-01-23,10743.03,10743.03,10743.03,10743.03,-151.71,-1.39,1.74,804.51,9.67,1.89,2.7,-0.013925068427516285,
2026-01-27,10886.45,10886.45,10886.45,10886.45,143.42,1.34,3.14,2208.81,9.71,1.91,2.66,0.013350051149442876,
2026-01-28,11165.64,11165.64,11165.64,11165.64,279.19,2.56,3.4,1478.47,9.96,1.96,2.59,0.025645642059624496,
2026-01-29,11245.83,11245.83,11245.83,11245.83,80.19,0.72,3.81,1789.72,10.03,1.97,2.58,0.007181854331681947,
2026-01-30,11083.95,11083.95,11083.95,11083.95,-161.88,-1.44,2.12,949.9,9.87,1.94,2.55,-0.014394668957293466,
2026-02-01,10729.8,10729.8,10729.8,10729.8,-354.15,-3.20,2.28,1022.51,9.65,1.88,2.56,-0.03195160570013411,
2026-02-02,10877.99,10877.99,10877.99,10877.99,148.19,1.38,1.7,685.83,9.77,1.91,2.53,0.01381106823985534,
2026-02-03,11129.8,11129.8,11129.8,11129.8,251.81,2.31,2.63,1061.96,9.99,1.95,2.47,0.023148578000163678,
2026-02-04,11306.93,11306.93,11306.93,11306.93,177.13,1.59,2.75,1007.21,10.15,1.98,2.43,0.015914931085913686,
2026-02-05,11282.11,11282.11,11282.11,11282.11,-24.82,-0.22,3.24,1688.41,10.12,1.97,2.44,-0.0021951139699281086,
2026-02-06,11331.93,11331.93,11331.93,11331.93,49.82,0.44,1.68,738.53,10.31,1.98,2.51,0.004415840653920311,
