Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2000-01-03,,,,1865.1,151.51,8.84,-,-,,,,,
2000-01-04,,,,1854.09,-11.01,-0.59,-,-,,,,-0.005903168730899133,
2000-01-05,,,,1899.13,45.04,2.43,-,-,,,,0.02429224039825484,
2000-01-06,,,,2006.98,107.85,5.68,-,-,,,,0.056789161352829964,
2000-01-07,,,,2037.91,30.93,1.54,-,-,,,,0.01541121486013819,
2000-01-10,,,,2080.29,42.38,2.08,-,-,,,,0.020795815320598043,
2000-01-11,,,,1977.46,-102.83,-4.94,-,-,,,,-0.049430608232506,
2000-01-12,,,,1960.32,-17.14,-0.87,-,-,,,,-0.008667684807783793,
2000-01-13,,,,1920.13,-40.19,-2.05,-,-,,,,-0.020501754815540285,
2000-01-14,,,,1897.45,-22.68,-1.18,-,-,,,,-0.01181170024946232,
2000-01-17,,,,1928.46,31.01,1.63,-,-,,,,0.016342986639964252,
2000-01-18,,,,1937.36,8.9,0.46,-,-,,,,0.004615081463966053,
2000-01-19,,,,1944.49,7.13,0.37,-,-,,,,0.003680265928893034,
2000-01-20,,,,1950.72,6.23,0.32,-,-,,,,0.0032039249366158096,
2000-01-21,,,,1924.38,-26.34,-1.35,-,-,,,,-0.013502706692913313,
2000-01-24,,,,1855.2,-69.18,-3.59,-,-,,,,-0.03594924079443773,
2000-01-25,,,,1830.82,-24.38,-1.31,-,-,,,,-0.013141440275981076,
2000-01-27,,,,1819.39,-11.43,-0.62,-,-,,,,-0.006243104182825143,
2000-01-28,,,,1768.04,-51.35,-2.82,-,-,,,,-0.02822374532123406,
2000-01-31,,,,1669.31,-98.73,-5.58,-,-,,,,-0.055841496798714974,
2000-02-01,,,,1674.43,5.12,0.31,-,-,,,,0.0030671355230604824,
2000-02-02,,,,1719.7,45.27,2.7,-,-,,,,0.027036066004550774,
2000-02-03,,,,1753.51,33.81,1.97,-,-,,,,0.01966040588474738,
2000-02-04,,,,1751.61,-1.9,-0.11,-,-,,,,-0.0010835410120273448,
2000-02-07,,,,1774.48,22.87,1.31,-,-,,,,0.013056559393929135,
2000-02-08,,,,1737.36,-37.12,-2.09,-,-,,,,-0.020918804382128897,
2000-02-09,,,,1739.45,2.09,0.12,-,-,,,,0.0012029746281716491,
2000-02-10,,,,1725.49,-13.96,-0.8,-,-,,,,-0.008025525309724335,
2000-02-11,,,,1715.6,-9.89,-0.57,-,-,,,,-0.0057317051967847865,
