Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2026-01-12,9237.59,9237.59,9237.59,9237.59,,-,2.91,277.2,12.5,1.83,1.54,,
2026-01-13,9256.48,9256.48,9256.48,9256.48,18.89,0.20,2.46,286.28,12.53,1.83,1.54,0.002044905651798823,
2026-01-14,9397.86,9397.86,9397.86,9397.86,141.38,1.53,2.88,320.35,12.69,1.86,1.52,0.01527362453113934,
2026-01-16,9444.3,9444.3,9444.3,9444.3,46.44,0.49,4.38,611.64,12.75,1.87,1.51,0.004941550523203997,
2026-01-19,9429.32,9429.32,9429.32,9429.32,-14.98,-0.16,3.69,354.78,12.65,1.87,1.51,-0.0015861419056997228,
2026-01-20,9159.88,9159.88,9159.88,9159.88,-269.44,-2.86,2.95,204.87,12.29,1.81,1.61,-0.028574701038887262,
2026-01-21,9114.22,9114.22,9114.22,9114.22,-45.66,-0.50,2.18,227.59,12.23,1.8,1.62,-0.004984781460019128,
2026-01-22,9272.25,9272.25,9272.25,9272.25,158.03,1.73,1.85,231.05,12.34,1.83,1.59,0.017338839747120582,
2026-01-23,9140.93,9140.93,9140.93,9140.93,-131.32,-1.42,2.68,311.95,12.15,1.81,1.62,-0.014162689746285984,
2026-01-27,9284.99,9284.99,9284.99,9284.99,144.06,1.58,2.4,246.1,12.49,1.84,1.59,0.01575988438813103,
2026-01-28,9467.87,9467.87,9467.87,9467.87,182.88,1.97,2.55,393.58,12.74,1.87,1.56,0.0196963055426016,
2026-01-29,9572.96,9572.96,9572.96,9572.96,105.09,1.11,3.19,489.49,12.95,1.89,1.55,0.011099645432393723,
2026-01-30,9458.58,9458.58,9458.58,9458.58,-114.38,-1.19,3.18,438.34,12.8,1.87,1.57,-0.011948237535725492,
2026-02-01,9156.06,9156.06,9156.06,9156.06,-302.52,-3.20,2.25,333.0,12.34,1.81,1.62,-0.031983659280780063,
2026-02-02,9223.68,9223.68,9223.68,9223.68,67.62,0.74,2.36,288.39,12.43,1.82,1.61,0.007385272704635071,
2026-02-03,9418.0,9418.0,9418.0,9418.0,194.32,2.11,2.55,365.16,12.92,1.86,1.57,0.02106751318345812,
2026-02-04,9551.52,9551.52,9551.52,9551.52,133.52,1.42,3.33,575.09,13.12,1.89,1.55,0.014177107666171196,
2026-02-05,9508.43,9508.43,9508.43,9508.43,-43.09,-0.45,1.53,201.93,13.05,1.88,1.56,-0.004511323852119942,
2026-02-06,9500.21,9500.21,9500.21,9500.21,-8.22,-0.09,2.02,255.33,13.04,1.88,1.63,-0.0008644960314164729,
2026-02-09,9613.18,9613.18,9613.18,9613.18,112.97,1.19,2.09,224.22,13.19,1.9,1.59,0.011891316086697135,
2026-02-10,9632.56,9632.56,9632.56,9632.56,19.38,0.20,1.84,215.41,13.22,1.91,1.6,0.0020159822244043557,
2026-02-11,9626.31,9626.31,9626.31,9626.31,-6.25,-0.06,1.96,277.24,13.24,1.9,1.61,-0.0006488410142267975,
2026-02-12,9541.06,9541.06,9541.06,9541.06,-85.25,-0.89,1.54,182.66,13.12,1.89,1.62,-0.008855937529541391,
2026-02-13,9367.82,9367.82,9367.82,9367.82,-173.24,-1.82,1.68,162.8,12.86,1.85,1.65,-0.018157311661387676,
2026-02-16,9438.12,9438.12,9438.12,9438.12,70.3,0.75,1.49,169.53,13.66,1.86,1.58,0.00750441404723845,
2026-02-17,9498.43,9498.43,9498.43,9498.43,60.31,0.64,2.08,423.94,13.74,1.88,1.57,0.006390043779905374,
2026-02-18,9567.55,9567.55,9567.55,9567.55,69.12,0.73,1.66,169.15,13.84,1.89,1.59,0.007276992092377199,
2026-02-19,9465.56,9465.56,9465.56,9465.56,-101.99,-1.07,1.87,383.93,13.7,1.87,1.61,-0.010659991324842855,
2026-02-20,9511.21,9511.21,9511.21,9511.21,45.65,0.48,1.49,326.25,13.76,1.88,1.6,0.0048227468844948,
2026-02-23,9417.3,9417.3,9417.3,9417.3,-93.91,-0.99,5.06,478.52,13.63,1.86,1.62,-0.009873612295386192,
2026-02-24,9460.22,9460.22,9460.22,9460.22,42.92,0.46,4.08,412.78,13.69,1.87,1.61,0.00455756957939113,
2026-02-25,9534.86,9534.86,9534.86,9534.86,74.64,0.79,3.09,321.97,13.8,1.88,1.6,0.007889879939367184,
2026-02-26,9626.56,9626.56,9626.56,9626.56,91.7,0.96,3.49,356.53,13.93,1.9,1.58,0.009617340999238388,
2026-02-27,9561.43,9561.43,9561.43,9561.43,-65.13,-0.68,2.61,351.48,13.83,1.89,1.59,-0.006765656683176413,
2026-03-02,9393.07,9393.07,9393.07,9393.07,-168.36,-1.76,4.44,439.44,13.59,1.86,1.62,-0.017608244791835537,
2026-03-04,9114.77,9114.77,9114.77,9114.77,-278.3,-2.96,3.71,452.83,13.19,1.8,1.67,-0.029628225915488637,
2026-03-05,9265.72,9265.72,9265.72,9265.72,150.95,1.66,2.31,426.76,13.41,1.83,1.64,0.016561032258630703,
2026-03-06,9188.91,9188.91,9188.91,9188.91,-76.81,-0.83,1.9,216.65,13.3,1.82,1.66,-0.00828969578187122,
2026-03-09,8893.82,8893.82,8893.82,8893.82,-295.09,-3.21,3.14,311.7,12.87,1.76,1.71,-0.032113710984219,
2026-03-10,9044.45,9044.45,9044.45,9044.45,150.63,1.69,2.35,391.98,13.09,1.79,1.68,0.016936479488004252,
2026-03-11,9002.47,9002.47,9002.47,9002.47,-41.98,-0.46,1.79,221.51,13.03,1.78,1.69,-0.004641520490466733,
2026-03-12,8988.24,8988.24,8988.24,8988.24,-14.23,-0.16,1.93,236.44,13.01,1.78,1.69,-0.0015806773030068166,
2026-03-13,8700.87,8700.87,8700.87,8700.87,-287.37,-3.20,2.93,319.11,12.59,1.72,1.75,-0.03197177645456717,
2026-03-16,8634.04,8634.04,8634.04,8634.04,-66.83,-0.77,2.76,248.98,12.49,1.71,1.76,-0.007680841111291192,
2026-03-17,8760.77,8760.77,8760.77,8760.77,126.73,1.47,1.74,177.1,12.68,1.73,1.74,0.014677949140842417,
2026-03-18,8848.79,8848.79,8848.79,8848.79,88.02,1.00,1.56,195.29,12.8,1.75,1.72,0.010047062073310853,
2026-03-19,8583.45,8583.45,8583.45,8583.45,-265.34,-3.00,1.71,166.45,12.42,1.7,1.77,-0.029986020687574277,
2026-03-20,8678.37,8678.37,8678.37,8678.37,94.92,1.11,2.06,227.97,12.56,1.71,1.75,0.01105849046711982,
2026-03-23,8251.0,8251.0,8251.0,8251.0,-427.37,-4.92,3.05,317.33,11.79,1.62,1.88,-0.04924542281557487,
2026-03-24,8461.31,8461.31,8461.31,8461.31,210.31,2.55,2.3,238.18,12.09,1.66,1.83,0.025489031632529358,
2026-03-25,8675.95,8675.95,8675.95,8675.95,214.64,2.54,1.89,186.63,12.4,1.71,1.79,0.025367230369765625,
2026-03-27,8511.35,8511.35,8511.35,8511.35,-164.6,-1.90,2.87,289.61,12.17,1.67,1.82,-0.018971985776773725,
2026-03-30,8306.95,8306.95,8306.95,8306.95,-204.4,-2.40,3.85,330.13,11.87,1.63,1.86,-0.024014991746315162,
2026-04-01,8556.16,8556.16,8556.16,8556.16,249.21,3.00,2.56,313.29,12.23,1.68,1.81,0.03000018057168985,
2026-04-02,8505.28,8505.28,8505.28,8505.28,-50.88,-0.59,1.65,169.15,12.16,1.67,1.82,-0.005946592864088496,
2026-04-06,8632.7,8632.7,8632.7,8632.7,127.42,1.50,2.14,211.5,12.34,1.7,1.79,0.014981282215282832,
2026-04-07,8619.49,8619.49,8619.49,8619.49,-13.21,-0.15,1.67,168.11,12.32,1.7,1.79,-0.0015302280862303785,
2026-04-08,8972.16,8972.16,8972.16,8972.16,352.67,4.09,3.51,398.87,12.82,1.76,1.72,0.04091541378898289,
2026-04-09,8954.84,8954.84,8954.84,8954.84,-17.32,-0.19,2.11,287.32,12.8,1.76,1.73,-0.0019304158641842983,
2026-04-10,9100.79,9100.79,9100.79,9100.79,145.95,1.63,2.52,307.03,13.01,1.79,1.7,0.016298448660166054,
2026-04-13,9023.75,9023.75,9023.75,9023.75,-77.04,-0.85,2.11,237.29,12.9,1.77,1.71,-0.008465199175016758,
2026-04-15,9156.73,9156.73,9156.73,9156.73,132.98,1.47,2.13,254.21,13.09,1.8,1.69,0.01473666712841104,
2026-04-16,9222.56,9222.56,9222.56,9222.56,65.83,0.72,2.68,256.58,13.18,1.81,1.68,0.00718924768995044,
2026-04-17,9313.02,9313.02,9313.02,9313.02,90.46,0.98,2.54,257.01,13.31,1.83,1.66,0.00980855640950029,
2026-04-20,9281.04,9281.04,9281.04,9281.04,-31.98,-0.34,3.83,320.88,13.27,1.83,1.66,-0.0034339022143192732,
2026-04-21,9347.7,9347.7,9347.7,9347.7,66.66,0.72,3.15,298.53,13.36,1.84,1.65,0.0071823847327454615,
2026-04-22,9414.15,9414.15,9414.15,9414.15,66.45,0.71,1.75,192.12,13.46,1.85,1.64,0.007108700535960688,
2026-04-23,9338.56,9338.56,9338.56,9338.56,-75.59,-0.80,1.64,207.21,13.35,1.84,1.65,-0.008029402548291653,
2026-04-24,9276.73,9276.73,9276.73,9276.73,-61.83,-0.66,2.08,197.05,13.26,1.82,1.67,-0.006620935133468064,
2026-04-27,9438.19,9438.19,9438.19,9438.19,161.46,1.74,1.99,349.95,13.07,1.86,1.64,0.01740483985197372,
2026-04-28,9409.71,9409.71,9409.71,9409.71,-28.48,-0.30,1.61,193.44,13.03,1.85,1.64,-0.003017527725125424,
2026-04-29,9445.8,9445.8,9445.8,9445.8,36.09,0.38,2.34,316.89,12.98,1.86,1.64,0.00383539981572234,
2026-04-30,9300.52,9300.52,9300.52,9300.52,-145.28,-1.54,1.83,328.1,12.73,1.83,1.66,-0.015380380698299612,
2026-05-04,9303.66,9303.66,9303.66,9303.66,3.14,0.03,1.75,233.5,12.81,1.83,1.67,0.0003376155311745066,
2026-05-05,9339.45,9339.45,9339.45,9339.45,35.79,0.38,1.94,215.23,12.78,1.84,1.67,0.0038468731660443733,
2026-05-06,9515.57,9515.57,9515.57,9515.57,176.12,1.89,5.76,410.35,13.02,1.87,1.63,0.01885764150993885,
2026-05-07,9551.59,9551.59,9551.59,9551.59,36.02,0.38,3.36,249.46,13.07,1.88,1.63,0.0037853749171095075,
2026-05-08,9511.66,9511.66,9511.66,9511.66,-39.93,-0.42,2.96,199.08,13.02,1.87,1.68,-0.004180455819397633,
2026-05-11,9394.19,9394.19,9394.19,9394.19,-117.47,-1.24,2.44,246.51,12.81,1.85,1.63,-0.01235010502898537,
2026-05-12,9187.75,9187.75,9187.75,9187.75,-206.44,-2.20,2.72,298.52,12.49,1.81,1.67,-0.021975284723856015,
2026-05-13,9372.03,9372.03,9372.03,9372.03,184.28,2.01,2.2,310.57,12.74,1.84,1.64,0.020057141302277648,
2026-05-14,9435.31,9435.31,9435.31,9435.31,63.28,0.68,3.64,592.76,12.58,1.86,1.63,0.006752005702072905,
2026-05-15,9312.94,9312.94,9312.94,9312.94,-122.37,-1.30,2.28,311.57,12.39,1.83,1.65,-0.01296936719620223,
2026-05-18,9244.43,9244.43,9244.43,9244.43,-68.51,-0.74,2.55,345.48,12.27,1.82,1.66,-0.007356430944470804,
2026-05-19,9287.67,9287.67,9287.67,9287.67,43.24,0.47,2.27,291.07,12.34,1.83,1.65,0.004677411154608846,
2026-05-20,9308.98,9308.98,9308.98,9308.98,21.31,0.23,2.03,260.45,12.37,1.83,1.65,0.002294439832595252,
2026-05-21,9308.16,9308.16,9308.16,9308.16,-0.82,-0.01,3.35,226.21,12.36,1.83,1.65,-8.808698697382322e-05,
2026-05-22,9331.87,9331.87,9331.87,9331.87,23.71,0.25,2.03,172.69,12.39,1.84,1.64,0.0025472273789879374,
2026-05-25,9438.94,9438.94,9438.94,9438.94,107.07,1.15,2.34,223.38,12.54,1.86,1.62,0.011473584608443943,
2026-05-26,9493.94,9493.94,9493.94,9493.94,55.0,0.58,2.66,236.1,12.61,1.87,1.62,0.005826925481039247,
2026-05-27,9553.18,9553.18,9553.18,9553.18,59.24,0.62,2.06,236.15,12.85,1.88,1.61,0.0062397697899923,
2026-05-29,9394.43,9394.43,9394.43,9394.43,-158.75,-1.66,3.28,269.34,12.62,1.85,1.64,-0.01661750328162981,
2026-06-01,9351.9,9351.9,9351.9,9351.9,-42.53,-0.45,2.91,333.55,12.51,1.84,1.64,-0.004527150662679946,
2026-06-02,9381.26,9381.26,9381.26,9381.26,29.36,0.31,2.84,329.01,12.55,1.84,1.64,0.0031394689849122415,
2026-06-03,9423.74,9423.74,9423.74,9423.74,42.48,0.45,1.73,261.56,12.61,1.85,1.63,0.004528176385687921,
2026-06-04,9376.07,9376.07,9376.07,9376.07,-47.67,-0.51,1.55,153.27,12.54,1.84,1.64,-0.005058501189548981,
2026-06-05,9360.0,9360.0,9360.0,9360.0,-16.07,-0.17,3.3,392.07,12.52,1.84,1.69,-0.0017139377159086644,
2026-06-08,9195.42,9195.42,9195.42,9195.42,-164.58,-1.76,2.77,363.16,12.3,1.81,1.72,-0.017583333333333284,
2026-06-09,9369.22,9369.22,9369.22,9369.22,173.8,1.89,2.43,274.99,12.53,1.84,1.69,0.018900713616126108,
2026-06-10,9155.11,9155.11,9155.11,9155.11,-214.11,-2.29,2.35,267.14,12.24,1.8,1.73,-0.022852489321416147,
2026-06-11,9067.21,9067.21,9067.21,9067.21,-87.9,-0.96,1.38,144.85,12.12,1.78,1.63,-0.0096011953979801,
2026-06-12,9373.09,9373.09,9373.09,9373.09,305.88,3.37,2.7,296.67,12.53,1.84,1.63,0.03373474310179225,
2026-06-15,9511.37,9511.37,9511.37,9511.37,138.28,1.48,3.25,296.2,12.71,1.87,1.6,0.014752872318520405,
2026-06-16,9476.99,9476.99,9476.99,9476.99,-34.38,-0.36,2.3,231.05,12.67,1.86,1.61,-0.003614621237529536,
2026-06-17,9551.35,9551.35,9551.35,9551.35,74.36,0.78,6.09,480.75,12.77,1.87,1.59,0.007846373162786913,
2026-06-18,9566.94,9566.94,9566.94,9566.94,15.59,0.16,3.31,277.59,12.79,1.88,1.59,0.0016322299989006694,
2026-06-19,9564.67,9564.67,9564.67,9564.67,-2.27,-0.02,5.32,267.22,12.78,1.88,1.6,-0.0002372754506666519,
2026-06-22,9580.58,9580.58,9580.58,9580.58,15.91,0.17,3.79,243.29,10.97,2.03,1.37,0.0016634133744291013,
2026-06-23,9425.08,9425.08,9425.08,9425.08,-155.5,-1.62,4.33,268.97,10.79,2.0,1.39,-0.016230750121600135,
2026-06-24,9517.98,9517.98,9517.98,9517.98,92.9,0.99,4.64,336.9,10.9,2.02,1.38,0.009856680261599804,
2026-06-25,9471.51,9471.51,9471.51,9471.51,-46.47,-0.49,3.99,210.77,10.84,2.01,1.4,-0.00488233847938313,
2026-06-29,9444.95,9444.95,9444.95,9444.95,-26.56,-0.28,5.75,472.26,10.81,2.0,1.4,-0.0028041991192533366,
2026-06-30,9450.04,9450.04,9450.04,9450.04,5.09,0.05,3.8,283.65,10.82,2.0,1.4,0.0005389123288106479,
2026-07-01,9445.99,9445.99,9445.99,9445.99,-4.05,-0.04,5.17,286.21,10.82,2.0,1.4,-0.0004285696145203133,
2026-07-02,9496.52,9496.52,9496.52,9496.52,50.53,0.53,3.28,339.14,10.87,2.01,1.39,0.005349359887105498,
2026-07-03,9529.89,9529.89,9529.89,9529.89,33.37,0.35,4.03,385.77,10.91,2.02,1.4,0.003513918782880321,
