Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2026-01-12,21316.44,21316.44,21316.44,21316.44,,-,0.36,289.28,33.87,5.84,0.94,,
2026-01-13,21284.3,21284.3,21284.3,21284.3,-32.14,-0.15,0.37,285.85,33.82,5.83,0.94,-0.001507756454642517,
2026-01-14,21207.53,21207.53,21207.53,21207.53,-76.77,-0.36,0.25,264.17,33.7,5.81,0.94,-0.00360688394732267,
2026-01-16,21269.9,21269.9,21269.9,21269.9,62.37,0.29,0.56,239.58,33.8,5.82,0.94,0.0029409365447086167,
2026-01-19,21272.71,21272.71,21272.71,21272.71,2.81,0.01,0.26,156.46,33.74,5.82,0.94,0.00013211157551262787,
2026-01-20,20822.45,20822.45,20822.45,20822.45,-450.26,-2.12,0.13,113.84,33.02,5.7,0.96,-0.021166085562206116,
2026-01-21,20730.33,20730.33,20730.33,20730.33,-92.12,-0.44,0.18,150.16,32.88,5.68,0.96,-0.004424071134760732,
2026-01-22,20934.78,20934.78,20934.78,20934.78,204.45,0.99,0.22,164.24,33.16,5.73,0.95,0.009862361091212524,
2026-01-23,20683.22,20683.22,20683.22,20683.22,-251.56,-1.20,0.11,87.39,32.76,5.66,0.97,-0.012016367021769447,
2026-01-27,20687.27,20687.27,20687.27,20687.27,4.05,0.02,0.13,113.79,32.76,5.66,0.97,0.00019581090371811882,
2026-01-28,20749.1,20749.1,20749.1,20749.1,61.83,0.30,0.2,177.15,32.83,5.68,0.96,0.002988794558199226,
2026-01-29,20582.02,20582.02,20582.02,20582.02,-167.08,-0.81,0.31,218.05,33.06,5.64,0.97,-0.008052397453383375,
2026-01-30,20626.87,20626.87,20626.87,20626.87,44.85,0.22,0.25,252.47,33.1,5.65,0.97,0.002179086406484787,
2026-02-01,20408.43,20408.43,20408.43,20408.43,-218.44,-1.06,0.13,102.41,32.63,5.59,0.97,-0.010590070136671237,
2026-02-02,20508.44,20508.44,20508.44,20508.44,100.01,0.49,0.11,94.58,32.79,5.61,0.97,0.0049004259514326964,
2026-02-03,20978.71,20978.71,20978.71,20978.71,470.27,2.29,0.22,206.91,34.02,5.74,0.95,0.02293055932094301,
2026-02-04,21133.55,21133.55,21133.55,21133.55,154.84,0.74,0.48,222.11,34.27,5.79,0.95,0.007380816074963548,
2026-02-05,21084.96,21084.96,21084.96,21084.96,-48.59,-0.23,0.16,199.59,34.19,5.77,0.99,-0.002299187784352341,
2026-02-06,21117.08,21117.08,21117.08,21117.08,32.12,0.15,0.18,305.46,34.19,5.78,0.98,0.001523360727267331,
2026-02-09,21335.45,21335.45,21335.45,21335.45,218.37,1.03,0.16,135.77,34.2,5.84,0.95,0.010340918346665395,
2026-02-10,21380.48,21380.48,21380.48,21380.48,45.03,0.21,0.19,233.39,34.29,5.85,0.95,0.0021105718417000485,
2026-02-11,21445.95,21445.95,21445.95,21445.95,65.47,0.31,0.15,94.24,34.37,5.87,1.05,0.003062138922980351,
2026-02-12,21393.22,21393.22,21393.22,21393.22,-52.73,-0.25,0.12,127.45,34.32,5.86,1.05,-0.002458739295764456,
2026-02-13,21116.79,21116.79,21116.79,21116.79,-276.43,-1.29,0.19,161.23,33.73,5.78,0.98,-0.01292138350374561,
2026-02-16,21131.84,21131.84,21131.84,21131.84,15.05,0.07,0.14,141.15,33.75,5.79,0.93,0.0007127030197298101,
2026-02-17,21229.16,21229.16,21229.16,21229.16,97.32,0.46,0.43,198.92,33.9,5.81,0.92,0.004605372745581926,
2026-02-18,21311.88,21311.88,21311.88,21311.88,82.72,0.39,0.14,150.73,34.03,5.83,0.92,0.003896527229527713,
2026-02-19,21120.67,21120.67,21120.67,21120.67,-191.21,-0.90,0.36,278.66,33.73,5.78,0.93,-0.008971991208659325,
2026-02-20,21201.81,21201.81,21201.81,21201.81,81.14,0.38,0.21,311.7,33.86,5.8,0.98,0.003841734187409962,
2026-02-23,21204.16,21204.16,21204.16,21204.16,2.35,0.01,0.23,181.51,33.86,5.81,0.94,0.00011083959341195992,
2026-02-24,21124.03,21124.03,21124.03,21124.03,-80.13,-0.38,0.13,105.26,33.73,5.78,0.95,-0.0037789754463275482,
2026-02-25,21271.9,21271.9,21271.9,21271.9,147.87,0.70,0.22,163.55,33.97,5.82,0.94,0.007000084737618817,
2026-02-26,21336.5,21336.5,21336.5,21336.5,64.6,0.30,0.16,262.24,34.07,5.84,0.93,0.003036870237261402,
2026-02-27,21044.11,21044.11,21044.11,21044.11,-292.39,-1.37,0.19,148.25,33.61,5.76,0.94,-0.013703747100039854,
2026-03-02,20737.66,20737.66,20737.66,20737.66,-306.45,-1.46,0.25,182.76,33.12,5.68,0.96,-0.014562269442613629,
2026-03-04,20363.72,20363.72,20363.72,20363.72,-373.94,-1.80,0.18,160.86,32.52,5.57,0.97,-0.018031928385362606,
2026-03-05,20558.66,20558.66,20558.66,20558.66,194.94,0.96,0.14,150.46,32.83,5.63,0.97,0.009572907111274231,
2026-03-06,20466.32,20466.32,20466.32,20466.32,-92.34,-0.45,0.1,113.89,32.68,5.6,0.97,-0.00449153787260459,
2026-03-09,20102.31,20102.31,20102.31,20102.31,-364.01,-1.78,0.19,251.19,32.1,5.5,0.99,-0.017785806143947647,
2026-03-10,20430.06,20430.06,20430.06,20430.06,327.75,1.63,0.64,407.87,32.63,5.59,0.97,0.016304096394891943,
2026-03-11,20136.35,20136.35,20136.35,20136.35,-293.71,-1.44,0.11,109.42,32.16,5.51,0.99,-0.014376365022912396,
2026-03-12,19971.39,19971.39,19971.39,19971.39,-164.96,-0.82,0.2,185.11,31.89,5.47,1.0,-0.00819215001725726,
2026-03-13,19559.05,19559.05,19559.05,19559.05,-412.34,-2.06,0.12,127.47,31.23,5.35,1.02,-0.02064653486812884,
2026-03-16,19457.51,19457.51,19457.51,19457.51,-101.54,-0.52,0.2,139.96,31.07,5.33,1.03,-0.005191458685365635,
2026-03-17,19553.7,19553.7,19553.7,19553.7,96.19,0.49,0.15,126.87,31.23,5.35,1.02,0.004943592474062841,
2026-03-18,19748.96,19748.96,19748.96,19748.96,195.26,1.00,0.16,144.3,31.54,5.41,1.01,0.00998583388310137,
2026-03-19,19223.41,19223.41,19223.41,19223.41,-525.55,-2.66,0.08,93.52,30.7,5.26,1.04,-0.02661152789817789,
2026-03-20,19289.55,19289.55,19289.55,19289.55,66.14,0.34,0.33,147.79,30.8,5.28,1.04,0.0034405966475250516,
2026-03-23,18626.09,18626.09,18626.09,18626.09,-663.46,-3.44,0.51,210.75,25.51,4.44,1.2,-0.03439478888828407,
2026-03-24,19029.66,19029.66,19029.66,19029.66,403.57,2.17,0.39,225.09,26.06,4.53,1.18,0.021666919895694692,
2026-03-25,19397.77,19397.77,19397.77,19397.77,368.11,1.93,0.43,213.66,26.56,4.62,1.15,0.01934401350313153,
2026-03-27,19054.94,19054.94,19054.94,19054.94,-342.83,-1.77,0.65,225.29,26.09,4.54,1.17,-0.017673681046842082,
2026-03-30,18603.01,18603.01,18603.01,18603.01,-451.93,-2.37,0.46,181.26,25.47,4.43,1.2,-0.023717209290609165,
2026-04-01,18879.95,18879.95,18879.95,18879.95,276.94,1.49,0.43,138.36,25.85,4.5,1.19,0.014886838205215414,
2026-04-02,18804.01,18804.01,18804.01,18804.01,-75.94,-0.40,0.34,138.79,25.75,4.48,1.19,-0.004022256414874081,
2026-04-06,18948.88,18948.88,18948.88,18948.88,144.87,0.77,0.28,121.27,25.95,4.52,1.18,0.007704207772703864,
2026-04-07,18932.0,18932.0,18932.0,18932.0,-16.88,-0.09,0.19,105.75,25.92,4.51,1.18,-0.0008908178214227513,
2026-04-08,19519.54,19519.54,19519.54,19519.54,587.54,3.10,0.55,312.53,26.73,4.65,1.15,0.03103422776251863,
2026-04-09,19539.4,19539.4,19539.4,19539.4,19.86,0.10,0.32,149.86,26.76,4.66,1.15,0.0010174420093915781,
2026-04-10,19889.41,19889.41,19889.41,19889.41,350.01,1.79,0.27,142.9,27.24,4.74,1.13,0.01791303724781712,
2026-04-13,19656.29,19656.29,19656.29,19656.29,-233.12,-1.17,0.38,167.73,26.92,4.68,1.14,-0.011720810220112066,
2026-04-15,20055.19,20055.19,20055.19,20055.19,398.9,2.03,0.51,284.85,27.46,4.78,1.12,0.020293758384720473,
2026-04-16,20064.57,20064.57,20064.57,20064.57,9.38,0.05,0.34,147.7,27.48,4.78,1.12,0.00046770935603213104,
