Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2026-01-12,113884.93,113884.93,113884.93,113884.93,,-,1.5,362.01,36.6,6.55,0.93,,
2026-01-13,114123.61,114123.61,114123.61,114123.61,238.68,0.21,1.52,441.79,36.67,6.57,0.93,0.0020957996813100177,
2026-01-14,115328.87,115328.87,115328.87,115328.87,1205.26,1.06,1.17,402.18,37.06,6.63,0.92,0.010561004861307843,
2026-01-16,115464.35,115464.35,115464.35,115464.35,135.48,0.12,0.63,453.12,37.04,6.64,0.92,0.0011747275422018255,
2026-01-19,115517.1,115517.1,115517.1,115517.1,52.75,0.05,0.44,253.92,36.98,6.65,0.92,0.0004568509674198751,
2026-01-20,112736.01,112736.01,112736.01,112736.01,-2781.09,-2.41,0.41,316.98,36.09,6.49,0.94,-0.024075136927779628,
2026-01-21,110818.66,110818.66,110818.66,110818.66,-1917.35,-1.70,0.46,289.4,35.36,6.38,0.95,-0.01700743178687969,
2026-01-22,112200.2,112200.2,112200.2,112200.2,1381.54,1.25,0.63,336.14,35.74,6.45,0.94,0.012466673031419129,
2026-01-23,110275.07,110275.07,110275.07,110275.07,-1925.13,-1.72,0.57,311.68,35.04,6.34,0.96,-0.017157990805720447,
2026-01-27,110838.83,110838.83,110838.83,110838.83,563.76,0.51,0.67,437.7,34.75,6.38,0.95,0.005112306888583218,
2026-01-28,112900.18,112900.18,112900.18,112900.18,2061.35,1.86,0.5,387.4,35.38,6.5,0.94,0.018597724281282924,
2026-01-29,113785.59,113785.59,113785.59,113785.59,885.41,0.78,1.49,543.69,35.57,6.55,0.93,0.007842414423077093,
2026-01-30,112940.77,112940.77,112940.77,112940.77,-844.82,-0.74,0.52,394.45,34.99,6.5,0.94,-0.007424665988021828,
2026-02-01,109388.17,109388.17,109388.17,109388.17,-3552.6,-3.15,0.49,479.8,33.87,6.29,0.97,-0.031455425706766516,
2026-02-02,111008.35,111008.35,111008.35,111008.35,1620.18,1.48,0.56,294.1,34.37,6.39,0.95,0.014811290837025703,
2026-02-03,114411.33,114411.33,114411.33,114411.33,3402.98,3.07,0.71,448.39,35.9,6.58,0.92,0.03065517143530183,
2026-02-04,115680.97,115680.97,115680.97,115680.97,1269.64,1.11,6.39,1019.02,36.17,6.66,0.92,0.011097152703320567,
2026-02-05,115384.18,115384.18,115384.18,115384.18,-296.79,-0.26,0.83,539.11,36.13,6.64,0.93,-0.0025655905202039975,
2026-02-06,116117.92,116117.92,116117.92,116117.92,733.74,0.64,0.66,538.72,36.16,6.68,0.91,0.006359103995019044,
2026-02-09,118309.37,118309.37,118309.37,118309.37,2191.45,1.89,0.46,340.54,36.84,6.81,0.89,0.01887262534499401,
2026-02-10,118395.17,118395.17,118395.17,118395.17,85.8,0.07,0.61,406.52,36.87,6.81,0.89,0.000725217284142543,
