Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2015-07-08,,,,4579.1,,-,0.58,314.73,24.02,3.55,1.39,,
2015-07-09,,,,4569.29,-9.81,-0.21,0.38,229.06,23.99,3.54,1.39,-0.002142342381690865,
2015-07-10,,,,4584.94,15.65,0.34,0.42,230.75,24.09,3.56,1.38,0.003425039776420391,
2015-07-13,,,,4657.23,72.29,1.58,0.52,320.61,24.46,3.61,1.37,0.015766836643445803,
2015-07-14,,,,4657.02,-0.21,0.00,0.33,228.66,24.45,3.61,1.37,-4.5091180808976006e-05,
2015-07-15,,,,4658.53,1.51,0.03,0.34,228.88,24.49,3.62,1.37,0.00032424168244915563,
2015-07-16,,,,4729.99,71.46,1.53,0.34,224.2,24.83,3.67,1.35,0.015339602836087707,
2015-07-17,,,,4742.66,12.67,0.27,0.42,274.54,24.9,3.68,1.35,0.0026786525975741604,
2015-07-20,,,,4767.0,24.34,0.51,0.62,305.01,25.24,3.72,1.33,0.005132141034777993,
2015-07-21,,,,4705.48,-61.52,-1.29,0.37,221.73,24.92,3.67,1.36,-0.012905391231382457,
2015-07-22,,,,4773.89,68.41,1.45,0.50,328.01,25.3,3.73,1.34,0.014538368030466708,
2015-07-23,,,,4752.52,-21.37,-0.45,0.35,239.62,25.11,3.7,1.35,-0.004476433265115043,
2015-07-24,,,,4735.17,-17.35,-0.37,0.73,243.95,24.95,3.68,1.37,-0.0036506947892908093,
2015-07-27,,,,4671.13,-64.04,-1.35,0.63,279.54,24.52,3.61,1.36,-0.013524329643919808,
2015-07-28,,,,4672.63,1.5,0.03,0.33,177.51,24.62,3.63,1.35,0.0003211214417069286,
2015-07-29,,,,4707.71,35.08,0.75,0.36,228.35,24.83,3.66,1.34,0.007507549281667858,
2015-07-30,,,,4736.66,28.95,0.61,0.47,258.33,24.94,3.68,1.33,0.006149486693105555,
