Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2026-02-23,1820.23,1820.23,1820.23,1820.23,,-,4.41,401.15,17.53,1.92,0.55,,
2026-02-24,1841.88,1841.88,1841.88,1841.88,21.65,1.19,2.69,227.54,17.74,1.94,0.54,0.011894101294891435,
2026-02-25,1843.25,1843.25,1843.25,1843.25,1.37,0.07,1.68,142.73,17.75,1.94,0.54,0.0007438052424695307,
2026-02-26,1856.97,1856.97,1856.97,1856.97,13.72,0.74,2.87,282.76,17.88,1.95,0.54,0.007443374474433773,
2026-02-27,1831.32,1831.32,1831.32,1831.32,-25.65,-1.38,1.63,169.28,17.63,1.93,0.54,-0.013812824116706257,
2026-03-02,1797.8,1797.8,1797.8,1797.8,-33.52,-1.83,3.03,190.71,17.31,1.89,0.55,-0.018303737195028758,
2026-03-04,1756.93,1756.93,1756.93,1756.93,-40.87,-2.27,2.11,131.47,16.92,1.85,0.57,-0.022733340749805264,
2026-03-05,1789.42,1789.42,1789.42,1789.42,32.49,1.85,0.89,79.58,17.23,1.88,0.56,0.01849248404888071,
2026-03-06,1766.79,1766.79,1766.79,1766.79,-22.63,-1.26,0.99,74.08,17.01,1.86,0.56,-0.012646555867264264,
2026-03-09,1728.6,1728.6,1665.98,1687.38,-79.41,-4.49,2.16,129.46,16.25,1.78,0.59,-0.044945918869814694,
2026-03-10,1703.53,1732.58,1703.53,1726.38,39.0,2.31,1.75,199.64,16.62,1.82,0.58,0.02311275468477758,
2026-03-11,1736.1,1740.79,1701.16,1705.08,-21.3,-1.23,1.15,92.62,16.42,1.79,0.58,-0.012337955722378724,
2026-03-12,1692.3,1694.3,1669.03,1679.88,-25.2,-1.48,1.29,100.55,16.18,1.77,0.59,-0.014779365191075922,
2026-03-13,1668.35,1673.23,1624.85,1627.34,-52.54,-3.13,1.88,117.74,15.67,1.71,0.61,-0.031276043526918706,
2026-03-16,1605.86,1644.69,1599.44,1630.68,3.34,0.21,2.44,210.5,15.7,1.72,0.61,0.002052429117455512,
2026-03-17,1635.2,1644.09,1611.05,1641.25,10.57,0.65,1.23,69.67,15.8,1.73,0.61,0.006481958446782787,
2026-03-18,1640.6,1687.55,1640.6,1681.89,40.64,2.48,1.38,100.54,16.2,1.77,0.59,0.02476161462300075,
2026-03-19,1658.64,1658.64,1620.95,1628.61,-53.28,-3.17,1.13,60.29,15.68,1.71,0.61,-0.03167864723614522,
2026-03-20,1641.09,1661.49,1618.95,1622.71,-5.9,-0.36,1.34,99.64,15.63,1.71,0.61,-0.003622721216251845,
2026-03-23,1599.63,1599.65,1547.96,1551.85,-70.86,-4.37,2.33,259.35,15.15,1.66,0.63,-0.04366769170092011,
2026-03-24,1594.73,1605.22,1565.3,1598.28,46.43,2.99,1.81,135.24,15.6,1.71,0.61,0.029919128781776605,
2026-03-25,1613.16,1669.33,1612.97,1657.46,59.18,3.70,1.75,130.33,16.18,1.77,0.59,0.037027304352178714,
2026-03-27,1634.0,1648.21,1622.13,1641.67,-15.79,-0.95,1.98,130.55,16.03,1.75,0.6,-0.009526625076924922,
2026-03-30,1617.36,1622.62,1568.98,1576.65,-65.02,-3.96,2.57,153.53,15.39,1.68,0.62,-0.039606010952262016,
2026-04-01,1616.91,1641.49,1605.41,1625.05,48.4,3.07,1.65,136.12,15.86,1.74,0.6,0.03069799892176439,
2026-04-02,1598.52,1612.49,1556.94,1606.42,-18.63,-1.15,1.32,116.69,15.68,1.72,0.61,-0.011464262638072653,
2026-04-06,1608.19,1634.5,1582.68,1631.52,25.1,1.56,1.56,142.45,15.93,1.74,0.6,0.015624805468059444,
2026-04-07,1623.17,1630.22,1605.94,1627.42,-4.1,-0.25,1.07,83.79,15.89,1.74,0.6,-0.0025129940178483245,
2026-04-08,1698.74,1725.9,1685.05,1722.16,94.74,5.82,2.15,165.26,16.81,1.84,0.57,0.05821484312592928,
2026-04-09,1728.24,1735.61,1701.83,1707.07,-15.09,-0.88,1.27,136.21,16.66,1.82,0.57,-0.00876225205555825,
2026-04-10,1711.29,1743.83,1711.29,1739.44,32.37,1.90,1.15,92.09,16.98,1.86,0.56,0.01896231554652128,
