Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2005-09-16,,,,1000.0,,-,-,-,-,-,-,,
2005-09-19,,,,1007.62,7.62,0.76,-,-,-,-,-,0.00761999999999996,
2005-09-20,,,,1004.36,-3.26,-0.32,-,-,-,-,-,-0.003235346658462479,
2005-09-21,,,,978.91,-25.45,-2.53,-,-,-,-,-,-0.025339519694133616,
2005-09-22,,,,927.05,-51.86,-5.30,-,-,-,-,-,-0.05297729106863758,
2005-09-23,,,,934.0,6.95,0.75,-,-,-,-,-,0.007496898764899562,
2005-09-26,,,,965.54,31.54,3.38,-,-,-,-,-,0.03376873661670232,
2005-09-27,,,,972.56,7.02,0.73,-,-,-,-,-,0.007270542908631494,
2005-09-28,,,,977.63,5.07,0.52,-,-,-,-,-,0.005213045981738995,
2005-09-29,,,,971.2,-6.43,-0.66,-,-,-,-,-,-0.006577130407209197,
2005-09-30,,,,968.95,-2.25,-0.23,-,-,-,-,-,-0.0023167215815486086,
2005-10-03,,,,983.09,14.14,1.46,-,-,-,-,-,0.014593116259868921,
2005-10-04,,,,995.11,12.02,1.22,-,-,-,-,-,0.012226754417194785,
2005-10-05,,,,987.95,-7.16,-0.72,-,-,-,-,-,-0.007195184451970094,
2005-10-06,,,,973.94,-14.01,-1.42,-,-,-,-,-,-0.014180879599170026,
2005-10-07,,,,970.25,-3.69,-0.38,-,-,-,-,-,-0.0037887344189581063,
2005-10-10,,,,963.52,-6.73,-0.69,-,-,-,-,-,-0.006936356609121397,
2005-10-11,,,,960.45,-3.07,-0.32,-,-,-,-,-,-0.0031862338093655573,
2005-10-13,,,,951.75,-8.7,-0.91,-,-,-,-,-,-0.009058253943464045,
2005-10-14,,,,930.11,-21.64,-2.27,-,-,-,-,-,-0.022737063304439142,
2005-10-17,,,,920.83,-9.28,-1.00,-,-,-,-,-,-0.009977314511186774,
2005-10-18,,,,916.93,-3.9,-0.42,-,-,-,-,-,-0.004235309449084124,
2005-10-19,,,,889.24,-27.69,-3.02,-,-,-,-,-,-0.03019859749381082,
2005-10-20,,,,871.91,-17.33,-1.95,-,-,-,-,-,-0.019488552021951322,
2005-10-21,,,,883.64,11.73,1.35,-,-,-,-,-,0.013453223383147472,
2005-10-24,,,,880.31,-3.33,-0.38,-,-,-,-,-,-0.003768503010275759,
2005-10-25,,,,883.77,3.46,0.39,-,-,-,-,-,0.003930433597255645,
2005-10-26,,,,882.18,-1.59,-0.18,-,-,-,-,-,-0.0017991106283309355,
2005-10-27,,,,866.9,-15.28,-1.73,-,-,-,-,-,-0.017320728196059676,
2005-10-28,,,,851.92,-14.98,-1.73,-,-,-,-,-,-0.017279963086861305,
2005-10-31,,,,871.2,19.28,2.26,-,-,-,-,-,0.02263123297962255,
2005-11-01,,,,882.6,11.4,1.31,-,-,-,-,-,0.013085399449035862,
2005-11-02,,,,885.85,3.25,0.37,-,-,-,-,-,0.003682302288692485,
2005-11-07,,,,902.53,16.68,1.88,-,-,-,-,-,0.01882937291866571,
2005-11-08,,,,914.15,11.62,1.29,-,-,-,-,-,0.01287491828526477,
2005-11-09,,,,913.13,-1.02,-0.11,-,-,-,-,-,-0.001115790625170865,
2005-11-10,,,,917.43,4.3,0.47,-,-,-,-,-,0.004709077568363806,
2005-11-11,,,,932.56,15.13,1.65,-,-,-,-,-,0.01649172143923794,
2005-11-14,,,,936.13,3.57,0.38,-,-,-,-,-,0.0038281719138715253,
2005-11-16,,,,943.9,7.77,0.83,-,-,-,-,-,0.008300129255552013,
2005-11-17,,,,948.38,4.48,0.47,-,-,-,-,-,0.004746265494226076,
2005-11-18,,,,950.92,2.54,0.27,-,-,-,-,-,0.0026782513338534653,
2005-11-21,,,,945.06,-5.86,-0.62,-,-,-,-,-,-0.006162453203213736,
2005-11-22,,,,938.77,-6.29,-0.67,-,-,-,-,-,-0.006655662074365631,
2005-11-23,,,,943.34,4.57,0.49,-,-,-,-,-,0.004868072051727346,
2005-11-24,,,,950.89,7.55,0.80,-,-,-,-,-,0.008003477007229476,
2005-11-25,,,,961.55,10.66,1.12,-,-,-,-,-,0.011210550116206974,
2005-11-28,,,,979.57,18.02,1.87,-,-,-,-,-,0.01874057511309868,
2005-11-29,,,,974.06,-5.51,-0.56,-,-,-,-,-,-0.0056249170554427685,
2005-11-30,,,,968.47,-5.59,-0.57,-,-,-,-,-,-0.005738866188941039,
2005-12-01,,,,980.29,11.82,1.22,-,-,-,-,-,0.012204817908660015,
2005-12-02,,,,986.82,6.53,0.67,-,-,-,-,-,0.006661294106846016,
2005-12-05,,,,984.47,-2.35,-0.24,-,-,-,-,-,-0.00238138667639487,
2005-12-06,,,,983.8,-0.67,-0.07,-,-,-,-,-,-0.0006805692403019092,
2005-12-07,,,,989.57,5.77,0.59,-,-,-,-,-,0.005865013214068071,
2005-12-08,,,,995.49,5.92,0.60,-,-,-,-,-,0.005982396394393463,
2005-12-09,,,,1005.19,9.7,0.97,-,-,-,-,-,0.009743945192819625,
2005-12-12,,,,1008.1,2.91,0.29,-,-,-,-,-,0.0028949750793381135,
2005-12-13,,,,1014.46,6.36,0.63,-,-,-,-,-,0.0063088979267929,
2005-12-14,,,,1014.31,-0.15,-0.01,-,-,-,-,-,-0.00014786191668481052,
2005-12-15,,,,1002.44,-11.87,-1.17,-,-,-,-,-,-0.01170253669982535,
2005-12-16,,,,1009.38,6.94,0.69,-,-,-,-,-,0.006923107617413438,
2005-12-19,,,,1019.05,9.67,0.96,-,-,-,-,-,0.009580138302720531,
2005-12-20,,,,1016.36,-2.69,-0.26,-,-,-,-,-,-0.0026397134586133575,
2005-12-21,,,,1016.57,0.21,0.02,-,-,-,-,-,0.00020661970168056598,
2005-12-22,,,,1018.93,2.36,0.23,-,-,-,-,-,0.002321532211259303,
2005-12-23,,,,1009.71,-9.22,-0.90,-,-,-,-,-,-0.009048707958348334,
2005-12-26,,,,987.1,-22.61,-2.24,-,-,-,-,-,-0.02239256816313595,
2005-12-27,,,,1006.39,19.29,1.95,-,-,-,-,-,0.019542092999696115,
2005-12-28,,,,1006.66,0.27,0.03,-,-,-,-,-,0.0002682856546667445,
2005-12-29,,,,1012.9,6.24,0.62,-,-,-,-,-,0.006198716547791694,
2005-12-30,,,,1026.28,13.38,1.32,-,-,-,-,-,0.013209596208905161,
2006-01-02,,,,1035.57,9.29,0.91,-,-,-,-,-,0.00905211053513666,
2006-01-03,,,,1051.6,16.03,1.55,-,-,-,-,-,0.015479397819558205,
2006-01-04,,,,1057.56,5.96,0.57,-,-,-,-,-,0.005667554203119041,
2006-01-05,,,,1062.51,4.95,0.47,-,-,-,-,-,0.0046805854986951,
2006-01-06,,,,1069.35,6.84,0.64,-,-,-,-,-,0.006437586469774326,
2006-01-09,,,,1078.28,8.93,0.84,-,-,-,-,-,0.008350867349324442,
2006-01-10,,,,1069.47,-8.81,-0.82,-,-,-,-,-,-0.008170419557072317,
2006-01-12,,,,1067.37,-2.1,-0.20,-,-,-,-,-,-0.001963589441499214,
2006-01-13,,,,1069.97,2.6,0.24,-,-,-,-,-,0.002435893832504421,
2006-01-16,,,,1064.43,-5.54,-0.52,-,-,-,-,-,-0.005177715263044669,
2006-01-17,,,,1053.09,-11.34,-1.07,-,-,-,-,-,-0.010653589244948192,
2006-01-18,,,,1047.37,-5.72,-0.54,-,-,-,-,-,-0.005431634523165196,
2006-01-19,,,,1067.81,20.44,1.95,-,-,-,-,-,0.01951554846902237,
2006-01-20,,,,1079.99,12.18,1.14,-,-,-,-,-,0.011406523632481402,
2006-01-23,,,,1081.04,1.05,0.10,-,-,-,-,-,0.0009722312243631848,
2006-01-24,,,,1085.37,4.33,0.40,-,-,-,-,-,0.004005402205283781,
2006-01-25,,,,1086.83,1.46,0.13,-,-,-,-,-,0.001345163400499505,
2006-01-27,,,,1102.23,15.4,1.42,-,-,-,-,-,0.014169649347184121,
2006-01-30,,,,1090.47,-11.76,-1.07,-,-,-,-,-,-0.010669279551454802,
2006-01-31,,,,1090.54,0.07,0.01,-,-,-,-,-,6.419250414957389e-05,
2006-02-01,,,,1078.75,-11.79,-1.08,-,-,-,-,-,-0.010811157775047153,
2006-02-02,,,,1077.07,-1.68,-0.16,-,-,-,-,-,-0.0015573580533024822,
2006-02-03,,,,1078.28,1.21,0.11,-,-,-,-,-,0.0011234181622363781,
2006-02-06,,,,1090.91,12.63,1.17,-,-,-,-,-,0.011713098638572728,
2006-02-07,,,,1100.28,9.37,0.86,-,-,-,-,-,0.008589159509033717,
2006-02-08,,,,1099.04,-1.24,-0.11,-,-,-,-,-,-0.0011269858581451908,
2006-02-10,,,,1109.96,10.92,0.99,-,-,-,-,-,0.009935944096666205,
2006-02-13,,,,1120.38,10.42,0.94,-,-,-,-,-,0.009387725683808412,
2006-02-14,,,,1115.64,-4.74,-0.42,-,-,-,-,-,-0.004230707438547698,
2006-02-15,,,,1113.25,-2.39,-0.21,-,-,-,-,-,-0.0021422681151627154,
2006-02-16,,,,1117.69,4.44,0.40,-,-,-,-,-,0.003988322479227646,
2006-02-17,,,,1100.07,-17.62,-1.58,-,-,-,-,-,-0.01576465746316069,
