Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2025-10-20,11980.62,11980.62,11980.62,11980.62,,-,1.42,793.77,47.42,8.54,0.99,,
2025-10-21,12003.03,12003.03,12003.03,12003.03,22.41,0.19,0.4,177.25,47.51,8.56,0.98,0.0018705208912392912,
2025-10-23,11992.85,11992.85,11992.85,11992.85,-10.18,-0.08,2.41,1270.09,47.47,8.55,0.99,-0.0008481191832395707,
2025-10-24,11934.53,11934.53,11934.53,11934.53,-58.32,-0.49,1.08,638.89,47.27,8.51,0.99,-0.004862897476412997,
2025-10-27,11996.22,11996.22,11996.22,11996.22,61.69,0.52,1.26,632.77,47.5,8.55,0.99,0.005169034725288624,
2025-10-28,11947.38,11947.38,11947.38,11947.38,-48.84,-0.41,1.0,596.99,47.27,8.52,0.99,-0.004071282453973035,
2025-10-29,11988.37,11988.37,11988.37,11988.37,40.99,0.34,1.46,828.29,47.41,8.55,0.99,0.003430877732189197,
2025-10-30,11938.72,11938.72,11938.72,11938.72,-49.65,-0.41,1.35,813.96,47.14,8.51,0.99,-0.004141513817141229,
2025-10-31,11857.48,11857.48,11857.48,11857.48,-81.24,-0.68,1.3,972.98,46.87,8.45,1.0,-0.006804749587895453,
2025-11-03,11890.39,11890.39,11890.39,11890.39,32.91,0.28,1.43,817.2,46.86,8.48,1.0,0.002775463251888155,
2025-11-04,11807.51,11807.51,11807.51,11807.51,-82.88,-0.70,0.99,731.74,46.44,8.42,1.01,-0.006970334867064887,
2025-11-06,11708.14,11708.14,11708.14,11708.14,-99.37,-0.84,1.69,1101.58,45.85,8.35,1.0,-0.0084158302639592,
2025-11-07,11684.27,11684.27,11684.27,11684.27,-23.87,-0.20,1.31,833.94,45.28,8.33,1.01,-0.00203875252602026,
2025-11-10,11668.59,11668.59,11668.59,11668.59,-15.68,-0.13,1.63,1947.16,45.04,8.32,1.01,-0.0013419751512075972,
2025-11-11,11714.06,11714.06,11714.06,11714.06,45.47,0.39,1.49,820.21,45.23,8.35,1.01,0.0038967861583960595,
2025-11-12,11801.92,11801.92,11801.92,11801.92,87.86,0.75,1.76,752.12,45.56,8.41,1.0,0.007500388422118531,
2025-11-13,11746.13,11746.13,11746.13,11746.13,-55.79,-0.47,2.53,1186.16,45.15,8.37,1.01,-0.004727196930669031,
2025-11-14,11771.83,11771.83,11771.83,11771.83,25.7,0.22,3.44,939.92,46.0,8.39,1.01,0.0021879546710279474,
2025-11-17,11842.45,11842.45,11842.45,11842.45,70.62,0.60,1.35,777.45,49.32,8.35,1.01,0.005999067264817803,
2025-11-18,11778.32,11778.32,11778.32,11778.32,-64.13,-0.54,1.57,758.28,47.06,8.3,1.01,-0.0054152645778534625,
2025-11-19,11796.81,11796.81,11796.81,11796.81,18.49,0.16,1.22,502.06,47.13,8.31,1.01,0.0015698333888025662,
2025-11-20,11804.89,11804.89,11804.89,11804.89,8.08,0.07,1.66,1031.0,47.17,8.32,0.99,0.000684930926242,
2025-11-21,11732.93,11732.93,11732.93,11732.93,-71.96,-0.61,6.47,2137.08,46.88,8.27,1.0,-0.006095778952620368,
2025-11-24,11672.63,11672.63,11672.63,11672.63,-60.3,-0.51,1.62,819.31,46.64,8.23,1.0,-0.00513938121168378,
2025-11-25,11653.8,11653.8,11653.8,11653.8,-18.83,-0.16,2.67,895.84,46.44,8.21,1.01,-0.0016131754368980955,
2025-11-26,11760.62,11760.62,11760.62,11760.62,106.82,0.92,1.36,689.54,46.86,8.29,1.0,0.009166108908682302,
2025-11-27,11704.64,11704.64,11704.64,11704.64,-55.98,-0.48,3.31,2727.26,46.64,8.25,1.0,-0.004759953131722727,
2025-11-28,11710.8,11710.8,11710.8,11710.8,6.16,0.05,1.07,585.02,46.66,8.25,1.0,0.0005262870109632445,
2025-12-01,11727.88,11727.88,11727.88,11727.88,17.08,0.15,0.97,655.04,46.73,8.26,0.99,0.0014584827680430568,
2025-12-02,11717.53,11717.53,11717.53,11717.53,-10.35,-0.09,1.33,661.44,46.69,8.26,0.99,-0.0008825124404409079,
2025-12-03,11614.33,11614.33,11614.33,11614.33,-103.2,-0.88,1.57,963.92,46.28,8.18,1.0,-0.008807316900404816,
2025-12-04,11621.13,11621.13,11621.13,11621.13,6.8,0.06,1.72,1037.88,46.31,8.19,0.99,0.0005854836223870841,
2025-12-05,11613.42,11613.42,11613.42,11613.42,-7.71,-0.07,1.46,643.04,46.28,8.18,1.0,-0.000663446669988077,
2025-12-08,11425.64,11425.64,11425.64,11425.64,-187.78,-1.62,1.84,689.41,45.53,8.05,1.01,-0.016169224913935798,
2025-12-09,11454.07,11454.07,11454.07,11454.07,28.43,0.25,3.2,594.45,45.64,8.07,1.01,0.0024882632395208937,
2025-12-10,11386.89,11386.89,11386.89,11386.89,-67.18,-0.59,1.06,576.25,45.37,8.02,1.02,-0.005865164085779195,
2025-12-11,11463.49,11463.49,11463.49,11463.49,76.6,0.67,2.13,885.49,45.68,8.08,1.01,0.006727034335099358,
2025-12-12,11538.49,11538.49,11538.49,11538.49,75.0,0.65,1.78,748.2,45.98,8.13,1.0,0.006542510177965033,
2025-12-15,11539.19,11539.19,11539.19,11539.19,0.7,0.01,1.3,627.57,45.98,8.13,1.0,6.0666517022633926e-05,
2025-12-16,11478.02,11478.02,11478.02,11478.02,-61.17,-0.53,1.97,649.14,45.74,8.09,1.01,-0.005301065326075771,
2025-12-17,11403.06,11403.06,11403.06,11403.06,-74.96,-0.65,2.69,1632.98,45.44,8.04,1.01,-0.006530743107260761,
2025-12-18,11383.46,11383.46,11383.46,11383.46,-19.6,-0.17,2.8,1064.05,45.36,8.02,1.02,-0.0017188368736111848,
2025-12-19,11498.85,11498.85,11498.85,11498.85,115.39,1.01,5.13,636.33,45.82,8.1,1.01,0.010136636839765956,
2025-12-22,11549.55,11549.55,11549.55,11549.55,50.7,0.44,2.16,718.17,45.66,8.28,0.96,0.004409136565830307,
2025-12-23,11553.36,11553.36,11553.36,11553.36,3.81,0.03,1.77,617.44,45.67,8.28,0.96,0.0003298829824540661,
2025-12-24,11537.4,11537.4,11537.4,11537.4,-15.96,-0.14,1.9,778.28,45.61,8.27,0.96,-0.0013814163152537917,
2025-12-26,11508.18,11508.18,11508.18,11508.18,-29.22,-0.25,1.83,610.93,45.49,8.25,0.97,-0.002532633002236162,
2025-12-29,11473.89,11473.89,11473.89,11473.89,-34.29,-0.30,5.94,2390.2,45.36,8.23,0.97,-0.0029796197139774216,
2025-12-30,11470.99,11470.99,11470.99,11470.99,-2.9,-0.03,1.92,793.0,45.35,8.22,0.97,-0.00025274776034978075,
2025-12-31,11569.64,11569.64,11569.64,11569.64,98.65,0.86,1.78,851.88,45.74,8.29,0.96,0.008599955191312958,
2026-01-01,11516.59,11516.59,11516.59,11516.59,-53.05,-0.46,2.85,1143.22,45.53,8.26,0.97,-0.004585276637821045,
2026-01-02,11568.97,11568.97,11568.97,11568.97,52.38,0.45,4.29,1501.03,45.73,8.29,0.96,0.004548221305091138,
