Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2025-02-10,4886.19,4886.19,4886.19,4886.19,,-,1.86,211.36,40.14,2.86,0.65,,
2025-02-11,4699.08,4699.08,4699.08,4699.08,-187.11,-3.83,1.49,241.39,38.94,2.75,0.67,-0.03829363982980594,
2025-02-12,4682.7,4682.7,4682.7,4682.7,-16.38,-0.35,2.37,337.29,38.93,2.74,0.69,-0.0034857887075768756,
2025-02-13,4673.25,4673.25,4673.25,4673.25,-9.45,-0.20,2.13,207.66,40.82,2.74,0.67,-0.0020180665000960607,
2025-02-14,4496.24,4496.24,4496.24,4496.24,-177.01,-3.79,3.35,258.48,39.74,2.63,0.7,-0.037877280265339985,
2025-02-17,4448.97,4448.97,4448.97,4448.97,-47.27,-1.05,2.12,236.9,39.02,2.61,0.69,-0.010513228831201094,
2025-02-18,4342.46,4342.46,4342.46,4342.46,-106.51,-2.39,2.26,219.3,38.08,2.54,0.71,-0.02394037271548255,
2025-02-19,4486.14,4486.14,4486.14,4486.14,143.68,3.31,1.99,290.27,39.34,2.63,0.69,0.03308723626700072,
2025-02-20,4553.08,4553.08,4553.08,4553.08,66.94,1.49,1.35,172.68,39.93,2.67,0.68,0.01492151381811535,
2025-02-21,4517.49,4517.49,4517.49,4517.49,-35.59,-0.78,1.46,193.63,39.62,2.65,0.7,-0.007816686726347943,
2025-02-24,4481.3,4481.3,4481.3,4481.3,-36.19,-0.80,1.16,158.74,39.3,2.63,0.69,-0.008011085802071438,
2025-02-25,4456.21,4456.21,4456.21,4456.21,-25.09,-0.56,1.16,136.58,39.08,2.61,0.69,-0.005598821770468443,
2025-02-27,4340.9,4340.9,4340.9,4340.9,-115.31,-2.59,1.27,137.84,38.07,2.54,0.71,-0.025876249099571202,
2025-02-28,4241.74,4241.74,4241.74,4241.74,-99.16,-2.28,2.1,230.43,37.2,2.49,0.73,-0.022843189200396186,
2025-03-03,4164.53,4164.53,4164.53,4164.53,-77.21,-1.82,2.19,249.31,36.52,2.44,0.74,-0.01820243579285863,
2025-03-04,4230.46,4230.46,4230.46,4230.46,65.93,1.58,1.94,199.55,37.1,2.48,0.73,0.015831318300024266,
2025-03-05,4364.79,4364.79,4364.79,4364.79,134.33,3.18,2.36,233.99,38.27,2.56,0.71,0.03175304813188151,
2025-03-06,4447.3,4447.3,4447.3,4447.3,82.51,1.89,1.73,212.91,39.0,2.61,0.69,0.018903544042210507,
2025-03-07,4507.35,4507.35,4507.35,4507.35,60.05,1.35,1.97,250.93,39.52,2.64,0.68,0.013502574595822159,
2025-03-10,4369.87,4369.87,4369.87,4369.87,-137.48,-3.05,1.57,205.39,38.32,2.56,0.7,-0.030501292333632968,
2025-03-11,4337.83,4337.83,4337.83,4337.83,-32.04,-0.73,1.73,198.55,38.04,2.54,0.71,-0.007332025895507188,
2025-03-12,4308.06,4308.06,4308.06,4308.06,-29.77,-0.69,2.7,222.78,37.78,2.52,0.71,-0.006862878443830156,
2025-03-13,4269.27,4269.27,4269.27,4269.27,-38.79,-0.90,3.4,245.83,37.44,2.5,0.72,-0.009004052868344492,
2025-03-17,4235.47,4235.47,4235.47,4235.47,-33.8,-0.79,2.19,223.18,37.14,2.48,0.73,-0.007917044365898684,
2025-03-18,4365.18,4365.18,4365.18,4365.18,129.71,3.06,2.73,268.23,38.28,2.56,0.71,0.03062470044646748,
2025-03-19,4487.35,4487.35,4487.35,4487.35,122.17,2.80,3.14,304.18,39.35,2.63,0.69,0.027987391127055394,
2025-03-20,4510.89,4510.89,4510.89,4510.89,23.54,0.52,2.11,255.22,39.56,2.64,0.68,0.005245857800260767,
2025-03-21,4601.2,4601.2,4601.2,4601.2,90.31,2.00,2.85,311.89,40.35,2.7,0.67,0.020020439425479042,
2025-03-24,4652.46,4652.46,4652.46,4652.46,51.26,1.11,3.04,356.61,40.9,2.76,0.65,0.011140572024689321,
2025-03-25,4542.63,4542.63,4542.63,4542.63,-109.83,-2.36,4.0,354.71,39.93,2.69,0.66,-0.023606866045060015,
2025-03-26,4465.72,4465.72,4465.72,4465.72,-76.91,-1.69,3.86,290.48,39.26,2.65,0.68,-0.016930720749873895,
2025-03-27,4518.22,4518.22,4518.22,4518.22,52.5,1.18,3.49,313.86,39.72,2.68,0.67,0.011756222960687124,
2025-03-28,4479.7,4479.7,4479.7,4479.7,-38.52,-0.85,3.67,270.6,39.38,2.66,0.67,-0.008525481273598978,
2025-04-01,4547.67,4547.67,4547.67,4547.67,67.97,1.52,2.43,184.31,39.97,2.7,0.66,0.015172891041810965,
2025-04-02,4601.85,4601.85,4601.85,4601.85,54.18,1.19,1.43,181.14,40.45,2.73,0.66,0.011913793217185997,
2025-04-03,4646.77,4646.77,4646.77,4646.77,44.92,0.98,1.78,220.54,40.85,2.76,0.65,0.009761291654443394,
2025-04-04,4461.71,4461.71,4461.71,4461.71,-185.06,-3.98,2.64,288.35,39.22,2.65,0.68,-0.039825513205947405,
2025-04-07,4236.03,4236.03,4236.03,4236.03,-225.68,-5.06,2.54,270.31,37.24,2.51,0.71,-0.05058150350426194,
