Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2024-10-04,4504.34,4534.3,4444.2,4469.33,,-,1.6,846.87,16.21,2.72,2.53,,
2024-10-07,4336.2,4336.2,4336.2,4336.2,-133.13,-2.98,1.55,587.97,15.73,2.64,2.61,-0.02978746255031517,
2024-10-08,4413.1,4413.1,4413.1,4413.1,76.9,1.77,1.03,365.58,16.01,2.68,2.57,0.017734421844010972,
2024-10-09,4397.88,4397.88,4397.88,4397.88,-15.22,-0.34,1.92,785.21,15.95,2.67,2.58,-0.0034488228229589968,
2024-10-10,4411.18,4411.18,4411.18,4411.18,13.3,0.30,0.79,353.19,16.0,2.68,2.57,0.0030241843797467194,
2024-10-11,4409.89,4409.89,4409.89,4409.89,-1.29,-0.03,0.63,322.1,16.0,2.68,2.57,-0.00029243875788331763,
2024-10-14,4413.62,4413.62,4413.62,4413.62,3.73,0.08,0.7,291.74,16.01,2.68,2.57,0.0008458260863648537,
2024-10-15,4408.96,4408.96,4408.96,4408.96,-4.66,-0.11,0.85,426.84,16.01,2.68,2.57,-0.0010558226580448249,
2024-10-16,4403.23,4403.23,4403.23,4403.23,-5.73,-0.13,0.99,350.54,15.99,2.68,2.57,-0.0012996262157063398,
2024-10-17,4352.02,4352.02,4352.02,4352.02,-51.21,-1.16,1.05,511.24,15.8,2.64,2.6,-0.011630098813825152,
2024-10-18,4343.76,4373.61,4292.15,4367.56,15.54,0.36,1.17,503.47,15.86,2.65,2.59,0.0035707556491009207,
2024-10-21,4375.81,4388.93,4319.13,4326.18,-41.38,-0.95,0.9,307.42,15.73,2.63,2.62,-0.00947439760415425,
2024-10-22,4326.44,4340.85,4209.5,4218.14,-108.04,-2.50,1.11,418.05,15.34,2.56,2.69,-0.02497353323255158,
2024-10-23,4201.03,4219.81,4130.77,4199.57,-18.57,-0.44,1.35,432.01,15.36,2.55,2.7,-0.004402414334280236,
2024-10-24,4201.85,4239.91,4193.15,4212.81,13.24,0.32,0.88,323.45,15.38,2.56,2.69,0.0031527037291914084,
2024-10-25,4210.15,4214.42,4080.77,4102.26,-110.55,-2.62,1.11,474.19,14.98,2.49,2.76,-0.02624139232483791,
2024-10-28,4094.36,4141.74,4040.97,4097.75,-4.51,-0.11,1.17,372.11,15.89,2.49,2.76,-0.0010993939925797447,
2024-10-29,4107.64,4135.81,4057.95,4130.23,32.48,0.79,1.31,488.46,16.91,2.51,2.74,0.007926301018851722,
2024-10-30,4134.73,4160.85,4095.38,4119.87,-10.36,-0.25,0.75,259.44,16.82,2.5,2.75,-0.002508334886919039,
2024-10-31,4132.67,4145.63,4102.4,4130.29,10.42,0.25,1.0,369.7,16.85,2.51,2.82,0.0025292060186365983,
2024-11-01,4168.42,4173.36,4155.78,4163.23,32.94,0.80,0.32,125.77,16.98,2.53,2.8,0.007975226921111966,
2024-11-04,4181.93,4181.93,4027.01,4063.05,-100.18,-2.41,1.32,471.09,16.57,2.47,2.8,-0.024063047201331567,
2024-11-05,4042.21,4088.95,4021.23,4086.6,23.55,0.58,1.12,379.99,16.67,2.48,3.03,0.005796138368959314,
2024-11-06,4115.07,4188.15,4095.46,4183.15,96.55,2.36,1.27,481.5,17.04,2.54,2.96,0.023625997161454526,
2024-11-07,4197.43,4197.53,4128.92,4132.63,-50.52,-1.21,1.0,378.47,16.79,2.51,3.0,-0.012077023295841594,
2024-11-08,4132.6,4132.6,4046.38,4057.94,-74.69,-1.81,1.08,361.78,16.5,2.47,3.09,-0.01807323665559224,
2024-11-11,4047.73,4080.56,4022.51,4043.02,-14.92,-0.37,1.15,437.41,16.48,2.46,2.93,-0.003676742386531151,
2024-11-12,4057.73,4080.44,3971.22,3977.46,-65.56,-1.62,0.98,362.35,16.21,2.42,3.0,-0.016215601208997232,
2024-11-13,3977.07,4005.27,3901.4,3907.72,-69.74,-1.75,1.19,407.15,16.28,2.37,3.05,-0.017533802979791235,
2024-11-14,3905.9,3931.46,3882.13,3886.82,-20.9,-0.53,1.07,377.3,16.2,2.36,3.23,-0.005348387294893064,
2024-11-18,3903.72,3911.88,3820.93,3838.76,-48.06,-1.24,1.26,459.68,16.0,2.33,3.12,-0.012364863821838878,
2024-11-19,3849.66,3897.96,3819.35,3827.13,-11.63,-0.30,0.91,313.65,15.95,2.33,3.31,-0.003029624149464949,
2024-11-21,3759.96,3759.96,3688.37,3739.53,-87.6,-2.29,1.67,743.13,15.59,2.27,3.39,-0.022889214633419752,
2024-11-22,3732.1,3800.37,3720.34,3791.07,51.54,1.38,2.52,1180.32,15.8,2.3,2.91,0.013782480686075571,
2024-11-25,3867.66,3899.67,3830.32,3847.19,56.12,1.48,1.73,759.22,16.03,2.34,2.85,0.01480320859282469,
2024-11-26,3861.04,3861.04,3793.17,3797.28,-49.91,-1.30,1.58,576.13,15.83,2.31,2.89,-0.012973105045500755,
2024-11-27,3812.83,3871.21,3785.41,3867.45,70.17,1.85,1.86,835.26,16.12,2.35,2.84,0.01847901655922124,
2024-11-28,3884.61,3927.37,3861.22,3870.41,2.96,0.08,1.85,954.56,16.13,2.35,2.83,0.0007653621895564733,
2024-11-29,3893.44,3940.47,3880.63,3921.54,51.13,1.32,1.67,990.82,16.34,2.38,2.8,0.013210486744298366,
2024-12-02,3926.86,3931.08,3898.85,3920.73,-0.81,-0.02,1.22,698.31,16.34,2.38,2.8,-0.00020655150782600273,
2024-12-03,3943.91,3971.99,3933.98,3967.2,46.47,1.19,1.45,580.47,16.53,2.41,2.76,0.011852384632453639,
2024-12-04,3980.38,3986.87,3938.37,3952.29,-14.91,-0.38,0.91,357.6,16.47,2.4,2.78,-0.0037583182093163803,
2024-12-05,3965.94,3984.54,3921.0,3969.48,17.19,0.43,0.96,392.13,16.54,2.41,2.76,0.004349377196511295,
2024-12-06,3982.87,4004.14,3969.06,3975.61,6.13,0.15,1.45,448.29,16.43,2.4,2.78,0.0015442828783618356,
2024-12-09,3989.87,3996.54,3956.47,3965.64,-9.97,-0.25,1.28,401.28,16.53,2.41,2.77,-0.0025077912571908056,
2024-12-10,3972.14,3972.2,3924.69,3942.8,-22.84,-0.58,0.77,300.58,16.43,2.4,2.78,-0.00575947388063458,
2024-12-11,3945.85,3962.93,3935.87,3938.87,-3.93,-0.10,0.69,294.36,16.42,2.39,2.78,-0.0009967535761388202,
2024-12-12,3943.9,3945.57,3911.46,3921.0,-17.87,-0.45,1.17,626.68,16.34,2.38,2.8,-0.004536834168175075,
2024-12-13,3924.49,3933.86,3852.41,3930.8,9.8,0.25,1.16,513.98,16.38,2.39,2.49,0.0024993624075491105,
2024-12-16,3932.15,3937.38,3897.37,3905.39,-25.41,-0.65,0.66,276.64,16.28,2.37,2.51,-0.0064643329602117605,
2024-12-17,3899.87,3904.95,3846.89,3851.54,-53.85,-1.38,0.74,298.51,16.05,2.34,2.54,-0.013788635706037056,
2024-12-18,3848.14,3854.12,3788.83,3797.48,-54.06,-1.40,0.7,238.43,15.83,2.31,2.58,-0.014035944063932826,
2024-12-19,3734.67,3794.78,3732.95,3778.96,-18.52,-0.49,1.64,561.65,15.75,2.3,2.59,-0.004876918377450301,
2024-12-20,3781.36,3812.62,3689.78,3700.18,-78.78,-2.08,1.17,508.18,15.42,2.25,2.65,-0.02084700552532981,
2024-12-23,3728.54,3748.16,3697.73,3716.67,16.49,0.45,1.25,699.13,15.42,2.24,2.67,0.004456539952110594,
