Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2002-01-01,,,,1000.0,,-,-,-,,,,,
2002-01-02,,,,1018.16,18.16,1.82,-,-,,,,0.018159999999999954,
2002-01-03,,,,1060.87,42.71,4.19,-,-,,,,0.04194822031900669,
2002-01-04,,,,1073.2,12.33,1.16,-,-,,,,0.011622536220272206,
2002-01-07,,,,1040.11,-33.09,-3.08,-,-,,,,-0.03083302273574373,
2002-01-08,,,,1030.81,-9.3,-0.89,-,-,,,,-0.008941361971329886,
2002-01-09,,,,1076.61,45.8,4.44,-,-,,,,0.044431078472269236,
2002-01-10,,,,1066.69,-9.92,-0.92,-,-,,,,-0.009214107244034375,
2002-01-11,,,,1055.18,-11.51,-1.08,-,-,,,,-0.010790388960241537,
2002-01-14,,,,1123.19,68.01,6.45,-,-,,,,0.06445345817775161,
2002-01-15,,,,1102.56,-20.63,-1.84,-,-,,,,-0.018367328768952862,
2002-01-16,,,,1138.36,35.8,3.25,-,-,,,,0.03246988826004937,
2002-01-17,,,,1120.93,-17.43,-1.53,-,-,,,,-0.015311500755472607,
2002-01-18,,,,1140.85,19.92,1.78,-,-,,,,0.01777095804376705,
2002-01-21,,,,1124.85,-16.0,-1.40,-,-,,,,-0.014024630757768386,
2002-01-22,,,,1122.51,-2.34,-0.21,-,-,,,,-0.0020802773703160193,
2002-01-23,,,,1101.95,-20.56,-1.83,-,-,,,,-0.018316095179552905,
2002-01-24,,,,1086.79,-15.16,-1.38,-,-,,,,-0.013757430010436167,
2002-01-25,,,,1093.92,7.13,0.66,-,-,,,,0.006560605084699134,
2002-01-28,,,,1131.76,37.84,3.46,-,-,,,,0.03459119496855334,
2002-01-29,,,,1108.83,-22.93,-2.03,-,-,,,,-0.02026047925355201,
2002-01-30,,,,1126.69,17.86,1.61,-,-,,,,0.016107067810214426,
2002-01-31,,,,1106.02,-20.67,-1.83,-,-,,,,-0.018345773904090756,
2002-02-01,,,,1114.86,8.84,0.80,-,-,,,,0.007992622194896937,
2002-02-04,,,,1154.62,39.76,3.57,-,-,,,,0.0356636707748057,
2002-02-05,,,,1151.14,-3.48,-0.30,-,-,,,,-0.0030139786250019673,
2002-02-06,,,,1259.48,108.34,9.41,-,-,,,,0.09411539864829632,
2002-02-07,,,,1291.05,31.57,2.51,-,-,,,,0.025065900212786207,
2002-02-08,,,,1308.87,17.82,1.38,-,-,,,,0.013802718717323081,
2002-02-11,,,,1302.68,-6.19,-0.47,-,-,,,,-0.004729270286582987,
2002-02-12,,,,1278.11,-24.57,-1.89,-,-,,,,-0.018861117081708567,
2002-02-13,,,,1302.25,24.14,1.89,-,-,,,,0.0188872632246051,
2002-02-14,,,,1339.82,37.57,2.89,-,-,,,,0.028850067191399376,
2002-02-15,,,,1344.23,4.41,0.33,-,-,,,,0.003291486916152886,
2002-02-18,,,,1323.07,-21.16,-1.57,-,-,,,,-0.015741353786182466,
2002-02-19,,,,1292.68,-30.39,-2.30,-,-,,,,-0.022969306234741804,
2002-02-20,,,,1288.95,-3.73,-0.29,-,-,,,,-0.002885478231271499,
2002-02-21,,,,1307.28,18.33,1.42,-,-,,,,0.014220877458396286,
2002-02-22,,,,1299.0,-8.28,-0.63,-,-,,,,-0.006333761703690044,
2002-02-25,,,,1302.57,3.57,0.27,-,-,,,,0.0027482678983832276,
2002-02-26,,,,1384.29,81.72,6.27,-,-,,,,0.06273751122780347,
2002-02-27,,,,1346.76,-37.53,-2.71,-,-,,,,-0.027111371172225507,
2002-02-28,,,,1218.11,-128.65,-9.55,-,-,,,,-0.09552555763461945,
2002-03-01,,,,1246.82,28.71,2.36,-,-,,,,0.02356929998111834,
2002-03-04,,,,1268.18,21.36,1.71,-,-,,,,0.01713158274650728,
2002-03-05,,,,1249.59,-18.59,-1.47,-,-,,,,-0.014658802378211377,
2002-03-06,,,,1244.61,-4.98,-0.40,-,-,,,,-0.003985307180755293,
2002-03-07,,,,1251.08,6.47,0.52,-,-,,,,0.005198415567928993,
2002-03-08,,,,1249.0,-2.08,-0.17,-,-,,,,-0.0016625635450969733,
2002-03-11,,,,1246.01,-2.99,-0.24,-,-,,,,-0.0023939151321057395,
2002-03-12,,,,1226.88,-19.13,-1.54,-,-,,,,-0.015353006797698132,
2002-03-13,,,,1234.22,7.34,0.60,-,-,,,,0.005982655190401642,
2002-03-14,,,,1233.67,-0.55,-0.04,-,-,,,,-0.00044562557728766716,
2002-03-15,,,,1258.77,25.1,2.03,-,-,,,,0.020345797498520612,
2002-03-18,,,,1254.66,-4.11,-0.33,-,-,,,,-0.0032650921137299393,
2002-03-19,,,,1258.8,4.14,0.33,-,-,,,,0.0032996987231599384,
2002-03-20,,,,1243.32,-15.48,-1.23,-,-,,,,-0.012297426120114419,
2002-03-21,,,,1229.76,-13.56,-1.09,-,-,,,,-0.01090628317729947,
2002-03-22,,,,1216.18,-13.58,-1.10,-,-,,,,-0.011042805100182074,
2002-03-26,,,,1219.76,3.58,0.29,-,-,,,,0.002943643210708835,
2002-03-27,,,,1217.91,-1.85,-0.15,-,-,,,,-0.0015166918082244463,
2002-03-28,,,,1203.97,-13.94,-1.14,-,-,,,,-0.011445837541361858,
2002-04-01,,,,1276.11,72.14,5.99,-,-,,,,0.0599184365058929,
2002-04-02,,,,1267.58,-8.53,-0.67,-,-,,,,-0.006684376738682385,
2002-04-03,,,,1257.32,-10.26,-0.81,-,-,,,,-0.008094163681976685,
2002-04-04,,,,1269.42,12.1,0.96,-,-,,,,0.009623643941081061,
2002-04-05,,,,1270.3,0.88,0.07,-,-,,,,0.0006932299790454177,
2002-04-08,,,,1297.33,27.03,2.13,-,-,,,,0.021278438164213265,
2002-04-09,,,,1279.37,-17.96,-1.38,-,-,,,,-0.01384381768709586,
2002-04-10,,,,1285.8,6.43,0.50,-,-,,,,0.005025911190664312,
2002-04-11,,,,1313.64,27.84,2.17,-,-,,,,0.021651889874008567,
2002-04-12,,,,1319.55,5.91,0.45,-,-,,,,0.004498949483876746,
2002-04-15,,,,1316.19,-3.36,-0.25,-,-,,,,-0.002546322609980556,
2002-04-16,,,,1309.15,-7.04,-0.53,-,-,,,,-0.005348771833853738,
2002-04-17,,,,1314.98,5.83,0.45,-,-,,,,0.004453271206507958,
2002-04-18,,,,1325.15,10.17,0.77,-,-,,,,0.007733957930919244,
2002-04-19,,,,1309.78,-15.37,-1.16,-,-,,,,-0.01159868694110111,
