Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2000-01-03,,,,1488.96,88.64,6.33,-,-,,,,,
2000-01-04,,,,1502.34,13.38,0.9,-,-,,,,0.00898613797549963,
2000-01-05,,,,1508.53,6.19,0.41,-,-,,,,0.004120239093680533,
2000-01-06,,,,1522.17,13.64,0.9,-,-,,,,0.00904191497683171,
2000-01-07,,,,1501.13,-21.04,-1.38,-,-,,,,-0.013822372008382766,
2000-01-10,,,,1530.75,29.62,1.97,-,-,,,,0.019731802042461277,
2000-01-11,,,,1466.07,-64.68,-4.23,-,-,,,,-0.042253797158255835,
2000-01-12,,,,1488.3,22.23,1.52,-,-,,,,0.015162986760522967,
2000-01-13,,,,1452.04,-36.26,-2.44,-,-,,,,-0.02436336760061819,
2000-01-14,,,,1457.71,5.67,0.39,-,-,,,,0.003904851106030227,
2000-01-17,,,,1470.66,12.95,0.89,-,-,,,,0.008883797188741216,
2000-01-18,,,,1452.64,-18.02,-1.23,-,-,,,,-0.012253002053499773,
2000-01-19,,,,1434.28,-18.36,-1.26,-,-,,,,-0.012639057164886114,
2000-01-20,,,,1424.79,-9.49,-0.66,-,-,,,,-0.006616560225339518,
2000-01-21,,,,1419.52,-5.27,-0.37,-,-,,,,-0.003698790698980159,
2000-01-24,,,,1411.4,-8.12,-0.57,-,-,,,,-0.005720243462578822,
2000-01-25,,,,1394.14,-17.26,-1.22,-,-,,,,-0.012228992489726531,
2000-01-27,,,,1422.88,28.74,2.06,-,-,,,,0.02061485933980811,
2000-01-28,,,,1436.64,13.76,0.97,-,-,,,,0.009670527381086202,
2000-01-31,,,,1431.54,-5.1,-0.35,-,-,,,,-0.003549949883060566,
2000-02-01,,,,1444.99,13.45,0.94,-,-,,,,0.009395476200455555,
2000-02-02,,,,1463.63,18.64,1.29,-,-,,,,0.01289974325081844,
2000-02-03,,,,1479.22,15.59,1.07,-,-,,,,0.0106515991063314,
2000-02-04,,,,1479.72,0.5,0.03,-,-,,,,0.0003380159813954897,
2000-02-07,,,,1515.95,36.23,2.45,-,-,,,,0.02448436190630665,
2000-02-08,,,,1524.82,8.87,0.59,-,-,,,,0.005851116461624617,
2000-02-09,,,,1552.17,27.35,1.79,-,-,,,,0.017936543329704513,
2000-02-10,,,,1587.48,35.31,2.27,-,-,,,,0.0227487968457063,
2000-02-11,,,,1540.4,-47.08,-2.97,-,-,,,,-0.0296570665457202,
2000-02-14,,,,1500.34,-40.06,-2.6,-,-,,,,-0.026006232147494313,
2000-02-15,,,,1453.11,-47.23,-3.15,-,-,,,,-0.03147953130623726,
2000-02-16,,,,1444.97,-8.14,-0.56,-,-,,,,-0.005601778254915257,
2000-02-17,,,,1464.12,19.15,1.33,-,-,,,,0.013252870301805553,
2000-02-18,,,,1393.47,-70.65,-4.83,-,-,,,,-0.048254241455618296,
2000-02-21,,,,1409.99,16.52,1.19,-,-,,,,0.011855296490057121,
