Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2015-12-14,,,,532.32,,-,0.34,229.96,23.97,4.93,2.24,,
2015-12-15,,,,536.42,4.1,0.77,0.25,135.66,24.17,4.97,2.22,0.007702134054703658,
2015-12-16,,,,537.03,0.61,0.11,0.30,158.26,24.25,4.98,2.21,0.0011371686365162503,
2015-12-17,,,,543.14,6.11,1.14,0.27,132.67,24.65,5.07,2.18,0.01137739046235775,
2015-12-18,,,,540.49,-2.65,-0.49,0.25,150.76,24.59,5.05,2.18,-0.004879036712449825,
2015-12-21,,,,543.09,2.6,0.48,0.22,104.61,24.75,5.09,2.19,0.004810449777054249,
2015-12-22,,,,542.29,-0.8,-0.15,0.21,100.42,24.7,5.08,2.2,-0.0014730523485979585,
2015-12-23,,,,544.94,2.65,0.49,0.15,70.31,24.89,5.12,2.18,0.004886684246436568,
2015-12-24,,,,545.99,1.05,0.19,0.15,69.85,24.97,5.13,2.17,0.0019268176312987606,
2015-12-28,,,,547.61,1.62,0.30,0.16,118.17,25.01,5.14,2.17,0.002967087309291294,
2015-12-29,,,,548.16,0.55,0.10,0.22,104.05,24.94,5.13,2.18,0.0010043644199337898,
2015-12-30,,,,547.87,-0.29,-0.05,0.16,94.49,24.93,5.12,2.18,-0.0005290426152947392,
2015-12-31,,,,549.04,1.17,0.21,0.53,232.09,25.06,5.15,2.17,0.0021355431032907823,
2016-01-01,,,,551.63,2.59,0.47,0.27,119.58,25.16,5.17,2.16,0.00471732478507958,
2016-01-04,,,,543.75,-7.88,-1.43,0.33,170.41,24.48,5.03,2.2,-0.0142849373674383,
2016-01-05,,,,543.31,-0.44,-0.08,0.33,146.31,24.42,5.02,2.21,-0.0008091954022989567,
2016-01-06,,,,540.24,-3.07,-0.57,0.34,154.35,24.22,4.98,2.21,-0.005650549410097239,
2016-01-07,,,,528.32,-11.92,-2.21,0.40,173.77,23.67,4.86,2.26,-0.02206426773285941,
2016-01-08,,,,530.0,1.68,0.32,0.33,140.44,23.78,4.89,2.25,0.003179890975166577,
2016-01-11,,,,525.47,-4.53,-0.85,0.33,139.66,23.59,4.85,2.27,-0.008547169811320754,
2016-01-12,,,,523.05,-2.42,-0.46,0.24,125.64,23.42,4.81,2.28,-0.0046054008792130174,
2016-01-13,,,,524.49,1.44,0.28,0.39,220.62,23.51,4.83,2.28,0.0027530828792659,
2016-01-14,,,,522.97,-1.52,-0.29,0.44,198.57,23.31,4.79,2.3,-0.002898053347060947,
2016-01-15,,,,514.25,-8.72,-1.67,0.36,173.39,22.95,4.72,2.35,-0.01667399659636315,
2016-01-18,,,,505.65,-8.6,-1.67,0.34,148.25,22.86,4.69,2.36,-0.016723383568303385,
2016-01-19,,,,508.81,3.16,0.62,0.24,105.12,23.01,4.72,2.34,0.0062493819835856,
2016-01-20,,,,500.54,-8.27,-1.63,0.32,136.76,22.49,4.61,2.4,-0.016253611367701093,
