Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2023-10-09,,,,117.42,,-,0.04,5.31,82.38,1.28,6.45,,
2023-10-10,,,,117.16,-0.26,-0.22,0.02,3.15,82.18,1.28,6.46,-0.002214273547947565,
2023-10-11,,,,117.21,0.05,0.04,0.04,4.74,82.43,1.28,6.45,0.0004267668146125114,
2023-10-12,,,,117.52,0.31,0.26,0.02,3.06,82.6,1.29,6.44,0.0026448255268320953,
2023-10-13,,,,117.74,0.22,0.19,0.02,2.42,82.7,1.29,6.43,0.0018720217835261899,
2023-10-16,,,,117.96,0.22,0.19,0.13,15.71,82.91,1.29,6.42,0.001868523866145777,
2023-10-17,,,,117.82,-0.14,-0.12,0.03,3.05,82.85,1.29,6.43,-0.0011868429976262806,
2023-10-18,,,,118.36,0.54,0.46,0.02,2.4,83.12,1.29,6.4,0.004583262603972127,
2023-10-19,,,,118.17,-0.19,-0.16,0.01,2.01,83.01,1.29,6.41,-0.0016052720513687335,
2023-10-20,,,,117.91,-0.26,-0.22,0.01,1.73,83.03,1.29,6.41,-0.002200220022002264,
2023-10-23,,,,117.01,-0.9,-0.76,0.01,1.72,82.26,1.28,6.47,-0.007632940378254571,
2023-10-25,,,,116.36,-0.65,-0.56,0.01,2.09,81.58,1.27,6.51,-0.005555080762328024,
2023-10-26,,,,115.73,-0.63,-0.54,0.02,2.44,81.06,1.26,6.55,-0.005414231694740423,
2023-10-27,,,,116.77,1.04,0.90,0.03,4.56,81.92,1.28,6.48,0.008986433941069683,
2023-10-30,,,,117.29,0.52,0.45,0.02,2.37,76.0,1.29,6.45,0.004453198595529839,
2023-10-31,,,,117.92,0.63,0.54,0.03,3.41,76.42,1.3,6.42,0.00537130190127022,
2023-11-01,,,,117.99,0.07,0.06,0.03,4.24,76.41,1.3,6.42,0.0005936227951153228,
2023-11-02,,,,117.98,-0.01,-0.01,0.02,3.09,76.43,1.3,6.42,-8.475294516474552e-05,
2023-11-03,,,,117.93,-0.05,-0.04,0.03,4.2,74.15,1.3,6.42,-0.0004238006441769082,
2023-11-06,,,,118.42,0.49,0.42,0.02,3.51,74.42,1.3,6.39,0.004155007207665484,
2023-11-07,,,,118.06,-0.36,-0.30,0.03,3.21,74.12,1.3,6.41,-0.0030400270224624215,
2023-11-08,,,,118.36,0.3,0.25,0.02,2.08,74.42,1.3,6.4,0.002541080806369722,
2023-11-09,,,,118.65,0.29,0.25,0.03,4.06,74.6,1.31,6.38,0.0024501520784048214,
2023-11-10,,,,118.62,-0.03,-0.03,0.01,1.88,74.46,1.3,6.39,-0.00025284450063212116,
2023-11-12,,,,119.49,0.87,0.73,0.02,1.98,75.12,1.32,6.34,0.007334344967121931,
2023-11-13,,,,118.07,-1.42,-1.19,0.02,2.15,74.25,1.3,6.41,-0.01188383965185369,
2023-11-15,,,,118.99,0.92,0.78,0.02,2.85,82.81,1.27,6.35,0.007791987803845268,
2023-11-16,,,,118.21,-0.78,-0.66,0.02,2.6,81.95,1.26,6.43,-0.006555172703588519,
2023-11-17,,,,119.48,1.27,1.07,0.02,2.08,83.48,1.27,6.38,0.010743591912697914,
2023-11-20,,,,119.78,0.3,0.25,0.02,2.31,83.7,1.28,6.36,0.0025108804820890285,
