Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2018-07-25,,,,3780.93,,-,1.43,719.41,23.4,3.15,1.21,,
2018-07-26,,,,3794.76,13.83,0.37,2.20,1087.09,23.47,3.16,1.21,0.003657830216375446,
2018-07-27,,,,3830.7,35.94,0.95,2.01,1011.87,23.61,3.18,1.2,0.009470954684881239,
2018-07-30,,,,3844.59,13.89,0.36,1.61,924.49,23.65,3.19,1.2,0.003625969144020802,
2018-07-31,,,,3857.57,12.98,0.34,1.67,1155.09,23.75,3.2,1.19,0.003376172751840878,
2018-08-01,,,,3854.06,-3.51,-0.09,1.90,1254.86,23.73,3.2,1.19,-0.0009098992370845105,
2018-08-02,,,,3818.94,-35.12,-0.91,1.40,762.09,23.93,3.16,1.21,-0.009112468409936514,
2018-08-03,,,,3853.43,34.49,0.90,2.02,1038.43,24.03,3.18,1.2,0.009031301879579123,
2018-08-06,,,,3864.05,10.62,0.28,1.53,878.35,24.16,3.19,1.19,0.002755986225259077,
2018-08-07,,,,3864.31,0.26,0.01,-,,24.17,3.2,1.19,6.728691398905084e-05,
2018-08-08,,,,3886.88,22.57,0.58,1.19,632.92,24.44,3.23,1.18,0.005840628728026598,
2018-08-09,,,,3898.88,12.0,0.31,1.74,974.24,24.46,3.23,1.18,0.0030873091013872145,
2018-08-10,,,,3884.26,-14.62,-0.37,1.80,975.47,24.27,3.21,1.19,-0.0037497948128693004,
2018-08-13,,,,3860.55,-23.71,-0.61,1.64,902.08,24.33,3.17,1.21,-0.006104122793015976,
2018-08-14,,,,3884.63,24.08,0.62,1.62,892.22,24.44,3.18,1.2,0.006237453212625033,
2018-08-16,,,,3867.95,-16.68,-0.43,1.62,1167.03,24.22,3.19,1.2,-0.004293845231077453,
2018-08-17,,,,3898.4,30.45,0.79,1.17,643.59,24.64,3.25,1.19,0.00787238718184069,
2018-08-20,,,,3926.42,28.02,0.72,1.39,885.72,24.79,3.27,1.17,0.007187564128873447,
2018-08-21,,,,3929.51,3.09,0.08,1.20,663.4,24.78,3.27,1.17,0.000786976431456754,
2018-08-23,,,,3937.07,7.56,0.19,1.49,847.0,24.66,3.25,1.18,0.0019239039982084094,
2018-08-24,,,,3927.79,-9.28,-0.24,1.30,724.6,24.57,3.24,1.18,-0.0023570828052333903,
2018-08-27,,,,3971.91,44.12,1.12,1.27,653.06,24.99,3.3,1.17,0.011232779756555233,
2018-08-28,,,,3988.4,16.49,0.42,1.22,731.78,24.96,3.29,1.16,0.004151654997218035,
2018-08-29,,,,3973.54,-14.86,-0.37,1.32,755.07,24.81,3.27,1.17,-0.003725804834018631,
2018-08-30,,,,3970.3,-3.24,-0.08,1.27,893.59,24.74,3.26,1.17,-0.0008153938301865837,
2018-08-31,,,,3967.48,-2.82,-0.07,2.01,1343.07,24.78,3.27,1.17,-0.0007102737828376116,
2018-09-03,,,,3933.11,-34.37,-0.87,1.41,963.32,24.69,3.26,1.18,-0.00866292961779258,
2018-09-04,,,,3908.06,-25.05,-0.64,1.84,1893.83,24.34,3.21,1.19,-0.006369005697781205,
2018-09-05,,,,3891.47,-16.59,-0.42,1.79,1288.93,24.21,3.2,1.2,-0.004245073002973387,
2018-09-06,,,,3911.05,19.58,0.50,1.19,725.01,24.39,3.22,1.19,0.0050315176527122585,
2018-09-07,,,,3929.77,18.72,0.48,2.20,1099.36,24.59,3.25,1.18,0.0047864384244640235,
2018-09-10,,,,3878.25,-51.52,-1.31,2.50,1621.17,24.23,3.2,1.2,-0.013110182020830696,
2018-09-11,,,,3825.57,-52.68,-1.36,1.60,1064.16,23.75,3.14,1.23,-0.013583446141945399,
2018-09-12,,,,3856.57,31.0,0.81,1.72,971.36,24.26,3.21,1.2,0.008103367602736222,
2018-09-14,,,,3899.72,43.15,1.12,1.64,840.69,24.5,3.24,1.18,0.011188698766001925,
2018-09-17,,,,3851.09,-48.63,-1.25,1.16,667.26,23.93,3.16,1.21,-0.012470126060332487,
2018-09-18,,,,3822.07,-29.02,-0.75,1.34,802.57,23.7,3.13,1.23,-0.007535528902206878,
2018-09-19,,,,3804.66,-17.41,-0.46,1.60,888.33,23.74,3.14,1.23,-0.0045551232708977984,
2018-09-21,,,,3774.14,-30.52,-0.80,4.74,1921.17,23.61,3.12,1.23,-0.008021741758790557,
2018-09-24,,,,3712.92,-61.22,-1.62,3.00,1515.85,23.12,3.07,1.27,-0.016220913903564727,
2018-09-25,,,,3747.14,34.22,0.92,2.36,1194.2,23.3,3.09,1.26,0.009216465746636038,
2018-09-26,,,,3736.16,-10.98,-0.29,2.47,1078.93,23.41,3.11,1.26,-0.0029302347924017313,
2018-09-27,,,,3713.86,-22.3,-0.60,2.05,1021.33,23.27,3.09,1.26,-0.005968695130829427,
2018-09-28,,,,3700.54,-13.32,-0.36,2.60,1134.82,23.16,3.08,1.27,-0.0035865649216718642,
2018-10-01,,,,3727.45,26.91,0.73,2.60,1332.9,23.24,3.09,1.26,0.007271911666945963,
2018-10-03,,,,3671.27,-56.18,-1.51,2.97,1374.72,22.92,3.05,1.29,-0.015071966089417632,
2018-10-04,,,,3585.95,-85.32,-2.32,2.54,1366.79,22.34,2.97,1.32,-0.023239914253105898,
2018-10-05,,,,3496.32,-89.63,-2.50,3.57,1399.35,21.67,2.88,1.36,-0.02499477126005656,
2018-10-08,,,,3506.04,9.72,0.28,2.80,1326.73,21.84,2.9,1.34,0.002780065897858286,
2018-10-09,,,,3484.44,-21.6,-0.62,3.53,1379.32,21.7,2.88,1.36,-0.0061607967963855925,
2018-10-10,,,,3538.17,53.73,1.54,2.88,1646.3,22.05,2.93,1.33,0.015419981403037575,
2018-10-11,,,,3463.82,-74.35,-2.10,3.73,1423.73,21.61,2.87,1.36,-0.021013687866891617,
2018-10-12,,,,3541.01,77.19,2.23,3.60,1422.22,22.27,2.96,1.32,0.022284645276024806,
2018-10-15,,,,3552.39,11.38,0.32,1.45,716.27,22.04,2.94,1.33,0.0032137723417893227,
2018-10-16,,,,3581.92,29.53,0.83,1.66,797.72,22.31,2.98,1.31,0.008312713412660155,
2018-10-17,,,,3537.13,-44.79,-1.25,2.11,1104.35,22.12,2.95,1.33,-0.012504466878098919,
2018-10-19,,,,3491.41,-45.72,-1.29,1.99,1026.35,21.76,2.9,1.35,-0.012925733574960518,
2018-10-22,,,,3471.29,-20.12,-0.58,2.08,926.44,21.63,2.89,1.35,-0.0057627147771244225,
2018-10-23,,,,3438.07,-33.22,-0.96,1.75,981.52,21.33,2.84,1.37,-0.009569929334627747,
2018-10-24,,,,3464.99,26.92,0.78,2.75,1291.11,21.65,2.89,1.35,0.007829974375157978,
2018-10-25,,,,3432.0,-32.99,-0.95,2.32,975.21,21.39,2.85,1.36,-0.009520950998415545,
2018-10-26,,,,3399.35,-32.65,-0.95,2.88,1062.16,21.09,2.81,1.39,-0.00951340326340333,
2018-10-29,,,,3469.82,70.47,2.07,5.56,1943.73,21.6,2.88,1.35,0.020730433759395206,
2018-10-30,,,,3455.14,-14.68,-0.42,2.02,957.13,21.48,2.86,1.36,-0.0042307670138509446,
2018-10-31,,,,3512.93,57.79,1.67,3.50,2287.52,21.77,2.9,1.34,0.016725805611349953,
2018-11-01,,,,3511.02,-1.91,-0.05,2.69,1180.15,21.83,2.91,1.34,-0.0005437056815820185,
2018-11-02,,,,3570.58,59.56,1.70,4.74,2514.32,22.47,2.99,1.3,0.01696373133733209,
2018-11-05,,,,3564.22,-6.36,-0.18,2.62,1381.58,22.33,2.97,1.31,-0.0017812232186368293,
2018-11-06,,,,3565.03,0.81,0.02,1.98,864.5,22.34,2.97,1.31,0.00022725869895801054,
2018-11-07,,,,3590.17,25.14,0.71,-,,22.63,3.01,1.29,0.007051834065912477,
2018-11-09,,,,3585.04,-5.13,-0.14,2.03,810.61,22.58,3.01,1.3,-0.0014289016954629474,
2018-11-12,,,,3548.17,-36.87,-1.03,1.98,914.04,22.25,2.96,1.32,-0.010284404079173415,
2018-11-13,,,,3582.37,34.2,0.96,1.68,876.92,22.56,3.0,1.3,0.009638771535749324,
2018-11-14,,,,3582.58,0.21,0.01,3.53,1457.23,22.67,3.02,1.29,5.862041051041267e-05,
2018-11-15,,,,3593.34,10.76,0.30,3.15,1277.65,22.82,3.04,1.28,0.0030034221147887674,
2018-11-16,,,,3616.85,23.51,0.65,2.61,1089.45,23.06,3.07,1.27,0.0065426594755853,
2018-11-19,,,,3646.28,29.43,0.81,2.01,916.83,23.28,3.1,1.26,0.008136914718608779,
2018-11-20,,,,3615.23,-31.05,-0.85,1.96,732.99,23.14,3.08,1.26,-0.008515528154722118,
2018-11-21,,,,3594.31,-20.92,-0.58,1.82,898.92,22.86,2.97,1.27,-0.005786630449514996,
2018-11-22,,,,3570.52,-23.79,-0.66,1.69,743.07,22.75,2.96,1.28,-0.006618794706077069,
2018-11-26,,,,3607.33,36.81,1.03,2.30,1199.38,22.92,2.98,1.27,0.010309422717139194,
2018-11-27,,,,3626.65,19.32,0.54,2.31,957.46,22.95,2.98,1.27,0.005355761740678089,
2018-11-28,,,,3641.1,14.45,0.40,3.18,1257.77,23.17,3.01,1.26,0.00398439331063094,
2018-11-29,,,,3684.82,43.72,1.20,5.17,1934.1,23.69,3.08,1.23,0.012007360413062163,
2018-11-30,,,,3686.93,2.11,0.06,3.29,1187.35,23.72,3.07,1.24,0.0005726195580786353,
2018-12-03,,,,3695.26,8.33,0.23,3.52,1297.8,23.41,3.04,1.25,0.002259332290008409,
2018-12-04,,,,3685.79,-9.47,-0.26,2.19,840.97,23.26,3.02,1.26,-0.002562742540443752,
2018-12-05,,,,3657.82,-27.97,-0.76,2.46,1036.23,23.33,3.03,1.26,-0.007588603799999372,
2018-12-06,,,,3596.39,-61.43,-1.68,2.74,1039.15,22.79,2.96,1.28,-0.016794156082038048,
2018-12-07,,,,3629.03,32.64,0.91,2.38,1070.29,23.11,3.0,1.27,0.009075767644777244,
2018-12-10,,,,3558.91,-70.12,-1.93,2.52,988.76,22.68,2.95,1.29,-0.01932196757811322,
2018-12-11,,,,3582.72,23.81,0.67,2.68,1115.28,22.68,2.95,1.29,0.0066902506666366435,
