Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2024-08-05,38962.67,38962.67,38962.67,38962.67,,-,2.0,890.77,19.16,3.47,1.55,,
2024-08-06,38620.65,38620.65,38620.65,38620.65,-342.02,-0.88,1.07,528.26,19.0,3.44,1.58,-0.008778145850887431,
2024-08-07,39692.53,39692.53,39692.53,39692.53,1071.88,2.78,1.41,655.93,19.83,3.54,1.57,0.027754064211762186,
2024-08-08,39251.58,39251.58,39251.58,39251.58,-440.95,-1.11,0.85,571.28,19.53,3.5,1.59,-0.011109143206542771,
2024-08-09,39854.84,39854.84,39854.84,39854.84,603.26,1.54,0.84,561.26,19.83,3.55,1.69,0.015369062850463466,
2024-08-12,39812.8,39812.8,39812.8,39812.8,-42.04,-0.11,0.93,537.28,19.81,3.55,1.63,-0.001054827970705552,
2024-08-13,39377.77,39377.77,39377.77,39377.77,-435.03,-1.09,0.83,452.07,19.6,3.51,1.64,-0.010926887835068233,
2024-08-14,39109.87,39109.87,39109.87,39109.87,-267.9,-0.68,0.69,398.65,19.37,3.49,1.67,-0.006803330914878947,
2024-08-16,39819.89,39819.89,39819.89,39819.89,710.02,1.82,0.77,593.47,19.72,3.55,1.64,0.018154496550359278,
2024-08-19,40153.92,40153.92,40153.92,40153.92,334.03,0.84,0.73,376.35,19.84,3.58,1.57,0.00838852141480051,
2024-08-20,40560.89,40560.89,40560.89,40560.89,406.97,1.01,1.08,457.31,20.04,3.61,1.55,0.010135249559694248,
2024-08-21,40870.73,40870.73,40870.73,40870.73,309.84,0.76,0.71,396.66,20.19,3.64,1.55,0.007638885635892212,
2024-08-22,40978.25,40978.25,40978.25,40978.25,107.52,0.26,0.63,389.39,20.25,3.65,1.55,0.0026307335347324212,
2024-08-23,40931.46,40931.46,40931.46,40931.46,-46.79,-0.11,0.64,397.52,20.22,3.65,1.59,-0.0011418252365584802,
2024-08-26,41168.6,41168.6,41168.6,41168.6,237.14,0.58,0.66,414.67,20.34,3.67,1.57,0.00579358762184401,
2024-08-27,41213.64,41315.28,41063.68,41264.9,96.3,0.23,0.6,323.13,20.39,3.68,1.57,0.00233916139970769,
2024-08-28,41378.19,41689.45,41228.62,41537.7,272.8,0.66,0.85,459.58,20.52,3.7,1.55,0.006610945379729394,
2024-08-29,41565.05,41641.2,41243.14,41593.92,56.22,0.14,0.91,469.04,20.55,3.71,1.55,0.0013534692580474683,
2024-08-30,41716.41,41862.05,41652.97,41791.79,197.87,0.48,0.75,438.12,20.65,3.72,1.56,0.004757185665597241,
2024-09-02,41940.15,42009.75,41652.56,41753.55,-38.24,-0.09,0.89,485.63,20.63,3.72,1.57,-0.0009150122547992856,
2024-09-03,41995.28,42003.35,41712.32,41823.32,69.77,0.17,0.56,354.46,20.66,3.73,1.56,0.0016709956398917036,
2024-09-04,41243.36,41645.64,41241.42,41608.68,-214.64,-0.51,0.8,423.88,20.56,3.71,1.57,-0.005132065077569137,
2024-09-05,41788.29,41792.07,41488.51,41521.77,-86.91,-0.21,1.01,425.51,20.52,3.7,1.57,-0.0020887468672402543,
2024-09-06,41562.48,41562.48,40955.89,41036.76,-485.01,-1.17,0.94,474.57,20.28,3.66,1.59,-0.011680860425747674,
