Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2022-09-20,,,,1018.58,,-,0.38,121.63,46.89,4.39,0.91,,
2022-09-21,,,,1000.39,-18.19,-1.79,0.45,125.25,45.93,4.3,0.93,-0.01785819474169925,
2022-09-22,,,,1007.28,6.89,0.69,0.39,104.58,45.81,4.29,0.93,0.0068873139475604805,
2022-09-23,,,,982.48,-24.8,-2.46,0.40,99.42,44.72,4.19,0.95,-0.024620760860932345,
2022-09-26,,,,942.58,-39.9,-4.06,0.42,120.47,43.24,4.05,0.99,-0.040611513720381076,
2022-09-27,,,,938.95,-3.63,-0.39,0.44,119.21,43.07,4.03,0.99,-0.003851131999405899,
2022-09-28,,,,928.76,-10.19,-1.09,0.29,69.24,42.62,3.99,1.0,-0.010852548059002154,
2022-09-29,,,,928.1,-0.66,-0.07,0.28,71.83,43.66,4.01,1.0,-0.0007106249192471159,
2022-09-30,,,,936.11,8.01,0.86,0.33,75.87,44.4,4.06,0.98,0.008630535502639702,
2022-10-03,936.13,940.34,905.61,913.9,-22.21,-2.37,0.37,125.5,43.15,3.94,1.02,-0.02372584418497825,
2022-10-04,926.23,943.78,924.23,942.03,28.13,3.08,0.23,77.27,44.64,4.08,0.99,0.030780172885435997,
2022-10-06,949.86,952.46,942.64,943.77,1.74,0.18,0.38,79.81,44.48,4.06,0.99,0.0018470749339192238,
2022-10-07,943.23,945.09,931.68,941.52,-2.25,-0.24,0.42,97.92,44.22,4.04,0.99,-0.0023840554372357436,
2022-10-10,930.26,934.88,924.03,929.73,-11.79,-1.25,0.33,123.17,44.32,4.05,0.99,-0.012522304358908998,
2022-10-11,934.63,937.59,916.34,918.9,-10.83,-1.16,1.08,337.68,43.8,4.0,1.01,-0.011648543125423516,
2022-10-12,921.37,926.85,909.6,922.02,3.12,0.34,0.27,83.22,43.74,4.0,1.0,0.00339536402220042,
2022-10-13,923.89,929.21,905.97,909.39,-12.63,-1.37,0.26,61.7,43.04,3.93,1.02,-0.013698184421162218,
2022-10-14,924.26,925.84,907.49,908.42,-0.97,-0.11,0.25,54.89,42.96,3.92,1.02,-0.001066649072455239,
2022-10-17,907.84,915.2,899.25,912.24,3.82,0.42,1.11,250.3,43.26,3.95,1.02,0.004205103366284435,
2022-10-18,917.49,928.85,916.14,927.63,15.39,1.69,0.28,101.2,44.03,4.02,1.0,0.01687056037884771,
2022-10-19,931.08,936.68,927.96,931.86,4.23,0.46,0.30,84.34,43.83,4.0,1.0,0.00456000776171539,
2022-10-20,927.78,931.39,921.59,926.65,-5.21,-0.56,0.27,67.17,43.63,3.99,1.01,-0.005590968600433621,
2022-10-21,929.57,930.85,911.17,913.99,-12.66,-1.37,-,,43.46,3.97,1.01,-0.013662116225111931,
2022-10-24,920.75,923.11,918.06,920.06,6.07,0.66,0.09,20.99,43.47,3.97,1.01,0.00664121051652633,
2022-10-25,921.95,923.47,913.32,916.6,-3.46,-0.38,1.30,238.49,43.37,3.96,1.01,-0.0037606243071103274,
2022-10-27,918.57,930.42,917.59,928.61,12.01,1.31,0.39,78.49,44.07,4.03,0.99,0.013102771110626188,
2022-10-28,930.82,937.21,927.11,928.37,-0.24,-0.03,0.24,57.13,43.82,4.0,1.0,-0.0002584508028128374,
2022-10-31,929.6,937.43,929.6,932.24,3.87,0.42,0.20,44.68,43.97,4.01,1.0,0.00416859657248736,
2022-11-01,934.56,944.21,933.66,943.03,10.79,1.16,0.25,82.98,44.48,4.06,0.99,0.011574272719471423,
2022-11-02,948.33,948.33,935.65,941.91,-1.12,-0.12,0.35,96.73,44.66,4.07,0.98,-0.0011876610500196616,
2022-11-03,938.79,949.05,935.96,943.26,1.35,0.14,0.55,128.95,41.54,3.9,0.98,0.0014332579545817126,
2022-11-04,944.83,958.38,944.83,955.42,12.16,1.29,0.51,192.84,41.96,3.95,0.96,0.012891461527044568,
2022-11-07,958.35,960.33,947.7,953.06,-2.36,-0.25,0.36,101.77,41.93,3.97,0.96,-0.0024701178539281443,
2022-11-09,955.03,970.52,954.45,967.04,13.98,1.47,0.41,159.63,42.79,4.05,0.95,0.014668541330031815,
2022-11-10,968.16,969.28,951.26,959.5,-7.54,-0.78,0.49,124.55,41.88,3.97,0.96,-0.007796988749172673,
2022-11-11,971.89,973.16,956.18,958.68,-0.82,-0.09,0.51,146.87,42.17,4.0,0.96,-0.0008546117769672179,
2022-11-14,960.56,968.99,954.69,962.81,4.13,0.43,0.47,140.62,36.75,3.83,0.98,0.004308006842742129,
2022-11-15,964.62,971.53,961.9,967.24,4.43,0.46,0.41,116.15,36.92,3.84,0.97,0.004601115484882845,
2022-11-16,969.44,972.13,949.59,957.39,-9.85,-1.02,0.40,117.9,36.73,3.82,1.0,-0.010183615235101917,
2022-11-17,956.09,962.36,953.38,956.57,-0.82,-0.09,0.25,66.9,36.96,3.85,0.96,-0.0008564952631633371,
2022-11-18,957.91,961.47,947.53,954.29,-2.28,-0.24,0.23,65.16,35.69,3.84,0.96,-0.0023835161044147846,
2022-11-21,952.15,956.23,943.06,945.3,-8.99,-0.94,0.23,62.78,33.77,3.81,0.96,-0.00942061637447733,
2022-11-22,945.21,953.04,943.16,951.82,6.52,0.69,0.25,67.41,34.07,3.85,0.96,0.006897281286364132,
2022-11-23,953.25,960.07,953.25,955.75,3.93,0.41,0.41,65.84,34.23,3.86,0.95,0.0041289319409132386,
2022-11-24,958.22,964.46,958.12,961.83,6.08,0.64,0.72,186.26,34.5,3.89,0.95,0.006361496207167194,
2022-11-25,961.56,971.48,961.56,969.78,7.95,0.83,0.51,77.87,34.8,3.93,0.97,0.008265493902248844,
2022-11-28,968.35,978.69,967.05,974.99,5.21,0.54,0.66,105.44,34.96,3.95,0.96,0.005372352492317933,
2022-11-29,976.2,979.97,968.45,970.69,-4.3,-0.44,0.49,103.14,34.78,3.93,0.97,-0.004410301644119374,
2022-11-30,970.22,981.36,969.46,979.57,8.88,0.91,0.63,91.51,35.21,3.97,0.96,0.009148131741338661,
2022-12-01,982.86,987.8,981.61,983.75,4.18,0.43,0.34,63.05,35.41,4.0,0.95,0.004267178455853005,
2022-12-02,984.74,991.46,983.69,985.57,1.82,0.19,0.27,62.16,35.34,3.99,0.95,0.0018500635324014691,
2022-12-05,987.27,992.16,982.29,988.18,2.61,0.26,0.47,87.12,35.45,3.97,0.96,0.0026482137240377845,
2022-12-06,988.77,991.23,984.16,988.06,-0.12,-0.01,0.61,104.87,35.1,3.93,0.97,-0.00012143536602648997,
2022-12-07,991.24,995.72,984.14,985.68,-2.38,-0.24,0.43,69.5,35.28,3.95,0.96,-0.0024087606015829044,
2022-12-08,986.02,996.7,985.73,995.43,9.75,0.99,0.37,59.02,35.86,4.01,0.94,0.00989164840516188,
2022-12-09,997.92,1004.65,982.22,987.44,-7.99,-0.80,0.39,82.57,35.58,3.98,0.95,-0.008026681936449509,
2022-12-12,986.5,996.56,982.33,991.74,4.3,0.44,0.39,73.7,35.72,3.99,0.95,0.004354694968808248,
2022-12-13,994.91,999.51,991.05,998.14,6.4,0.65,0.43,67.17,35.88,4.01,0.95,0.006453304293464024,
2022-12-14,1000.5,1003.59,994.99,998.14,,0.00,0.41,82.31,36.09,4.03,0.94,0.0,
2022-12-15,997.08,1000.79,983.29,985.39,-12.75,-1.28,0.44,61.33,35.41,3.96,0.95,-0.012773759192097334,
2022-12-16,982.36,988.54,965.75,968.66,-16.73,-1.70,0.31,68.85,34.8,3.89,0.97,-0.01697804930027702,
