Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2003-04-01,,,,834.59,,-,-,-,-,-,-,,
2003-04-02,,,,851.31,16.72,2.00,-,-,-,-,-,0.02003378904611841,
2003-04-03,,,,864.51,13.2,1.55,-,-,-,-,-,0.015505515029777595,
2003-04-04,,,,885.24,20.73,2.40,-,-,-,-,-,0.023978901342957215,
2003-04-07,,,,911.19,25.95,2.93,-,-,-,-,-,0.029314084316117706,
2003-04-08,,,,910.65,-0.54,-0.06,-,-,-,-,-,-0.0005926316136042331,
2003-04-09,,,,905.1,-5.55,-0.61,-,-,-,-,-,-0.006094547850436505,
2003-04-10,,,,881.01,-24.09,-2.66,-,-,-,-,-,-0.02661584355319857,
2003-04-11,,,,882.01,1.0,0.11,-,-,-,-,-,0.0011350608960170039,
2003-04-15,,,,885.51,3.5,0.40,-,-,-,-,-,0.003968208977222387,
2003-04-16,,,,885.18,-0.33,-0.04,-,-,-,-,-,-0.00037266659890911047,
2003-04-17,,,,880.4,-4.78,-0.54,-,-,-,-,-,-0.005400031631984437,
2003-04-21,,,,889.44,9.04,1.03,-,-,-,-,-,0.01026805997273983,
2003-04-22,,,,891.33,1.89,0.21,-,-,-,-,-,0.0021249325418239984,
2003-04-23,,,,888.96,-2.37,-0.27,-,-,-,-,-,-0.00265894786442733,
2003-04-24,,,,886.71,-2.25,-0.25,-,-,-,-,-,-0.0025310475161987034,
2003-04-25,,,,882.62,-4.09,-0.46,-,-,-,-,-,-0.0046125565291922355,
2003-04-28,,,,890.33,7.71,0.87,-,-,-,-,-,0.008735356098887426,
2003-04-29,,,,893.08,2.75,0.31,-,-,-,-,-,0.0030887423764223154,
2003-04-30,,,,893.27,0.19,0.02,-,-,-,-,-,0.00021274689837413874,
2003-05-02,,,,910.91,17.64,1.97,-,-,-,-,-,0.01974766867800337,
2003-05-05,,,,933.9,22.99,2.52,-,-,-,-,-,0.025238497765970314,
2003-05-06,,,,938.95,5.05,0.54,-,-,-,-,-,0.005407431202484325,
2003-05-07,,,,936.14,-2.81,-0.30,-,-,-,-,-,-0.0029927046168592986,
2003-05-08,,,,937.67,1.53,0.16,-,-,-,-,-,0.0016343709274253548,
2003-05-09,,,,943.76,6.09,0.65,-,-,-,-,-,0.006494822272228085,
2003-05-12,,,,958.44,14.68,1.56,-,-,-,-,-,0.015554802068322493,
2003-05-13,,,,974.69,16.25,1.70,-,-,-,-,-,0.01695463461458213,
2003-05-14,,,,994.57,19.88,2.04,-,-,-,-,-,0.020396228544460326,
2003-05-15,,,,1020.55,25.98,2.61,-,-,-,-,-,0.026121841599887397,
2003-05-16,,,,1040.57,20.02,1.96,-,-,-,-,-,0.019616873254617584,
2003-05-19,,,,1030.88,-9.69,-0.93,-,-,-,-,-,-0.009312203888253379,
2003-05-20,,,,1035.31,4.43,0.43,-,-,-,-,-,0.0042972993946917,
2003-05-21,,,,1048.58,13.27,1.28,-,-,-,-,-,0.012817417005534626,
2003-05-22,,,,1054.78,6.2,0.59,-,-,-,-,-,0.005912758206336299,
