Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2000-01-31,,,,3066.55,,-,-,-,,,,,
2000-02-01,,,,3180.41,113.86,3.71,-,-,,,,0.03712967341148832,
2000-02-02,,,,3224.27,43.86,1.38,-,-,,,,0.013790674787212964,
2000-02-03,,,,3342.97,118.7,3.68,-,-,,,,0.036814534762907414,
2000-02-04,,,,3458.07,115.1,3.44,-,-,,,,0.03443046153570051,
2000-02-07,,,,3571.39,113.32,3.28,-,-,,,,0.03276972415248958,
2000-02-08,,,,3640.41,69.02,1.93,-,-,,,,0.01932580871873424,
2000-02-09,,,,3665.63,25.22,0.69,-,-,,,,0.006927791100453051,
2000-02-10,,,,3844.4,178.77,4.88,-,-,,,,0.048769242940504,
2000-02-11,,,,3997.84,153.44,3.99,-,-,,,,0.039912600145666444,
2000-02-14,,,,4139.84,142.0,3.55,-,-,,,,0.0355191803573931,
2000-02-15,,,,4071.1,-68.74,-1.66,-,-,,,,-0.01660450645435574,
2000-02-16,,,,4096.79,25.69,0.63,-,-,,,,0.006310333816413216,
2000-02-17,,,,4270.41,173.62,4.24,-,-,,,,0.0423795215278302,
2000-02-18,,,,4322.25,51.84,1.21,-,-,,,,0.012139349617483974,
2000-02-21,,,,4566.03,243.78,5.64,-,-,,,,0.05640117994100291,
2000-02-22,,,,4533.66,-32.37,-0.71,-,-,,,,-0.007089309531474797,
2000-02-23,,,,4257.87,-275.79,-6.08,-,-,,,,-0.06083164595492385,
2000-02-24,,,,4321.79,63.92,1.50,-,-,,,,0.015012200936148856,
2000-02-25,,,,4088.31,-233.48,-5.40,-,-,,,,-0.05402391138856821,
2000-02-28,,,,4053.84,-34.47,-0.84,-,-,,,,-0.008431356721970595,
2000-02-29,,,,3898.97,-154.87,-3.82,-,-,,,,-0.038203283800051446,
2000-03-01,,,,4193.39,294.42,7.55,-,-,,,,0.07551225067133127,
2000-03-02,,,,4448.76,255.37,6.09,-,-,,,,0.060898223155966935,
2000-03-03,,,,4495.46,46.7,1.05,-,-,,,,0.010497307114791576,
2000-03-06,,,,4701.45,205.99,4.58,-,-,,,,0.0458217846449529,
2000-03-07,,,,4788.78,87.33,1.86,-,-,,,,0.01857512044156584,
2000-03-08,,,,4672.49,-116.29,-2.43,-,-,,,,-0.024283846825287392,
2000-03-09,,,,4447.28,-225.21,-4.82,-,-,,,,-0.04819914007306603,
2000-03-10,,,,4323.62,-123.66,-2.78,-,-,,,,-0.02780575992516776,
2000-03-13,,,,4057.55,-266.07,-6.15,-,-,,,,-0.06153871061749172,
2000-03-14,,,,3877.29,-180.26,-4.44,-,-,,,,-0.04442582346489887,
2000-03-15,,,,3832.09,-45.2,-1.17,-,-,,,,-0.01165762684761773,
2000-03-16,,,,3634.58,-197.51,-5.15,-,-,,,,-0.051541065058492985,
2000-03-21,,,,3634.76,0.18,0.00,-,-,,,,4.952429166515948e-05,
2000-03-22,,,,3777.55,142.79,3.93,-,-,,,,0.03928457449735334,
2000-03-23,,,,3765.74,-11.81,-0.31,-,-,,,,-0.0031263649720058018,
2000-03-24,,,,3823.36,57.62,1.53,-,-,,,,0.01530110947649077,
2000-03-27,,,,3909.22,85.86,2.25,-,-,,,,0.02245668731168382,
2000-03-28,,,,3892.37,-16.85,-0.43,-,-,,,,-0.004310322775387343,
2000-03-29,,,,3909.97,17.6,0.45,-,-,,,,0.004521666748022346,
2000-03-30,,,,3674.7,-235.27,-6.02,-,-,,,,-0.06017181717506781,
2000-03-31,,,,3443.7,-231.0,-6.29,-,-,,,,-0.06286227447138537,
2000-04-03,,,,3188.4,-255.3,-7.41,-,-,,,,-0.07413537764613631,
2000-04-04,,,,2933.38,-255.02,-8.00,-,-,,,,-0.07998369087943791,
2000-04-05,,,,2859.25,-74.13,-2.53,-,-,,,,-0.025271188867449834,
2000-04-06,,,,2948.28,89.03,3.11,-,-,,,,0.03113753606715064,
2000-04-07,,,,3184.08,235.8,8.00,-,-,,,,0.07997883511742421,
2000-04-10,,,,3437.99,253.91,7.97,-,-,,,,0.07974359940705011,
2000-04-11,,,,3591.87,153.88,4.48,-,-,,,,0.04475871075832094,
2000-04-12,,,,3506.81,-85.06,-2.37,-,-,,,,-0.023681257951985946,
2000-04-13,,,,3268.39,-238.42,-6.80,-,-,,,,-0.06798771533102732,
2000-04-17,,,,3011.74,-256.65,-7.85,-,-,,,,-0.07852490063915263,
2000-04-18,,,,2814.34,-197.4,-6.55,-,-,,,,-0.06554350641157591,
2000-04-19,,,,2655.67,-158.67,-5.64,-,-,,,,-0.05637911552975128,
2000-04-20,,,,2632.24,-23.43,-0.88,-,-,,,,-0.00882263233007119,
2000-04-24,,,,2517.67,-114.57,-4.35,-,-,,,,-0.043525666352612125,
2000-04-25,,,,2513.55,-4.12,-0.16,-,-,,,,-0.0016364336867022988,
2000-04-26,,,,2700.62,187.07,7.44,-,-,,,,0.07442461856736471,
2000-04-27,,,,2610.07,-90.55,-3.35,-,-,,,,-0.03352933770763744,
2000-04-28,,,,2594.17,-15.9,-0.61,-,-,,,,-0.006091790641630346,
2000-05-02,,,,2381.65,-212.52,-8.19,-,-,,,,-0.08192215621952303,
2000-05-03,,,,2297.28,-84.37,-3.54,-,-,,,,-0.03542502046900253,
2000-05-04,,,,2483.7,186.42,8.11,-,-,,,,0.08114814040952756,
2000-05-05,,,,2653.95,170.25,6.85,-,-,,,,0.06854692595724132,
2000-05-08,,,,2482.46,-171.49,-6.46,-,-,,,,-0.0646168918027844,
2000-05-09,,,,2597.41,114.95,4.63,-,-,,,,0.04630487500302105,
2000-05-10,,,,2467.31,-130.1,-5.01,-,-,,,,-0.050088357248181836,
2000-05-11,,,,2250.33,-216.98,-8.79,-,-,,,,-0.08794192865914696,
2000-05-12,,,,2106.72,-143.61,-6.38,-,-,,,,-0.06381730679500341,
2000-05-15,,,,2167.4,60.68,2.88,-,-,,,,0.028803068276752608,
2000-05-16,,,,2171.94,4.54,0.21,-,-,,,,0.0020946756482420614,
2000-05-17,,,,2142.56,-29.38,-1.35,-,-,,,,-0.013527077175244262,
2000-05-18,,,,2144.97,2.41,0.11,-,-,,,,0.0011248226420730312,
