Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2005-09-16,,,,1000.0,,-,-,-,-,-,-,,
2005-09-19,,,,997.59,-2.41,-0.24,-,-,-,-,-,-0.0024100000000000232,
2005-09-20,,,,989.25,-8.34,-0.84,-,-,-,-,-,-0.008360147956575359,
2005-09-21,,,,966.38,-22.87,-2.31,-,-,-,-,-,-0.023118524134445262,
2005-09-22,,,,914.27,-52.11,-5.39,-,-,-,-,-,-0.053922887476975934,
2005-09-23,,,,923.63,9.36,1.02,-,-,-,-,-,0.010237675960055537,
2005-09-26,,,,953.69,30.06,3.25,-,-,-,-,-,0.032545499821357016,
2005-09-27,,,,948.19,-5.5,-0.58,-,-,-,-,-,-0.005767073157944447,
2005-09-28,,,,951.27,3.08,0.32,-,-,-,-,-,0.0032482941182674363,
2005-09-29,,,,947.84,-3.43,-0.36,-,-,-,-,-,-0.0036057060561144327,
2005-09-30,,,,948.7,0.86,0.09,-,-,-,-,-,0.0009073261309926473,
2005-10-03,,,,950.46,1.76,0.19,-,-,-,-,-,0.0018551702329503428,
2005-10-04,,,,961.88,11.42,1.20,-,-,-,-,-,0.012015234728447233,
2005-10-05,,,,960.47,-1.41,-0.15,-,-,-,-,-,-0.001465879319665575,
2005-10-06,,,,938.05,-22.42,-2.33,-,-,-,-,-,-0.023342738450966793,
2005-10-07,,,,941.39,3.34,0.36,-,-,-,-,-,0.0035605777943605865,
2005-10-10,,,,953.56,12.17,1.29,-,-,-,-,-,0.012927692029870652,
2005-10-11,,,,952.58,-0.98,-0.10,-,-,-,-,-,-0.0010277276731405216,
2005-10-13,,,,934.08,-18.5,-1.94,-,-,-,-,-,-0.019420941023326144,
2005-10-14,,,,899.31,-34.77,-3.72,-,-,-,-,-,-0.037223792394655786,
2005-10-17,,,,877.3,-22.01,-2.45,-,-,-,-,-,-0.024474319200275763,
2005-10-18,,,,879.9,2.6,0.30,-,-,-,-,-,0.002963638436110916,
2005-10-19,,,,850.88,-29.02,-3.30,-,-,-,-,-,-0.032981020570519326,
2005-10-20,,,,852.65,1.77,0.21,-,-,-,-,-,0.0020801993230536997,
2005-10-21,,,,893.53,40.88,4.79,-,-,-,-,-,0.04794464317128955,
2005-10-24,,,,876.42,-17.11,-1.91,-,-,-,-,-,-0.019148769487314365,
2005-10-25,,,,889.01,12.59,1.44,-,-,-,-,-,0.014365258665936409,
2005-10-26,,,,897.72,8.71,0.98,-,-,-,-,-,0.009797415102192453,
2005-10-27,,,,841.26,-56.46,-6.29,-,-,-,-,-,-0.0628926614089026,
2005-10-28,,,,865.68,24.42,2.90,-,-,-,-,-,0.02902788674131651,
2005-10-31,,,,858.7,-6.98,-0.81,-,-,-,-,-,-0.008063025598373463,
2005-11-01,,,,868.13,9.43,1.10,-,-,-,-,-,0.010981716548270626,
2005-11-02,,,,883.69,15.56,1.79,-,-,-,-,-,0.017923582873532906,
2005-11-07,,,,903.7,20.01,2.26,-,-,-,-,-,0.022643687265896384,
2005-11-08,,,,908.94,5.24,0.58,-,-,-,-,-,0.005798384419608338,
2005-11-09,,,,916.93,7.99,0.88,-,-,-,-,-,0.008790459216229785,
2005-11-10,,,,917.99,1.06,0.12,-,-,-,-,-,0.0011560315400303,
2005-11-11,,,,938.3,20.31,2.21,-,-,-,-,-,0.022124424013333366,
2005-11-14,,,,948.53,10.23,1.09,-,-,-,-,-,0.010902696365767905,
2005-11-16,,,,955.77,7.24,0.76,-,-,-,-,-,0.007632863483495456,
2005-11-17,,,,961.61,5.84,0.61,-,-,-,-,-,0.006110256651704837,
2005-11-18,,,,963.29,1.68,0.17,-,-,-,-,-,0.0017470700179906817,
2005-11-21,,,,946.73,-16.56,-1.72,-,-,-,-,-,-0.017191084720073913,
2005-11-22,,,,945.05,-1.68,-0.18,-,-,-,-,-,-0.0017745291688232578,
2005-11-23,,,,942.19,-2.86,-0.30,-,-,-,-,-,-0.003026294905031368,
2005-11-24,,,,953.65,11.46,1.22,-,-,-,-,-,0.012163151805898886,
2005-11-25,,,,970.2,16.55,1.74,-,-,-,-,-,0.017354375294919677,
2005-11-28,,,,988.48,18.28,1.88,-,-,-,-,-,0.018841475984333167,
2005-11-29,,,,977.75,-10.73,-1.09,-,-,-,-,-,-0.010855050178051218,
2005-11-30,,,,953.46,-24.29,-2.48,-,-,-,-,-,-0.024842751214523062,
2005-12-01,,,,966.75,13.29,1.39,-,-,-,-,-,0.013938707444465459,
2005-12-02,,,,963.99,-2.76,-0.29,-,-,-,-,-,-0.002854926299456939,
2005-12-05,,,,942.81,-21.18,-2.20,-,-,-,-,-,-0.021971182273675116,
2005-12-06,,,,930.5,-12.31,-1.31,-,-,-,-,-,-0.013056713441732648,
2005-12-07,,,,943.3,12.8,1.38,-,-,-,-,-,0.01375604513702311,
2005-12-08,,,,958.0,14.7,1.56,-,-,-,-,-,0.015583589526131814,
2005-12-09,,,,979.43,21.43,2.24,-,-,-,-,-,0.022369519832985407,
2005-12-12,,,,968.33,-11.1,-1.13,-,-,-,-,-,-0.011333122326250944,
2005-12-13,,,,973.64,5.31,0.55,-,-,-,-,-,0.005483667757892441,
2005-12-14,,,,972.42,-1.22,-0.13,-,-,-,-,-,-0.0012530298673021356,
2005-12-15,,,,965.8,-6.62,-0.68,-,-,-,-,-,-0.006807757964665484,
2005-12-16,,,,979.75,13.95,1.44,-,-,-,-,-,0.014443984261751863,
2005-12-19,,,,993.67,13.92,1.42,-,-,-,-,-,0.014207706047461022,
2005-12-20,,,,993.12,-0.55,-0.06,-,-,-,-,-,-0.0005535036782834402,
2005-12-21,,,,988.06,-5.06,-0.51,-,-,-,-,-,-0.005095053971322705,
2005-12-22,,,,986.58,-1.48,-0.15,-,-,-,-,-,-0.0014978847438413823,
2005-12-23,,,,974.61,-11.97,-1.21,-,-,-,-,-,-0.01213282247765013,
2005-12-26,,,,921.64,-52.97,-5.43,-,-,-,-,-,-0.05434994510624769,
2005-12-27,,,,953.24,31.6,3.43,-,-,-,-,-,0.03428670630614983,
2005-12-28,,,,945.86,-7.38,-0.77,-,-,-,-,-,-0.007742016700935772,
2005-12-29,,,,948.22,2.36,0.25,-,-,-,-,-,0.002495083839046064,
2005-12-30,,,,957.41,9.19,0.97,-,-,-,-,-,0.009691843664972222,
2006-01-02,,,,944.89,-12.52,-1.31,-,-,-,-,-,-0.013076947180413856,
2006-01-03,,,,961.77,16.88,1.79,-,-,-,-,-,0.017864513329593823,
2006-01-04,,,,960.76,-1.01,-0.11,-,-,-,-,-,-0.0010501471245724092,
2006-01-05,,,,954.31,-6.45,-0.67,-,-,-,-,-,-0.006713435197135631,
2006-01-06,,,,966.27,11.96,1.25,-,-,-,-,-,0.012532615187936802,
2006-01-09,,,,971.76,5.49,0.57,-,-,-,-,-,0.005681641777143032,
2006-01-10,,,,950.74,-21.02,-2.16,-,-,-,-,-,-0.021630855355231682,
2006-01-12,,,,940.01,-10.73,-1.13,-,-,-,-,-,-0.011285945684414211,
2006-01-13,,,,937.24,-2.77,-0.29,-,-,-,-,-,-0.0029467771619450245,
2006-01-16,,,,930.0,-7.24,-0.77,-,-,-,-,-,-0.007724809013699763,
2006-01-17,,,,916.9,-13.1,-1.41,-,-,-,-,-,-0.014086021505376412,
2006-01-18,,,,917.46,0.56,0.06,-,-,-,-,-,0.0006107536263497693,
2006-01-19,,,,956.02,38.56,4.20,-,-,-,-,-,0.04202908028687902,
2006-01-20,,,,950.24,-5.78,-0.60,-,-,-,-,-,-0.006045898621367729,
2006-01-23,,,,951.21,0.97,0.10,-,-,-,-,-,0.0010207947465903366,
2006-01-24,,,,956.94,5.73,0.60,-,-,-,-,-,0.006023906392910172,
2006-01-25,,,,966.59,9.65,1.01,-,-,-,-,-,0.010084226806278407,
2006-01-27,,,,968.62,2.03,0.21,-,-,-,-,-,0.0021001665649345025,
2006-01-30,,,,971.76,3.14,0.32,-,-,-,-,-,0.0032417253412071467,
2006-01-31,,,,969.78,-1.98,-0.20,-,-,-,-,-,-0.0020375401333663223,
2006-02-01,,,,953.02,-16.76,-1.73,-,-,-,-,-,-0.01728227020561368,
2006-02-02,,,,975.81,22.79,2.39,-,-,-,-,-,0.023913454072317375,
2006-02-03,,,,980.96,5.15,0.53,-,-,-,-,-,0.005277666758897848,
2006-02-06,,,,987.18,6.22,0.63,-,-,-,-,-,0.006340727450660388,
2006-02-07,,,,994.69,7.51,0.76,-,-,-,-,-,0.007607528515569673,
2006-02-08,,,,993.04,-1.65,-0.17,-,-,-,-,-,-0.001658808271923995,
2006-02-10,,,,988.34,-4.7,-0.47,-,-,-,-,-,-0.0047329412712477925,
2006-02-13,,,,998.95,10.61,1.07,-,-,-,-,-,0.010735172106765,
2006-02-14,,,,1004.98,6.03,0.60,-,-,-,-,-,0.00603633815506277,
2006-02-15,,,,1003.32,-1.66,-0.17,-,-,-,-,-,-0.0016517741646600026,
2006-02-16,,,,995.34,-7.98,-0.80,-,-,-,-,-,-0.007953594067695247,
2006-02-17,,,,989.44,-5.9,-0.59,-,-,-,-,-,-0.005927622721883963,
2006-02-20,,,,984.83,-4.61,-0.47,-,-,-,-,-,-0.004659201164294968,
2006-02-21,,,,996.22,11.39,1.16,-,-,-,-,-,0.011565447843790322,
2006-02-22,,,,991.79,-4.43,-0.44,-,-,-,-,-,-0.00444680893778493,
2006-02-23,,,,990.58,-1.21,-0.12,-,-,-,-,-,-0.001220016334102958,
2006-02-24,,,,988.45,-2.13,-0.22,-,-,-,-,-,-0.00215025540592384,
2006-02-27,,,,981.33,-7.12,-0.72,-,-,-,-,-,-0.007203196924477684,
2006-02-28,,,,979.48,-1.85,-0.19,-,-,-,-,-,-0.001885196620912466,
2006-03-01,,,,1010.22,30.74,3.14,-,-,-,-,-,0.03138399967329608,
2006-03-02,,,,1052.41,42.19,4.18,-,-,-,-,-,0.041763180297361036,
2006-03-03,,,,1076.4,23.99,2.28,-,-,-,-,-,0.022795298410315468,
2006-03-06,,,,1069.38,-7.02,-0.65,-,-,-,-,-,-0.006521739130434745,
2006-03-07,,,,1067.01,-2.37,-0.22,-,-,-,-,-,-0.0022162374459968603,
2006-03-08,,,,1039.96,-27.05,-2.54,-,-,-,-,-,-0.025351215077646816,
2006-03-09,,,,1027.62,-12.34,-1.19,-,-,-,-,-,-0.011865840993884547,
2006-03-10,,,,1048.18,20.56,2.00,-,-,-,-,-,0.020007395729939148,
2006-03-13,,,,1060.06,11.88,1.13,-,-,-,-,-,0.011333931195023572,
2006-03-14,,,,1051.74,-8.32,-0.78,-,-,-,-,-,-0.007848612342697514,
2006-03-16,,,,1065.47,13.73,1.31,-,-,-,-,-,0.01305455720995674,
2006-03-17,,,,1058.99,-6.48,-0.61,-,-,-,-,-,-0.006081823045228862,
2006-03-20,,,,1066.18,7.19,0.68,-,-,-,-,-,0.006789488097149299,
2006-03-21,,,,1071.45,5.27,0.49,-,-,-,-,-,0.004942880189086285,
2006-03-22,,,,1060.24,-11.21,-1.05,-,-,-,-,-,-0.01046245741751839,
2006-03-23,,,,1054.56,-5.68,-0.54,-,-,-,-,-,-0.005357277597525134,
2006-03-24,,,,1063.11,8.55,0.81,-,-,-,-,-,0.008107646791078782,
2006-03-27,,,,1088.65,25.54,2.40,-,-,-,-,-,0.024023854539982015,
2006-03-28,,,,1092.39,3.74,0.34,-,-,-,-,-,0.0034354475726816602,
2006-03-29,,,,1106.06,13.67,1.25,-,-,-,-,-,0.012513845787676336,
2006-03-30,,,,1145.43,39.37,3.56,-,-,-,-,-,0.035594814024555665,
2006-03-31,,,,1141.64,-3.79,-0.33,-,-,-,-,-,-0.0033088010616100227,
2006-04-03,,,,1164.88,23.24,2.04,-,-,-,-,-,0.020356679864055316,
2006-04-04,,,,1169.01,4.13,0.35,-,-,-,-,-,0.003545429572144654,
2006-04-05,,,,1179.77,10.76,0.92,-,-,-,-,-,0.009204369509242749,
2006-04-07,,,,1149.21,-30.56,-2.59,-,-,-,-,-,-0.02590335404358468,
2006-04-10,,,,1158.58,9.37,0.82,-,-,-,-,-,0.008153427136902591,
2006-04-12,,,,1134.51,-24.07,-2.08,-,-,-,-,-,-0.020775431994337845,
2006-04-13,,,,1109.59,-24.92,-2.20,-,-,-,-,-,-0.021965430009431408,
2006-04-17,,,,1117.3,7.71,0.69,-,-,-,-,-,0.006948512513631266,
