Date,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield,Return,Volatility
2005-09-16,,,,1000.0,,-,-,-,-,-,-,,
2005-09-19,,,,992.35,-7.65,-0.76,-,-,-,-,-,-0.007649999999999935,
2005-09-20,,,,986.54,-5.81,-0.59,-,-,-,-,-,-0.005854789136897298,
2005-09-21,,,,988.28,1.74,0.18,-,-,-,-,-,0.0017637399395868947,
2005-09-22,,,,942.9,-45.38,-4.59,-,-,-,-,-,-0.04591816084510458,
2005-09-23,,,,947.32,4.42,0.47,-,-,-,-,-,0.004687665712164613,
2005-09-26,,,,980.79,33.47,3.53,-,-,-,-,-,0.03533125026390227,
2005-09-27,,,,979.3,-1.49,-0.15,-,-,-,-,-,-0.0015191835153295363,
2005-09-28,,,,996.29,16.99,1.73,-,-,-,-,-,0.017349126927397096,
2005-09-29,,,,994.64,-1.65,-0.17,-,-,-,-,-,-0.0016561442953356709,
2005-09-30,,,,1005.29,10.65,1.07,-,-,-,-,-,0.0107073916190783,
2005-10-03,,,,1020.61,15.32,1.52,-,-,-,-,-,0.015239383660436312,
2005-10-04,,,,1025.01,4.4,0.43,-,-,-,-,-,0.004311147255072978,
2005-10-05,,,,1021.81,-3.2,-0.31,-,-,-,-,-,-0.0031219207617486644,
2005-10-06,,,,1004.59,-17.22,-1.69,-,-,-,-,-,-0.016852448106790763,
2005-10-07,,,,1004.53,-0.06,-0.01,-,-,-,-,-,-5.972585831037769e-05,
2005-10-10,,,,996.86,-7.67,-0.76,-,-,-,-,-,-0.007635411585517615,
2005-10-11,,,,989.38,-7.48,-0.75,-,-,-,-,-,-0.0075035611821118176,
2005-10-13,,,,975.88,-13.5,-1.36,-,-,-,-,-,-0.013644908932867073,
2005-10-14,,,,961.38,-14.5,-1.49,-,-,-,-,-,-0.01485838422756891,
2005-10-17,,,,945.4,-15.98,-1.66,-,-,-,-,-,-0.016621939295595967,
2005-10-18,,,,936.38,-9.02,-0.95,-,-,-,-,-,-0.009540935053945376,
2005-10-19,,,,916.11,-20.27,-2.16,-,-,-,-,-,-0.021647194515047263,
2005-10-20,,,,909.39,-6.72,-0.73,-,-,-,-,-,-0.007335363657202776,
2005-10-21,,,,930.71,21.32,2.34,-,-,-,-,-,0.023444286829633176,
2005-10-24,,,,919.99,-10.72,-1.15,-,-,-,-,-,-0.011518088341158972,
2005-10-25,,,,927.49,7.5,0.82,-,-,-,-,-,0.008152262524592668,
